dataset	sample	truth_scope	method	method_role	F1	L1_pp	Pearson	TP	FP	FN	adaptive_beta	adaptive_reason	source
CAMI3 ToyGut	0	NCBI bacterial species taxid	Sylph	reported Sylph baseline	0.6063829787234043	27.24678285808429	0.95489462475884	57	13	61			research/experiments/2026-06-24_cross_domain_spot_comparison/results/fair_full_l1_methods.tsv
CAMI3 ToyGut	0	NCBI bacterial species taxid	MinCO current best ctxobj robust depth	current cached non-edge MinCO best	0.5698924731182796	32.71343010089377	0.9487025604312572	53	15	65			research/experiments/2026-06-24_cross_domain_spot_comparison/results/fair_full_l1_methods.tsv
CAMI2 Marine	0	NCBI species taxid excluding unidentified/unidentified plasmid	MinCO current best S1000 unique ZIP-AAF	current cached non-edge MinCO best rerun for full L1	0.8660194174757282	33.462551041244595	0.9705372525567617	223	36	33			research/experiments/2026-06-24_cross_domain_spot_comparison/results/fair_full_l1_methods.tsv
CAMI2 Marine	0	NCBI species taxid excluding unidentified/unidentified plasmid	Sylph	reported Sylph baseline rerun for full L1	0.8444444444444446	33.10266099707059	0.9504932684378423	228	56	28			research/experiments/2026-06-24_cross_domain_spot_comparison/results/fair_full_l1_methods.tsv
CAMI2 Strain Madness	0	NCBI bacterial species taxid	Sylph	reported Sylph baseline	0.5789473684210527	18.828110840185836	0.9900332537373874	11	7	9			research/experiments/2026-06-24_cross_domain_spot_comparison/results/fair_full_l1_methods.tsv
CAMI2 Strain Madness	0	NCBI bacterial species taxid	MinCO current best train9 RF/HGB average	current cached non-edge MinCO best with feature-table abundance	0.4848484848484849	72.07180985131933	0.7790493620986286	8	5	12			research/experiments/2026-06-24_cross_domain_spot_comparison/results/fair_full_l1_methods.tsv
CAMI3 ToyGut	0	NCBI bacterial species taxid	MinCO S2000 edge marker beta=0	edge-EM S2000 marker beta=0	0.5363128491620112	32.99294801021269	0.9466523691162588	48	13	70			research/experiments/2026-06-24_cross_domain_spot_comparison/results/fair_full_l1_methods.tsv
CAMI2 Marine	0	NCBI species taxid excluding unidentified/unidentified plasmid	MinCO S2000 edge marker beta=0	edge-EM S2000 marker beta=0	0.8391866913123845	15.313847935969443	0.9816564775385404	227	58	29			research/experiments/2026-06-24_cross_domain_spot_comparison/results/fair_full_l1_methods.tsv
CAMI2 Strain Madness	0	NCBI bacterial species taxid	MinCO S2000 edge marker beta=0	edge-EM S2000 marker beta=0	0.5	34.5766050058102	0.9376708177028494	10	10	10			research/experiments/2026-06-24_cross_domain_spot_comparison/results/fair_full_l1_methods.tsv
CAMI3 ToyGut	0	NCBI bacterial species taxid	MinCO adaptive edge-EM trigger	guarded no-truth trigger pilot	0.5363128491620112	32.99294801021269	0.9466523691162588	48	13	70	0.0	mid-size callset guard; keep marker baseline to avoid CAMI3 L1 regression	research/experiments/2026-06-24_cross_domain_spot_comparison/results/fair_full_l1_methods.tsv
CAMI2 Marine	0	NCBI species taxid excluding unidentified/unidentified plasmid	MinCO adaptive edge-EM trigger	guarded no-truth trigger pilot	0.8391866913123845	15.005507469027789	0.982462411289428	227	58	29	0.02	rich marker callset; marine-like high target count	research/experiments/2026-06-24_cross_domain_spot_comparison/results/fair_full_l1_methods.tsv
CAMI2 Strain Madness	0	NCBI bacterial species taxid	MinCO adaptive edge-EM trigger	guarded no-truth trigger pilot	0.5	34.51346456156421	0.9376321343808648	10	10	10	0.0015	narrow marker callset; strain-like low target count	research/experiments/2026-06-24_cross_domain_spot_comparison/results/fair_full_l1_methods.tsv
