panel	sample	profile	selected_F1	selected_L1_pp	selected_Pearson	n_calls	n_base_calls	n_candidate_calls	candidate_call_frac	candidate_raw_frac	abundance_entropy	top1_abundance	top3_abundance	raw_mass_sum	base_raw_mass	s_xny_median	s_xny_mean	u_xny_median	xny_max_median	xny_max_mean	s_breadth_median	u_breadth_median	s_depth_median	u_depth_median	s_zip_median	u_zip_median	probability_mean	probability_min	reported_ani_median	base_genus_count	multi_species_genus_count	max_species_per_genus	base_mass_multi_genus_frac	evidence_group
cami2_toy_mouse_gut	5	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/toymouse_sample5.normalized_depth_alpha2.tsv	0.8722222222222222	15.41422817260888	0.9917478920123493	162.0	162.0	0.0	0.0	0.0	2.9186326232318818	0.4168705037010741	0.5687209865705384	447.6214331200389	447.6214331200389	249.0	350.0987654320988	196.5	249.0	350.0987654320988	0.2059754999999999	0.1965	0.2773625	0.2215	0.720898	0.7208715	0.840311521890512	0.3611660369475717	0.9851235	105.0	26.0	9.0	0.8442072326434183	selected_cached_wrapper
cami2_toy_mouse_gut	6	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/toymouse_sample6.normalized_depth_alpha2.tsv	0.8579387186629526	19.34922376619843	0.9744771448630442	158.0	157.0	1.0	0.0063291139240506	0.0031719069919516	3.1406162429366646	0.2968895930101031	0.5506146653872621	473.0164954266237	471.51613109747154	290.5	392.1075949367088	203.5	290.5	392.1075949367088	0.246379	0.2035	0.3188185	0.264	0.7120545	0.7410405	0.8187490901742945	0.1710221196407425	0.984561	94.0	27.0	12.0	0.8207859226205523	selected_cached_wrapper
cami2_toy_mouse_gut	7	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/toymouse_sample7.normalized_depth_alpha2.tsv	0.9545454545454544	5.827122498816299	0.9984232596633772	64.0	64.0	0.0	0.0	0.0	2.6307759714083243	0.2322788332677496	0.5258560952722275	809.105830481334	809.105830481334	455.5	557.171875	383.5	455.5	557.171875	0.4066955	0.3835	0.6096425	0.5365	0.780851	0.71704	0.8480815400757893	0.2537453255923714	0.988752	46.0	11.0	5.0	0.6212019710664737	selected_cached_wrapper
cami3_toy_human_gut_gtdb_source_readmap	0	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/cami3_sample0.normalized_depth_alpha2.tsv	0.8465608465608465	62.22911255209164	0.9168100125114248	96.0	94.0	2.0	0.0208333333333333	0.0433258585193745	3.1587324125221588	0.2882640129044611	0.4158687730434555	874.0689926158605	836.1992031056135	236.0	344.7083333333333	87.0	236.0	344.7083333333333	0.1197795	0.087	0.240166	0.1325	0.395238	0.6990315	0.7028875639931177	0.031777948666301	0.957805	70.0	9.0	6.0	0.2779315671802909	selected_cached_wrapper
cami3_toy_human_gut_gtdb_source_readmap	1	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/cami3_sample1.normalized_depth_alpha2.tsv	0.8585365853658536	67.19360511221431	0.7216589081849197	101.0	99.0	2.0	0.0198019801980198	0.044590855587997	3.401164941326245	0.1626741984148899	0.3340887860053828	729.0550589980166	696.5458701465375	204.0	346.23762376237624	103.0	204.0	346.23762376237624	0.123561	0.103	0.190651	0.116	0.508718	0.708367	0.7184498101174217	0.0454671462075862	0.969279	73.0	11.0	6.0	0.2668189045155165	selected_cached_wrapper
cami3_toy_human_gut_gtdb_source_readmap	2	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/cami3_sample2.normalized_depth_alpha2.tsv	0.772093023255814	43.81898504973305	0.9544933525370352	116.0	115.0	1.0	0.0086206896551724	0.0215245039618472	3.106540468188764	0.2225394570998194	0.3959364382681906	627.7093943538135	614.1982610081561	111.0	273.91379310344826	34.0	111.0	273.91379310344826	0.0644675	0.034	0.134512	0.0695	0.350171	1.0	0.6596479121052998	0.1138787574495514	0.9523025	77.0	14.0	8.0	0.6618999137123793	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	0	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample0.integrated_candidate_surface_abundance.tsv	0.8405797101449276	18.780365281635746	0.9895037710483946	36.0	36.0	0.0	0.0	0.0	2.312764224857559	0.4012979127775566	0.6192855417270018	408.9642011941639	408.9642011941639	622.0	583.2222222222222	369.5	622.0	583.2222222222222	0.4579	0.3695	1.2599595	0.401	0.65008	1.0	0.7779897524555616	0.3577064869556492	0.980424	23.0	8.0	6.0	0.875944010633818	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	1	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample1.integrated_candidate_surface_abundance.tsv	0.6799999999999999	18.10588369009258	0.9973939434154936	99.0	99.0	0.0	0.0	0.0	2.348752148696028	0.4509201316584091	0.6914413394442369	797.3620335604977	797.3620335604977	412.0	432.5757575757576	132.0	412.0	432.5757575757576	0.194308	0.132	0.643812	0.145	0.772362	1.0	0.6526832247296572	0.3749368973642101	0.988259	56.0	19.0	8.0	0.7174211999200178	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	10	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample10.integrated_candidate_surface_abundance.tsv	0.9130434782608696	20.729208359157223	0.9889496865549154	69.0	69.0	0.0	0.0	0.0	2.6950136586876883	0.2076503416393362	0.5142230242631106	544.9605847625855	544.9605847625855	409.0	491.231884057971	250.0	409.0	491.231884057971	0.282367	0.25	0.5689	0.264	0.665448	1.0	0.8117746856157045	0.3723527197478625	0.981487	31.0	8.0	23.0	0.7164407433296367	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	11	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample11.integrated_candidate_surface_abundance.tsv	0.9846153846153848	22.34574875063908	0.9390039844436856	32.0	32.0	0.0	0.0	0.0	2.5306329745367555	0.1894421312224603	0.4667641340632604	721.1873437604959	721.1873437604959	922.5	851.5625	554.5	922.5	851.5625	0.6840310000000001	0.5545	3.5829895	0.8175	0.6910810000000001	1.0	0.8468574132318691	0.4616591226730817	1.0	16.0	4.0	10.0	0.9501531916994842	selected_cached_wrapper
