method	rule_type	feature1	op1	threshold1	feature2	op2	threshold2	sample_count	selected_by_rule	mean_sample_delta_L1_pp	max_sample_worse_L1_pp	improved_samples	worsened_samples	mean_panel_delta_L1_pp	max_panel_worse_L1_pp	improved_panels	worsened_panels	selected_cached_mean_delta_L1_pp	selected_cached_improved_samples	selected_cached_worsened_samples	external_mean_delta_L1_pp	external_improved_samples	external_worsened_samples	cached_gain_preserved_frac	strict_combined_sample_safe
guarded_feature_allocator_a002_refined_guard	single	s_xny_median	>=	230.3				38	34	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	single	s_xny_mean	>=	345.7788366336634				38	34	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	single	xny_max_median	>=	230.3				38	34	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	single	xny_max_mean	>=	345.7788366336634				38	34	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	single	s_depth_median	>=	0.2253115				38	34	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	single	u_depth_median	>=	0.12905				38	34	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	two_feature_and	s_xny_median	>=	230.3	s_xny_mean	>=	345.7788366336634	38	33	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	two_feature_and	s_xny_median	>=	230.3	xny_max_median	>=	230.3	38	34	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	two_feature_and	s_xny_median	>=	230.3	xny_max_mean	>=	345.7788366336634	38	33	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	two_feature_and	s_xny_median	>=	230.3	s_depth_median	>=	0.2253115	38	34	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	two_feature_and	s_xny_median	>=	230.3	u_depth_median	>=	0.12905	38	34	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	two_feature_and	s_xny_mean	>=	345.7788366336634	xny_max_median	>=	230.3	38	33	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	two_feature_and	s_xny_mean	>=	345.7788366336634	xny_max_mean	>=	345.7788366336634	38	34	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	two_feature_and	s_xny_mean	>=	345.7788366336634	s_depth_median	>=	0.2253115	38	33	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	two_feature_and	s_xny_mean	>=	345.7788366336634	u_depth_median	>=	0.12905	38	33	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	two_feature_and	xny_max_median	>=	230.3	xny_max_mean	>=	345.7788366336634	38	33	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	two_feature_and	xny_max_median	>=	230.3	s_depth_median	>=	0.2253115	38	34	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	two_feature_and	xny_max_median	>=	230.3	u_depth_median	>=	0.12905	38	34	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	two_feature_and	xny_max_mean	>=	345.7788366336634	s_depth_median	>=	0.2253115	38	33	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	two_feature_and	xny_max_mean	>=	345.7788366336634	u_depth_median	>=	0.12905	38	33	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	two_feature_and	s_depth_median	>=	0.2253115	u_depth_median	>=	0.12905	38	34	-0.26295468938063477	0.0	33	0	-0.11727034536489217	0.0	5	0	-0.3114738356868235	29	0	-0.0041859090809617805	4	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	single	s_breadth_median	>=	0.11932904999999999				38	34	-0.26266728144928203	0.0	32	0	-0.11666359528759189	0.0	5	0	-0.3114738356868235	29	0	-0.0023656588490609254	3	0	0.9768179881109648	True
guarded_feature_allocator_a002_refined_guard	two_feature_and	s_xny_median	>=	230.3	s_breadth_median	>=	0.11932904999999999	38	33	-0.26266728144928203	0.0	32	0	-0.11666359528759189	0.0	5	0	-0.3114738356868235	29	0	-0.0023656588490609254	3	0	0.9768179881109648	True
