sample	method	gold_taxa	pred_taxa	TP	FP	FN	precision	recall	F1	abundance_column	tp_abundance_n	tp_abundance_pearson	tp_abundance_mae	bacteria_scope_l1	dataset	sample_key	profile_path	abundance_feature_allocator_switch	abundance_feature_allocator_applied	abundance_feature_allocator_guard_passed	abundance_feature_allocator_method	abundance_feature_allocator_alpha	abundance_feature_allocator_target	abundance_feature_allocator_guard_feature	abundance_feature_allocator_guard_threshold	abundance_feature_allocator_base_mass_multi_genus_frac	abundance_feature_allocator_adjusted_rows_n	abundance_feature_allocator_rule
3	current_exactsplit_abundance	85	80	51	29	34	0.6375	0.6	0.6181818181818182	calibrated_abundance	51	0.9921425285240929	0.0016780966748911178	1.0469200616844558	plant_holdout	plant_holdout3	/tmp/minco_exactsplit_universal_20260626/plant_holdout3_universal_exactsplit_strategy.tsv	guarded-genus-hit-breadth-a002	False	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.7940090375391571	0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved
3	guarded_feature_allocator_exactsplit	85	80	51	29	34	0.6375	0.6	0.6181818181818182	feature_allocator_raw	51	0.9922199443318169	0.001676835629639306	1.0471689717043338	plant_holdout	plant_holdout3	/tmp/minco_exactsplit_universal_20260626/plant_holdout3_universal_exactsplit_strategy.tsv	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.7940090375391571	40	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved
4	current_exactsplit_abundance	84	78	51	27	33	0.6538461538461539	0.6071428571428571	0.6296296296296297	calibrated_abundance	51	0.9981029922806188	0.0013381241817579542	0.47369915881872293	plant_holdout	plant_holdout4	/tmp/minco_exactsplit_universal_20260626/plant_holdout4_universal_exactsplit_strategy.tsv	guarded-genus-hit-breadth-a002	False	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.7627789041968822	0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved
4	guarded_feature_allocator_exactsplit	84	78	51	27	33	0.6538461538461539	0.6071428571428571	0.6296296296296297	feature_allocator_raw	51	0.9981608305671174	0.001336672888447933	0.47376014574849656	plant_holdout	plant_holdout4	/tmp/minco_exactsplit_universal_20260626/plant_holdout4_universal_exactsplit_strategy.tsv	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.7627789041968822	33	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved
5	current_exactsplit_abundance	55	64	35	29	20	0.546875	0.6363636363636364	0.5882352941176472	calibrated_abundance	35	0.7768171258847472	0.011782496410616815	0.9483396147682904	plant_holdout	plant_holdout5	/tmp/minco_exactsplit_universal_20260626/plant_holdout5_universal_exactsplit_strategy.tsv	guarded-genus-hit-breadth-a002	False	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.7627621328639334	0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved
5	guarded_feature_allocator_exactsplit	55	64	35	29	20	0.546875	0.6363636363636364	0.5882352941176472	feature_allocator_raw	35	0.7767142730226724	0.011762003963278714	0.9479678154863289	plant_holdout	plant_holdout5	/tmp/minco_exactsplit_universal_20260626/plant_holdout5_universal_exactsplit_strategy.tsv	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.7627621328639334	30	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved
0	current_exactsplit_abundance	20	14	8	6	12	0.5714285714285714	0.4	0.47058823529411764	calibrated_abundance	8	0.8939718661852695	0.05151790168735876	0.6538287291428433	strainmadness	strain0	/tmp/minco_exactsplit_universal_20260626/strain0_universal_exactsplit_strategy.tsv	guarded-genus-hit-breadth-a002	False	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.6278510169316203	0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved
0	guarded_feature_allocator_exactsplit	20	14	8	6	12	0.5714285714285714	0.4	0.47058823529411764	feature_allocator_raw	8	0.895988259612902	0.05109000670793161	0.6504055693074261	strainmadness	strain0	/tmp/minco_exactsplit_universal_20260626/strain0_universal_exactsplit_strategy.tsv	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.6278510169316203	6	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved
1	current_exactsplit_abundance	20	23	15	8	5	0.6521739130434783	0.75	0.6976744186046512	calibrated_abundance	15	0.7930644499006302	0.04342494942591353	0.8734446798401095	strainmadness	strain1	/tmp/minco_exactsplit_universal_20260626/strain1_universal_exactsplit_strategy.tsv	guarded-genus-hit-breadth-a002	False	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.827329587120802	0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved
1	guarded_feature_allocator_exactsplit	20	23	15	8	5	0.6521739130434783	0.75	0.6976744186046512	feature_allocator_raw	15	0.8007435639267226	0.04281746910316022	0.8630456858631228	strainmadness	strain1	/tmp/minco_exactsplit_universal_20260626/strain1_universal_exactsplit_strategy.tsv	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.827329587120802	13	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved
