panel	sample	evidence_group	profile	rule_selected	old_switch_applied	expected_refined_applied	wrapper_refined_applied	apply_match	s_xny_median_feature	s_xny_median_wrapper	base_mass_multi_genus_frac_wrapper	adjusted_rows
cami2_toy_mouse_gut	5	selected_cached_wrapper	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/toymouse_sample5.normalized_depth_alpha2.tsv	True	True	True	True	True	249.0	249.0	0.8442072326434183	83
cami2_toy_mouse_gut	6	selected_cached_wrapper	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/toymouse_sample6.normalized_depth_alpha2.tsv	True	True	True	True	True	290.5	290.5	0.8207859226205523	90
cami2_toy_mouse_gut	7	selected_cached_wrapper	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/toymouse_sample7.normalized_depth_alpha2.tsv	True	True	True	True	True	455.5	455.5	0.6212019710664737	29
cami3_toy_human_gut_gtdb_source_readmap	0	selected_cached_wrapper	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/cami3_sample0.normalized_depth_alpha2.tsv	True	False	False	False	True	236.0	236.0	0.2919315671234782	0
cami3_toy_human_gut_gtdb_source_readmap	1	selected_cached_wrapper	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/cami3_sample1.normalized_depth_alpha2.tsv	False	False	False	False	True	204.0	204.0	0.2916005359838694	0
cami3_toy_human_gut_gtdb_source_readmap	2	selected_cached_wrapper	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/cami3_sample2.normalized_depth_alpha2.tsv	False	True	False	False	True	111.0	111.0	0.6942318304267054	0
hmp_airskin_gtdb_source_abundance	0	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample0.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	622.0	622.0	0.875944010633818	21
hmp_airskin_gtdb_source_abundance	1	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample1.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	412.0	412.0	0.7269955386404219	59
hmp_airskin_gtdb_source_abundance	10	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample10.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	409.0	409.0	0.7283247274314621	48
hmp_airskin_gtdb_source_abundance	11	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample11.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	922.5	922.5	0.9465605495406406	20
hmp_airskin_gtdb_source_abundance	13	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample13.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	309.0	309.0	0.9723627662797747	32
hmp_airskin_gtdb_source_abundance	14	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample14.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	918.0	918.0	0.8476731214403671	16
hmp_airskin_gtdb_source_abundance	15	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample15.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	834.5	834.5	0.9216853403983881	15
hmp_airskin_gtdb_source_abundance	16	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample16.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	923.5	923.5	0.8873258813092646	6
hmp_airskin_gtdb_source_abundance	17	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample17.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	594.0	594.0	0.9172182117998726	47
hmp_airskin_gtdb_source_abundance	18	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample18.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	944.0	944.0	0.5017797000179521	13
hmp_airskin_gtdb_source_abundance	19	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample19.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	662.0	662.0	0.8700365536249661	91
hmp_airskin_gtdb_source_abundance	20	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample20.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	619.5	619.5	0.9394216065889625	70
hmp_airskin_gtdb_source_abundance	21	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample21.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	653.0	653.0	0.8703556009229598	30
hmp_airskin_gtdb_source_abundance	22	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample22.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	461.0	461.0	0.6578900133370159	18
hmp_airskin_gtdb_source_abundance	23	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample23.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	530.5	530.5	0.9079791170878567	26
hmp_airskin_gtdb_source_abundance	24	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample24.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	876.0	876.0	0.727914078856979	19
hmp_airskin_gtdb_source_abundance	25	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample25.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	524.0	524.0	0.9103335724031346	44
hmp_airskin_gtdb_source_abundance	28	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample28.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	848.0	848.0	0.8527438120087871	11
hmp_airskin_gtdb_source_abundance	3	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample3.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	760.0	760.0	0.962228766087623	35
hmp_airskin_gtdb_source_abundance	4	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample4.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	477.0	477.0	0.9052910146067648	95
hmp_airskin_gtdb_source_abundance	5	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample5.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	808.0	808.0	0.37907969252481405	16
hmp_airskin_gtdb_source_abundance	6	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample6.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	1000.0	1000.0	0.6039690937479739	5
hmp_airskin_gtdb_source_abundance	7	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample7.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	503.0	503.0	0.9672559240789718	66
hmp_airskin_gtdb_source_abundance	9	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample9.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	369.5	369.5	0.9607358824925907	68
hmp_gastrooral_gtdb_source_abundance	0	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_gastrooral_gtdb_source_abundance.sample0.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	808.0	808.0	0.5318171705114869	11
hmp_gastrooral_gtdb_source_abundance	6	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_gastrooral_gtdb_source_abundance.sample6.integrated_candidate_surface_abundance.tsv	True	True	True	True	True	832.0	832.0	0.6375585038006877	30
