panel	sample	method	F1	official_L1_pp	official_Pearson	truth_mass_detected_pct	matched_abs_error_pp	missing_truth_mass_pp	extra_pred_mass_pp	abundance_feature_allocator_switch	abundance_feature_allocator_applied	abundance_feature_allocator_guard_passed	abundance_feature_allocator_method	abundance_feature_allocator_alpha	abundance_feature_allocator_target	abundance_feature_allocator_guard_feature	abundance_feature_allocator_guard_threshold	abundance_feature_allocator_base_mass_multi_genus_frac	abundance_feature_allocator_adjusted_rows_n	abundance_feature_allocator_rule	delta_L1_pp	delta_Pearson
cami2_toy_mouse_gut	5	current_selected_abundance	0.8722222222222222	15.414228172610029	0.9917478920123489	97.6716205584861	13.085848731096158	2.3283794415138734	1.7716600070103263												0.0	0.0
cami2_toy_mouse_gut	5	wrapper_guarded_genus_hit_breadth_a002	0.8722222222222222	15.135362396238275	0.9919231967770831	97.6716205584861	12.806982954724411	2.3283794415138734	1.7716021456232487	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.8442072326434183	83.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.27886577637175414	0.00017530476473415213
cami2_toy_mouse_gut	6	current_selected_abundance	0.8579387186629526	19.34922376619821	0.974477144863044	98.55702629753166	17.906250063729846	1.442973702468359	2.8486074814788362												0.0	0.0
cami2_toy_mouse_gut	6	wrapper_guarded_genus_hit_breadth_a002	0.8579387186629526	19.09492150930367	0.9749877693716209	98.55702629753166	17.65194780683531	1.442973702468359	2.84095063557138	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.8207859226205523	90.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.25430225689454033	0.0005106245085768624
cami2_toy_mouse_gut	7	current_selected_abundance	0.9545454545454545	5.827122498816438	0.9984232596633771	99.51916901908804	5.346291517904461	0.48083098091197957	0.08940614079843903												0.0	0.0
cami2_toy_mouse_gut	7	wrapper_guarded_genus_hit_breadth_a002	0.9545454545454545	5.796528488138228	0.9984685596867866	99.51916901908804	5.31569750722625	0.48083098091197957	0.08940614079843905	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.6212019710664737	29.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.030594010678210104	4.530002340952244e-05
cami3_toy_human_gut_gtdb_source_readmap	0	current_selected_abundance	0.8465608465608465	62.229112552092026	0.9168100125114246	89.43520626440736	40.77552903670822	10.56479373559268	10.888789779791125												0.0	0.0
cami3_toy_human_gut_gtdb_source_readmap	0	wrapper_guarded_genus_hit_breadth_a002	0.8465608465608465	62.229112552092026	0.9168100125114246	89.43520626440736	40.77552903670822	10.56479373559268	10.888789779791125	guarded-genus-hit-breadth-a002	False	False	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.2919315671234782	0.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	0.0	0.0
cami3_toy_human_gut_gtdb_source_readmap	1	current_selected_abundance	0.8585365853658536	67.19360511221436	0.7216589081849198	86.52273502066252	44.14384330842487	13.47726497933749	9.572496824451974												0.0	0.0
cami3_toy_human_gut_gtdb_source_readmap	1	wrapper_guarded_genus_hit_breadth_a002	0.8585365853658536	67.19360511221436	0.7216589081849198	86.52273502066252	44.14384330842487	13.47726497933749	9.572496824451974	guarded-genus-hit-breadth-a002	False	False	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.2916005359838694	0.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	0.0	0.0
cami3_toy_human_gut_gtdb_source_readmap	2	current_selected_abundance	0.772093023255814	43.81898504973346	0.9544933525370349	99.51471370763684	32.722027171453945	0.4852862923631529	10.611671585916357												0.0	0.0
cami3_toy_human_gut_gtdb_source_readmap	2	wrapper_guarded_genus_hit_breadth_a002	0.772093023255814	43.58244263548971	0.9543170854115114	99.51471370763684	32.561298239417376	0.4852862923631529	10.535858103709177	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.6942318304267054	53.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.23654241424375044	-0.00017626712552354373
hmp_airskin_gtdb_source_abundance	0	current_selected_abundance	0.8405797101449276	18.780365281635795	0.9895037710483945	99.99520959562413	10.119936793047726	0.004790404375874205	8.655638084212198												0.0	0.0
hmp_airskin_gtdb_source_abundance	0	wrapper_guarded_genus_hit_breadth_a002	0.8405797101449276	18.485434315222033	0.9898248287847489	99.99520959562413	9.966860579238071	0.004790404375874205	8.513783331608085	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.875944010633818	21.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.29493096641376226	0.00032105773635437984
hmp_airskin_gtdb_source_abundance	1	current_selected_abundance	0.6799999999999999	18.105883690092906	0.9973939434154936	99.99999999999999	11.773226709810261	0.0	6.3326569802826445												0.0	0.0
hmp_airskin_gtdb_source_abundance	1	wrapper_guarded_genus_hit_breadth_a002	0.6799999999999999	17.73786837906538	0.9975148885904875	99.99999999999999	11.470424983844671	0.0	6.267443395220712	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.7269955386404219	59.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.36801531102752705	0.00012094517499394719
hmp_airskin_gtdb_source_abundance	3	current_selected_abundance	0.9574468085106385	12.670666989685989	0.9970245468507749	99.78217411541614	8.663260840363016	0.21782588458383687	3.789580264739139												0.0	0.0
hmp_airskin_gtdb_source_abundance	3	wrapper_guarded_genus_hit_breadth_a002	0.9574468085106385	12.533226117750058	0.9970543198658293	99.78217411541614	8.53406713033454	0.21782588458383687	3.7813331028316832	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.962228766087623	35.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.13744087193593124	2.9773015054357366e-05
hmp_airskin_gtdb_source_abundance	4	current_selected_abundance	0.8395061728395061	28.72674092295988	0.9883782682234051	98.66532346797557	18.52652125098263	1.334676532024448	8.865543139952813												0.0	0.0
hmp_airskin_gtdb_source_abundance	4	wrapper_guarded_genus_hit_breadth_a002	0.8395061728395061	28.315437632560524	0.9886458992881852	98.66532346797557	18.235150375702357	1.334676532024448	8.745610724833726	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.9052910146067648	95.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.4113032903993563	0.0002676310647801161
hmp_airskin_gtdb_source_abundance	5	current_selected_abundance	0.9615384615384616	10.337735604597233	0.9983818025644172	98.56115107913669	8.085223253669351	1.4388489208633206	0.8136634300645583												0.0	0.0
