chunk	syldb_bytes	elapsed	peak_rss_kb	exit_status
chunk_0000	675245961	0:38.58	1025300	0
chunk_0001	1080833688	1:03.33	1495624	0
chunk_0002	1169664329	1:07.65	1655404	0
chunk_0003	1080526449	1:06.42	1536816	0
chunk_0004	1223180809	1:14.81	1732748	0
chunk_0005	1146241478	1:10.97	1604136	0
chunk_0006	1343575154	1:21.87	1831952	0
chunk_0007	1338409281	1:22.50	1814396	0
chunk_0008	1212506661	1:14.79	1685132	0
chunk_0009	1231598080	1:17.14	1686228	0
chunk_0010	961745325	0:59.79	1343276	0
chunk_0011	978713047	1:00.14	1359896	0
chunk_0012	1235070546	1:16.57	1781644	0
chunk_0013	1598549168	1:41.37	2254844	0
chunk_0014	1052359588	1:08.09	1442084	0
chunk_0015	1214440198	1:19.14	1786788	0
chunk_0016	1679527511	1:40.82	2372872	0
chunk_0017	1842693572	1:48.80	2585704	0
chunk_0018	1935587202	2:00.95	2743148	0
chunk_0019	1873515846	1:58.85	2632156	0
