sample	source_genome_id	source_accession	raw_abundance	gtdb_species	mapping_method
1	OTU_97.16660.0	GCA_001879545.1	1.0	s__Staphylococcus aureus	exact_accession
1	OTU_97.249.0	GCA_001299595.1	17.0	s__Campylobacter_D jejuni	exact_accession
1	OTU_97.43000.0	GCA_000165575.1	1.0	s__Haemophilus influenzae	exact_accession
1	OTU_97.91.0	GCA_001274535.1	1.0	s__Leptotrichia_A sp001274535	exact_accession
1	OTU_97.34305.1	GCA_000816245.1	1.99700500288	s__Campylobacter_D sp000816245	exact_accession
1	OTU_97.34173.1	GCA_000011665.1	0.0608425730399	s__Streptococcus pyogenes	exact_accession
1	OTU_97.34173.0	GCA_000091905.1	0.93915742696	s__Streptococcus suis	exact_accession
1	OTU_97.36183.0	GCA_000011265.1	0.975902535458	s__Staphylococcus aureus	exact_accession
1	OTU_97.36183.1	GCA_001880265.1	0.0240974645416	s__Staphylococcus aureus	exact_accession
1	OTU_97.2796.0	GCA_900128415.1	2.0	s__Anaerococcus mediterraneensis	exact_accession
1	OTU_97.27214.0	GCA_001717665.1	3.0	s__Staphylococcus aureus	unique_assembly_core
1	OTU_97.44994.0	GCA_001547835.1	1.0	s__Streptococcus pyogenes	exact_accession
1	OTU_97.7004.0	GCA_001307235.1	1.0	s__Staphylococcus aureus	exact_accession
1	OTU_97.34663.1	GCA_000025085.1	24.8430685924	s__Staphylococcus lugdunensis	exact_accession
1	OTU_97.34663.0	GCA_001548295.1	0.156931407615	s__Staphylococcus aureus	exact_accession
1	OTU_97.42356.0	GCA_000210935.1	4.0	s__Streptococcus pneumoniae	exact_accession
1	OTU_97.38169.0	GCA_000567925.1	1.0	s__Burkholderia thailandensis	exact_accession
1	OTU_97.37567.0	GCA_000023285.1	1.0	s__Capnocytophaga ochracea	exact_accession
1	OTU_97.38234.0	GCA_000158275.2	1.0	s__Fusobacterium animalis	exact_accession
1	OTU_97.26944.0	GCA_000027045.1	1.0	s__Staphylococcus aureus	exact_accession
1	OTU_97.42074.0	GCA_000204625.1	1.0	s__Streptococcus suis	exact_accession
1	OTU_97.43537.0	GCA_000163915.2	1.0	s__Fusobacterium vincentii	exact_accession
1	OTU_97.34032.1	GCA_001725965.1	0.666128507065	s__Staphylococcus aureus	exact_accession
1	OTU_97.34032.0	GCA_000967365.1	0.333871492935	s__Staphylococcus aureus	exact_accession
1	OTU_97.31367.0	GCA_000010185.1	41.0	s__Finegoldia magna_H	exact_accession
1	OTU_97.35354.0	GCA_000152165.1	1.0	s__Neisseria meningitidis	exact_accession
1	OTU_97.44585.0	GCA_000009645.1	177.0	s__Staphylococcus aureus	exact_accession
1	OTU_97.4559.0	GCA_001951295.1	1.0	s__Campylobacter_D jejuni	exact_accession
1	OTU_97.81.0	GCA_001314265.1	1.0	s__Porphyromonas gingivalis	exact_accession
1	OTU_97.28992.0	GCA_000193395.1	1.0	s__Prevotella denticola	exact_accession
1	OTU_97.150.0	GCA_001865765.1	1.0	s__Corynebacterium pseudotuberculosis	exact_accession
1	OTU_97.44706.0	GCA_001618885.1	1.0	s__Staphylococcus condimenti	exact_accession
1	OTU_97.1906.0	GCA_001017575.1	1.0	s__Campylobacter_D lari_C	exact_accession
1	OTU_97.34817.0	GCA_000494875.1	1.0	s__Staphylococcus warneri	exact_accession
1	OTU_97.34725.0	GCA_001618305.1	2.0	s__Staphylococcus aureus	exact_accession
1	OTU_97.57.0	GCA_001456155.1	0.032993785027	s__Chryseobacterium sp001456155	exact_accession
1	OTU_97.57.1	GCA_001051115.1	0.967006214973	s__Riemerella anatipestifera	exact_accession
1	OTU_97.179.0	GCA_001506805.1	1.0	s__Campylobacter_D jejuni	exact_accession
1	OTU_97.34305.0	GCA_001563565.1	1.00299499712	s__Campylobacter_D jejuni	exact_accession
1	OTU_97.27108.0	GCA_001682435.2	1.0	s__Staphylococcus pseudintermedius	exact_accession
1	OTU_97.36228.0	GCA_001458475.1	1.0	s__Kingella kingae	exact_accession
1	OTU_97.44237.0	GCA_000091725.1	65.0	s__Propionibacterium freudenreichii	exact_accession
1	OTU_97.37297.1	GCA_001548415.1	4.47587019717	s__Staphylococcus aureus	exact_accession
1	OTU_97.37297.0	GCA_001611345.1	4.52412980283	s__Staphylococcus aureus	exact_accession
1	OTU_97.45053.0	GCA_000349765.1	1.0		unmapped
1	OTU_97.35048.0	GCA_000007645.1	1.0	s__Staphylococcus epidermidis	exact_accession
1	OTU_97.508.0	GCA_000219875.1	1.0	s__Alicyclobacillus acidocaldarius_A	exact_accession
