sample	sample_label	source_genomes_positive	source_genomes_mapped	truth_gtdb_species	truth_mass_total	truth_mass_mapped	truth_mass_mapped_pct	truth_mass_exact_accession	truth_mass_unique_assembly_core	truth_mass_ambiguous_assembly_core	truth_mass_unmapped	release_truth_quality	has_current_minco_inputs	has_same_release_outputs	can_profile_without_download	can_restore_from_bam_archive	local_fastq	local_bam_list	minco_unique_cached	minco_split_cached	minco_current_exact_profile	sylph_r226_profile	sylph_r232_profile	sylph_sketch
6	airskin_sample6	24	24	16	212.000000000002	212.000000000002	100.0	211.000000000002	1.0	0.0	0.0	True	True	True	True	True	/tmp/cami2_hmp_unseen_transfer_20260626/reads/airskinurogenital_sample6.nonzero.fastq.gz	/tmp/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample6.txt	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_unique_zip_unfiltered.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_split_zip_unfiltered.tsv	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_current_exact.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/sylph_sample6/profile.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample6/profile.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/sylph_sample6/airskinurogenital_sample6.nonzero.fastq.gz.sylsp
11	airskin_sample11	76	72	33	288.0000000000212	279.16454808643323	96.93213475222663	279.16454808643323	0.0	0.0	8.835451913588	True	True	True	True	True	/tmp/cami2_hmp_unseen_transfer_20260626/reads/airskinurogenital_sample11.nonzero.fastq.gz	/tmp/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample11.txt	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_unique_zip_unfiltered.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_split_zip_unfiltered.tsv	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample11_current_exact.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/sylph_sample11/profile.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample11/profile.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/sylph_sample11/airskinurogenital_sample11.nonzero.fastq.gz.sylsp
0	airskin_sample0	44	44	33	373.00000000004667	373.00000000004667	100.0	373.00000000004667	0.0	0.0	0.0	True	True	True	False	True		/tmp/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample0.txt	/tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_split.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin0_20260627/minco_sample0_current_default.tsv		/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample0/profile.tsv	
5	airskin_sample5	39	39	26	138.9999999999989	138.9999999999989	100.0	138.9999999999989	0.0	0.0	0.0	True	True	True	False	True		/tmp/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample5.txt	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv		/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample5/profile.tsv	
18	airskin_sample18	51	51	27	229.99999999995032	229.99999999995032	100.0	228.99999999995032	1.0	0.0	0.0	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample18.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/minco_sample18_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample18/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample18/airskinurogenital_sample18.nonzero.fastq.gz.sylsp
21	airskin_sample21	47	47	34	322.00000000000284	322.00000000000284	100.0	322.00000000000284	0.0	0.0	0.0	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample21.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/minco_sample21_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample21/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample21/airskinurogenital_sample21.nonzero.fastq.gz.sylsp
22	airskin_sample22	25	25	21	145.00000000000043	145.00000000000043	100.0	145.00000000000043	0.0	0.0	0.0	True	True	True	False	True		/tmp/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample22.txt	/tmp/minco_current_code_hmp_airskin22_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin22_20260627/work/minco.best_diff_split.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin22_20260627/minco_sample22_current_default.tsv		/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample22/profile.tsv	
13	airskin_sample13	140	136	40	2759.9999999997335	2756.9901226407733	99.89094647250143	2749.3800788078643	7.610043832909	0.0	3.0098773589604	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample13.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/minco_sample13_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample13/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample13/airskinurogenital_sample13.nonzero.fastq.gz.sylsp
28	airskin_sample28	25	24	12	25.00000000000311	24.963120287692007	99.85248115075561	24.963120287692007	0.0	0.0	0.0368797123111	True	True	True	False	True		/tmp/cami2_hmp_airskin_20260625/nonzero_bam_paths_sample28.txt	/tmp/minco_current_code_hmp_airskin28_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin28_20260627/work/minco.best_diff_split.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin28_20260627/minco_sample28_current_default.tsv	/tmp/cami2_hmp_airskin_20260625/run/sylph_sample28/profile.tsv	/tmp/cami2_hmp_airskin_20260625/run_sylph_r232/sylph_sample28/profile.chunked.tsv	/tmp/cami2_hmp_airskin_20260625/run/sylph_sample28/airskinurogenital_sample28.nonzero.fastq.gz.sylsp
25	airskin_sample25	89	88	49	510.0000000000371	509.0000000000371	99.80392156862746	509.0000000000371	0.0	0.0	1.0	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample25.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/minco_sample25_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample25/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample25/airskinurogenital_sample25.nonzero.fastq.gz.sylsp
