sample	source_genome_id	source_accession	raw_abundance	gtdb_species	mapping_method
6	OTU_97.7557.0	GCA_000261025.1	2.0	s__Prevotella intermedia	exact_accession
6	OTU_97.2798.0	GCA_001042655.1	1.0	s__Bifidobacterium vaginale	exact_accession
6	OTU_97.18936.0	GCA_000210415.1	1.0	s__Clostridioides difficile	exact_accession
6	OTU_97.2363.0	GCA_000270285.1	2.0	s__Enteroscipio sp000270285	exact_accession
6	OTU_97.6593.0	GCA_000023885.1	8.0	s__Slackia heliotrinireducens	exact_accession
6	OTU_97.26891.0	GCA_000019345.1	1.0	s__Ureaplasma parvum	exact_accession
6	OTU_97.10524.0	GCA_000163055.2	16.0	s__Prevotella sp000163055	exact_accession
6	OTU_97.4481.0	GCA_001717505.1	33.0	s__Allisonella pneumosinta	exact_accession
6	OTU_97.92.0	GCA_000085225.1	3.0	s__Clostridioides difficile	exact_accession
6	OTU_97.90.0	GCA_000159155.2	40.0	s__Bifidobacterium vaginale	exact_accession
6	OTU_97.13437.0	GCA_001077535.1	1.0	s__Clostridioides difficile	unique_assembly_core
6	OTU_97.1676.0	GCA_001643775.1	6.84236277559	s__Denitrobacterium detoxificans	exact_accession
6	OTU_97.1676.1	GCA_000023845.1	0.157637224412	s__Cryptobacterium curtum	exact_accession
6	OTU_97.27551.0	GCA_001953155.1	3.0	s__Bifidobacterium swidsinskii	exact_accession
6	OTU_97.2583.0	GCA_001554055.1	1.0	s__Mycoplasma mycoides	exact_accession
6	OTU_97.10391.0	GCA_001548195.1	1.0	s__Prevotella intermedia	exact_accession
6	OTU_97.6777.0	GCA_000025205.1	1.0	s__Bifidobacterium swidsinskii	exact_accession
6	OTU_97.369.0	GCA_000478885.1	24.0	s__Adlercreutzia equolifaciens	exact_accession
6	OTU_97.21316.0	GCA_900155405.1	1.0	s__Negativicoccus massiliensis_A	exact_accession
6	OTU_97.5487.0	GCA_000024225.1	1.0	s__Lancefieldella parvula	exact_accession
6	OTU_97.32703.0	GCA_000213955.1	1.0	s__Bifidobacterium vaginale	exact_accession
6	OTU_97.300.0	GCA_000006625.1	1.0	s__Ureaplasma parvum	exact_accession
6	OTU_97.27530.0	GCA_001025215.1	2.0	s__Bifidobacterium pseudocatenulatum	exact_accession
6	OTU_97.40012.0	GCA_001953935.1	61.0	s__Prevotella intermedia	exact_accession
11	OTU_97.16660.0	GCA_001879545.1	1.0	s__Staphylococcus aureus	exact_accession
11	OTU_97.80.0	GCA_001636015.1	6.0	s__Moraxella ovis	exact_accession
11	OTU_97.36161.0	GCA_000814865.1	0.228956722929	s__Corynebacterium pseudotuberculosis	exact_accession
11	OTU_97.36161.1	GCA_000179395.2	19.7710432771	s__Corynebacterium variabile	exact_accession
11	OTU_97.34663.1	GCA_000025085.1	2.98116823109	s__Staphylococcus lugdunensis	exact_accession
11	OTU_97.34663.0	GCA_001548295.1	0.0188317689138	s__Staphylococcus aureus	exact_accession
11	OTU_97.39766.0	GCA_000143705.1	1.0		unmapped
11	OTU_97.3486.0	GCA_000746505.1	1.0	s__Staphylococcus aureus	exact_accession
11	OTU_97.31767.0	GCA_000815205.1	1.0	s__Staphylococcus aureus	exact_accession
11	OTU_97.89.0	GCA_001936195.1	31.0	s__Corynebacterium glutamicum	exact_accession
11	OTU_97.17714.0	GCA_000241855.1	1.0	s__Corynebacterium pseudotuberculosis	exact_accession
11	OTU_97.34011.0	GCA_001586235.1	2.0	s__Corynebacterium simulans	exact_accession
11	OTU_97.989.0	GCA_001685645.1	1.0	s__Bacillus velezensis	exact_accession
11	OTU_97.34654.0	GCA_000245495.1	1.0	s__Staphylococcus aureus	exact_accession
11	OTU_97.20026.0	GCA_000972805.1	1.0	s__Corynebacterium pseudotuberculosis	exact_accession
11	OTU_97.39911.0	GCA_000016285.1	1.0	s__Allorhizobium ampelinum	exact_accession
11	OTU_97.25856.0	GCA_000769575.1	1.0	s__Staphylococcus aureus	exact_accession
11	OTU_97.17807.0	GCA_001866985.1	22.0	s__Corynebacterium pseudotuberculosis	exact_accession
11	OTU_97.34830.0	GCA_000253135.1	1.0	s__Staphylococcus aureus	exact_accession
11	OTU_97.34832.0	GCA_000024585.1	1.0	s__Staphylococcus aureus	exact_accession
11	OTU_97.34913.0	GCA_001298505.1	5.0	s__Corynebacterium pseudotuberculosis	exact_accession
11	OTU_97.30020.0	GCA_000988655.1	2.0	s__Moraxella ovis	exact_accession
11	OTU_97.36502.0	GCA_000740455.1	5.0	s__Moraxella catarrhalis	exact_accession
11	OTU_97.26567.0	GCA_001447865.2	1.0	s__Corynebacterium glutamicum	exact_accession
11	OTU_97.7131.0	GCA_000263755.2	0.953495736516		unmapped
11	OTU_97.7131.1	GCA_000215645.1	0.0465042634844	s__Corynebacterium ulcerans	exact_accession
11	OTU_97.44585.0	GCA_000009645.1	25.0	s__Staphylococcus aureus	exact_accession
11	OTU_97.34817.0	GCA_000494875.1	1.0	s__Staphylococcus warneri	exact_accession
11	OTU_97.2571.0	GCA_001941645.1	1.0	s__Actinoalloteichus_A fjordicus	exact_accession
11	OTU_97.35323.1	GCA_000241935.1	0.961676764565	s__Corynebacterium diphtheriae	exact_accession
