sample	source_genome_id	source_accession	raw_abundance	gtdb_species	mapping_method
14	OTU_97.34268.0	GCA_001688705.1	1.0		unmapped
14	OTU_97.9718.1	GCA_000953215.1	0.0125845127516	s__Ruminiclostridium_D cellulosi	exact_accession
14	OTU_97.9718.0	GCA_000184925.1	0.987415487248	s__Hungateiclostridium thermocellum	exact_accession
14	OTU_97.36286.0	GCA_001020185.2	1.0	s__Streptococcus pyogenes	exact_accession
14	OTU_97.36183.0	GCA_000011265.1	1.95180507092	s__Staphylococcus aureus	exact_accession
14	OTU_97.36183.1	GCA_001880265.1	0.0481949290833	s__Staphylococcus aureus	exact_accession
14	OTU_97.34663.1	GCA_000025085.1	6.95605920587	s__Staphylococcus lugdunensis	exact_accession
14	OTU_97.34663.0	GCA_001548295.1	0.0439407941323	s__Staphylococcus aureus	exact_accession
14	OTU_97.31767.0	GCA_000815205.1	2.0	s__Staphylococcus aureus	exact_accession
14	OTU_97.40576.0	GCA_000195575.1	1.0	s__Carnobacterium_B sp000195575	exact_accession
14	OTU_97.45365.1	GCA_000211075.1	0.920459959208	s__Streptococcus pneumoniae	exact_accession
14	OTU_97.34032.1	GCA_001725965.1	2.66451402826	s__Staphylococcus aureus	exact_accession
14	OTU_97.34032.0	GCA_000967365.1	1.33548597174	s__Staphylococcus aureus	exact_accession
14	OTU_97.13052.1	GCA_000247605.1	0.278791063475	s__Acetobacterium woodii	exact_accession
14	OTU_97.30766.0	GCA_000317975.2	1.0	s__Carnobacterium maltaromaticum	exact_accession
14	OTU_97.6178.0	GCA_001688725.1	1.0		unmapped
14	OTU_97.16289.0	GCA_001456215.1	1.0	s__Staphylococcus aureus	exact_accession
14	OTU_97.1457.0	GCA_000178835.2	1.0	s__Cellulosilyticum lentocellum	exact_accession
14	OTU_97.14909.0	GCA_000024945.1	1.0	s__Veillonella parvula	exact_accession
14	OTU_97.34830.0	GCA_000253135.1	1.0	s__Staphylococcus aureus	exact_accession
14	OTU_97.7325.0	GCA_000009405.1	1.0	s__Staphylococcus carnosus	exact_accession
14	OTU_97.34832.0	GCA_000024585.1	1.0	s__Staphylococcus aureus	exact_accession
14	OTU_97.44585.0	GCA_000009645.1	47.0	s__Staphylococcus aureus	exact_accession
14	OTU_97.6835.0	GCA_000012845.1	1.0	s__Parabacteroides distasonis	exact_accession
14	OTU_97.25628.0	GCA_000382985.1	1.0	s__Staphylococcus aureus	exact_accession
14	OTU_97.13052.0	GCA_000146185.1	0.721208936525	s__Lachnospira eligens	exact_accession
14	OTU_97.42502.0	GCA_001190805.1	2.0	s__Streptococcus agalactiae	exact_accession
14	OTU_97.1440.0	GCA_000025225.2	1.0	s__Mageeibacillus indolicus	exact_accession
