sample	sample_label	source_genomes_positive	source_genomes_mapped	truth_gtdb_species	truth_mass_total	truth_mass_mapped	truth_mass_mapped_pct	truth_mass_exact_accession	truth_mass_unique_assembly_core	truth_mass_ambiguous_assembly_core	truth_mass_unmapped	raw_ref_rows	raw_ref_taxids	raw_ref_taxids_gtdb_mapped	minco_reference_release	sylph_reference_release	sylph_profile	same_release_ready	release_grade_candidate
20	airskin_sample20	163	156	79	668.9999999999487	660.0536829604617	98.66273287900034	659.0536829604617	1.0	0.0	8.946317039486999	199875	36495	36495	gtdb_r232	gtdb_r232	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample20/profile.tsv	True	True
0	airskin_sample0	44	44	33	373.00000000004667	373.00000000004667	100.0	373.00000000004667	0.0	0.0	0.0	208988	34875	34875	gtdb_r232	gtdb_r232	/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample0/profile.tsv	True	True
1	airskin_sample1	90	89	51	460.00000000001455	459.00000000001455	99.78260869565219	455.12825800437054	3.8717419956440002	0.0	1.0	190678	34010	34010	gtdb_r232	gtdb_r232	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample1/profile.tsv	True	True
3	airskin_sample3	82	81	47	460.9999999999811	459.9999999999811	99.78308026030368	459.9999999999811	0.0	0.0	1.0	141116	26446	26446	gtdb_r232	gtdb_r232	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample3/profile.tsv	True	True
4	airskin_sample4	255	247	106	1236.0000000001714	1225.1398480615114	99.12134693052926	1224.2681060658674	0.871741995644	0.0	10.86015193866	190850	36046	36046	gtdb_r232	gtdb_r232	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample4/profile.tsv	True	True
5	airskin_sample5	39	39	26	138.9999999999989	138.9999999999989	100.0	138.9999999999989	0.0	0.0	0.0	186520	33178	33178	gtdb_r232	gtdb_r232	/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample5/profile.tsv	True	True
6	airskin_urogenital6	24	24	16	212.000000000002	212.000000000002	100.0	211.000000000002	1.0	0.0	0.0	160802	26168	26168	gtdb_r232	gtdb_r232	/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample6/profile.tsv	True	True
11	airskin_airways11	76	72	33	288.0000000000212	279.16454808643323	96.93213475222663	279.16454808643323	0.0	0.0	8.835451913588	198186	36133	36133	gtdb_r232	gtdb_r232	/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample11/profile.tsv	True	True
13	airskin_sample13	140	136	40	2759.9999999997335	2756.9901226407733	99.89094647250143	2749.3800788078643	7.610043832909	0.0	3.0098773589604	165656	30899	30899	gtdb_r232	gtdb_r232	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample13/profile.tsv	True	True
15	airskin_sample15	72	68	24	366.9999999999788	363.8793449707738	99.14968527814572	363.00760297512977	0.871741995644	0.0	3.1206550292050004	154613	30245	30245	gtdb_r232	gtdb_r232	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample15/profile.tsv	True	True
16	airskin_sample16	41	40	10	100.9999999999976	100.3955868302736	99.40157111908515	98.5238448346296	1.871741995644	0.0	0.604413169724	134256	22385	22385	gtdb_r232	gtdb_r232	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample16/profile.tsv	True	True
17	airskin_sample17	89	88	46	323.0000000000159	322.0000000000159	99.6904024767802	322.0000000000159	0.0	0.0	1.0	172690	30049	30049	gtdb_r232	gtdb_r232	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample17/profile.tsv	True	True
