sample	source_genome_id	source_accession	raw_abundance	gtdb_species	mapping_method
21	OTU_97.36060.0	GCA_000279165.1	7.0	s__Stutzerimonas nitrititolerans	exact_accession
21	OTU_97.40357.0	GCA_000008925.1	0.771972290768	s__Ligilactobacillus salivarius	exact_accession
21	OTU_97.40357.1	GCA_001484005.1	5.22802770923	s__Lactiplantibacillus plantarum	exact_accession
21	OTU_97.3437.0	GCA_000829035.1	3.0	s__Lacticaseibacillus paracasei	exact_accession
21	OTU_97.194.1	GCA_001042405.1	1.97562921418	s__Lactobacillus acetotolerans	exact_accession
21	OTU_97.194.0	GCA_001611075.1	0.0243707858245	s__Pediococcus damnosus	exact_accession
21	OTU_97.38238.0	GCA_000758365.1	1.0	s__Ligilactobacillus salivarius	exact_accession
21	OTU_97.449.0	GCA_000010005.1	2.0	s__Limosilactobacillus reuteri	exact_accession
21	OTU_97.30084.0	GCA_001457615.1	2.0	s__Pseudomonas aeruginosa	exact_accession
21	OTU_97.14853.0	GCA_001654435.1	41.0	s__Pseudomonas citronellolis	exact_accession
21	OTU_97.558.0	GCA_001563265.1	1.0	s__Sphingobium sp001563265	exact_accession
21	OTU_97.1036.0	GCA_000943805.1	0.00209692516023	s__Sphingobium fuliginis	exact_accession
21	OTU_97.24737.0	GCA_001721865.1	0.702588957047	s__Herbaspirillum seropedicae	exact_accession
21	OTU_97.24737.1	GCA_001483945.1	0.297411042953	s__Herbaspirillum rubrisubalbicans	exact_accession
21	OTU_97.27789.0	GCA_000338115.2	3.0	s__Lactiplantibacillus plantarum	exact_accession
21	OTU_97.30398.0	GCA_001663675.1	1.0	s__Loigolactobacillus backii	exact_accession
21	OTU_97.3272.0	GCA_001661075.1	33.0	s__Aquipseudomonas silesiensis	exact_accession
21	OTU_97.31719.0	GCA_001888945.1	1.0	s__Lactobacillus delbrueckii	exact_accession
21	OTU_97.36395.0	GCA_000829275.1	4.0	s__Pseudomonas aeruginosa	exact_accession
21	OTU_97.1036.1	GCA_000013985.1	0.99790307484	s__Sphingopyxis alaskensis	exact_accession
21	OTU_97.103.1	GCA_001678885.1	0.367970309277	s__Streptococcus pyogenes	exact_accession
21	OTU_97.103.0	GCA_001543085.1	0.632029690723	s__Streptococcus salivarius	exact_accession
21	OTU_97.27974.0	GCA_000934625.1	1.0	s__Lactobacillus acidophilus	exact_accession
21	OTU_97.162.0	GCA_001721785.1	114.0	s__Pseudomonas aeruginosa	exact_accession
21	OTU_97.37995.0	GCA_000807315.1	1.0	s__Bradyrhizobium japonicum	exact_accession
21	OTU_97.39400.0	GCA_001050435.1	2.0	s__Levilactobacillus koreensis	exact_accession
21	OTU_97.37012.0	GCA_001611115.1	3.0	s__Pediococcus damnosus	exact_accession
21	OTU_97.43877.0	GCA_000582665.1	0.915895577066	s__Lacticaseibacillus paracasei	exact_accession
21	OTU_97.43877.1	GCA_001888905.1	0.0841044229341	s__Lactobacillus delbrueckii	exact_accession
21	OTU_97.22314.1	GCA_000014465.1	0.187384801532	s__Levilactobacillus brevis	exact_accession
21	OTU_97.22314.0	GCA_000026065.1	0.812615198468	s__Latilactobacillus sakei	exact_accession
21	OTU_97.36767.0	GCA_000194115.1	1.0	s__Lactobacillus amylovorus	exact_accession
21	OTU_97.26886.0	GCA_001563285.1	1.0	s__Sphingobium sp001563285	exact_accession
21	OTU_97.272.0	GCA_000143225.1	57.0	s__Herbaspirillum seropedicae	exact_accession
21	OTU_97.44594.0	GCA_000993765.1	1.0	s__Streptococcus pyogenes	exact_accession
21	OTU_97.3066.0	GCA_000698865.1	4.0	s__Aquipseudomonas chlororaphis_I	exact_accession
21	OTU_97.36989.0	GCA_000191165.1	3.0	s__Lactobacillus delbrueckii	exact_accession
21	OTU_97.8170.0	GCA_001411805.1	2.0	s__Burkholderia plantarii	exact_accession
21	OTU_97.2568.0	GCA_000512205.2	5.0	s__Sphingomonas_D sanxanigenens	exact_accession
21	OTU_97.766.0	GCA_001618505.2	1.48104452873	s__Elizabethkingia anophelis	exact_accession
21	OTU_97.766.1	GCA_001596175.2	2.51895547127	s__Elizabethkingia anophelis	exact_accession
21	OTU_97.22877.0	GCA_001077475.1	1.0	s__Pseudomonas aeruginosa	exact_accession
21	OTU_97.4472.0	GCA_000959165.1	1.0	s__Burkholderia mallei	exact_accession
21	OTU_97.578.0	GCA_001936215.1	1.0	s__Mycobacterium avium	exact_accession
21	OTU_97.17806.0	GCA_001676805.1	1.0	s__Levilactobacillus brevis	exact_accession
21	OTU_97.439.0	GCA_001718995.1	5.0	s__Burkholderia multivorans	exact_accession
21	OTU_97.4365.0	GCA_000418475.1	2.0	s__Lacticaseibacillus rhamnosus	exact_accession
0	OTU_97.2666.0	GCA_000056065.1	0.813532640992	s__Lactobacillus delbrueckii	exact_accession
0	OTU_97.2666.1	GCA_001514415.1	0.186467359008	s__Lacticaseibacillus paracasei	exact_accession
0	OTU_97.39620.0	GCA_001011095.1	16.0	s__Ligilactobacillus salivarius	exact_accession
0	OTU_97.36691.0	GCA_001936335.1	9.0	s__Amylolactobacillus amylophilus	exact_accession
0	OTU_97.36060.0	GCA_000279165.1	4.0	s__Stutzerimonas nitrititolerans	exact_accession
0	OTU_97.8468.0	GCA_001713455.1	0.638269508278	s__Allobosea sp001713455	exact_accession
0	OTU_97.8468.1	GCA_001741865.1	0.361730491722	s__Allobosea vaviloviae	exact_accession
0	OTU_97.477.0	GCA_001263815.1	1.0	s__Porphyromonas gingivalis	exact_accession
0	OTU_97.26780.0	GCA_001874125.1	1.0	s__Lactiplantibacillus plantarum	exact_accession
0	OTU_97.30084.0	GCA_001457615.1	9.0	s__Pseudomonas aeruginosa	exact_accession
0	OTU_97.26970.0	GCA_000023085.1	2.0	s__Lactiplantibacillus plantarum	exact_accession
0	OTU_97.14853.0	GCA_001654435.1	9.0	s__Pseudomonas citronellolis	exact_accession
0	OTU_97.558.0	GCA_001563265.1	8.0	s__Sphingobium sp001563265	exact_accession
0	OTU_97.1036.0	GCA_000943805.1	0.00419385032045	s__Sphingobium fuliginis	exact_accession
0	OTU_97.24737.0	GCA_001721865.1	12.6466012269	s__Herbaspirillum seropedicae	exact_accession
0	OTU_97.24737.1	GCA_001483945.1	5.35339877315	s__Herbaspirillum rubrisubalbicans	exact_accession
0	OTU_97.3272.0	GCA_001661075.1	24.0	s__Aquipseudomonas silesiensis	exact_accession
0	OTU_97.19349.0	GCA_000182835.1	3.0	s__Lactobacillus delbrueckii	exact_accession
0	OTU_97.36395.0	GCA_000829275.1	8.0	s__Pseudomonas aeruginosa	exact_accession
0	OTU_97.373.0	GCA_001457475.1	1.833535072	s__Achromobacter xylosoxidans	exact_accession
0	OTU_97.373.1	GCA_000508285.1	1.166464928	s__Achromobacter xylosoxidans	exact_accession
0	OTU_97.13075.0	GCA_000418515.1	1.0	s__Lacticaseibacillus paracasei	exact_accession
0	OTU_97.36696.1	GCA_001659745.1	2.99400279274	s__Lactiplantibacillus plantarum	exact_accession
0	OTU_97.36696.0	GCA_000225325.1	0.00599720725688	s__Fructilactobacillus sanfranciscensis	exact_accession
0	OTU_97.1036.1	GCA_000013985.1	1.99580614968	s__Sphingopyxis alaskensis	exact_accession
0	OTU_97.10391.0	GCA_001548195.1	1.0	s__Prevotella intermedia	exact_accession
0	OTU_97.9203.0	GCA_001581895.1	0.999277727432	s__Lactiplantibacillus plantarum	exact_accession
0	OTU_97.9203.1	GCA_001314245.2	0.000722272567523	s__Lactobacillus helveticus	exact_accession
0	OTU_97.162.0	GCA_001721785.1	55.0	s__Pseudomonas aeruginosa	exact_accession
0	OTU_97.391.0	GCA_000026145.1	0.993045121823	s__Bradyrhizobium sp000026145	exact_accession
0	OTU_97.391.1	GCA_001642675.1	0.00695487817716	s__Bradyrhizobium diazoefficiens	exact_accession
