sample	sample_label	source_genomes_positive	source_genomes_mapped	truth_gtdb_species	truth_mass_total	truth_mass_mapped	truth_mass_mapped_pct	truth_mass_exact_accession	truth_mass_unique_assembly_core	truth_mass_ambiguous_assembly_core	truth_mass_unmapped	raw_ref_rows	raw_ref_taxids	raw_ref_taxids_gtdb_mapped	minco_reference_release	sylph_reference_release	sylph_profile	same_release_ready	release_grade_candidate
3	airskin_sample3	82	81	47	460.9999999999811	459.9999999999811	99.78308026030368	459.9999999999811	0.0	0.0	1.0	141116	26446	26446	gtdb_r232	gtdb_r232	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample3/profile.tsv	True	True
0	airskin_sample0	44	44	33	373.00000000004667	373.00000000004667	100.0	373.00000000004667	0.0	0.0	0.0	208988	34875	34875	gtdb_r232	gtdb_r232	/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample0/profile.tsv	True	True
5	airskin_sample5	39	39	26	138.9999999999989	138.9999999999989	100.0	138.9999999999989	0.0	0.0	0.0	186520	33178	33178	gtdb_r232	gtdb_r232	/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample5/profile.tsv	True	True
6	airskin_urogenital6	24	24	16	212.000000000002	212.000000000002	100.0	211.000000000002	1.0	0.0	0.0	160802	26168	26168	gtdb_r232	gtdb_r232	/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample6/profile.tsv	True	True
11	airskin_airways11	76	72	33	288.0000000000212	279.16454808643323	96.93213475222663	279.16454808643323	0.0	0.0	8.835451913588	198186	36133	36133	gtdb_r232	gtdb_r232	/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample11/profile.tsv	True	True
13	airskin_sample13	140	136	40	2759.9999999997335	2756.9901226407733	99.89094647250143	2749.3800788078643	7.610043832909	0.0	3.0098773589604	165656	30899	30899	gtdb_r232	gtdb_r232	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample13/profile.tsv	True	True
18	airskin_sample18	51	51	27	229.99999999995032	229.99999999995032	100.0	228.99999999995032	1.0	0.0	0.0	187192	32922	32922	gtdb_r232	gtdb_r232	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample18/profile.tsv	True	True
21	airskin_sample21	47	47	34	322.00000000000284	322.00000000000284	100.0	322.00000000000284	0.0	0.0	0.0	211808	35695	35695	gtdb_r232	gtdb_r232	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample21/profile.tsv	True	True
22	airskin_sample22	25	25	21	145.00000000000043	145.00000000000043	100.0	145.00000000000043	0.0	0.0	0.0	179781	32009	32009	gtdb_r232	gtdb_r232	/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample22/profile.tsv	True	True
25	airskin_sample25	89	88	49	510.0000000000371	509.0000000000371	99.80392156862746	509.0000000000371	0.0	0.0	1.0	209983	36173	36173	gtdb_r232	gtdb_r232	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample25/profile.tsv	True	True
28	airskin_sample28	25	24	12	25.00000000000311	24.963120287692007	99.85248115075561	24.963120287692007	0.0	0.0	0.0368797123111	186547	31977	31977	gtdb_r232	gtdb_r232	/tmp/cami2_hmp_airskin_20260625/run_sylph_r232/sylph_sample28/profile.chunked.tsv	True	True
