sample	source_genome_id	source_accession	raw_abundance	gtdb_species	mapping_method
3	OTU_97.249.0	GCA_001299595.1	9.0	s__Campylobacter_D jejuni	exact_accession
3	OTU_97.39620.0	GCA_001011095.1	2.0	s__Ligilactobacillus salivarius	exact_accession
3	OTU_97.7557.0	GCA_000261025.1	1.0	s__Prevotella intermedia	exact_accession
3	OTU_97.32281.0	GCA_000026505.1	1.0	s__Lacticaseibacillus rhamnosus	exact_accession
3	OTU_97.34305.1	GCA_000816245.1	1.33133666858	s__Campylobacter_D sp000816245	exact_accession
3	OTU_97.3437.0	GCA_000829035.1	2.0	s__Lacticaseibacillus paracasei	exact_accession
3	OTU_97.40724.0	GCA_000359625.1	8.93684937673	s__Levilactobacillus brevis	exact_accession
3	OTU_97.40724.1	GCA_000194765.1	0.0631506232683	s__Lacticaseibacillus paracasei	exact_accession
3	OTU_97.13065.0	GCA_001596095.1	0.0130914751527	s__Lactiplantibacillus plantarum	exact_accession
3	OTU_97.13065.1	GCA_001006025.1	0.986908524847	s__Lactobacillus helveticus	exact_accession
3	OTU_97.38238.0	GCA_000758365.1	1.0	s__Ligilactobacillus salivarius	exact_accession
3	OTU_97.21891.0	GCA_000014505.1	1.0	s__Pediococcus pentosaceus	exact_accession
3	OTU_97.45365.1	GCA_000211075.1	0.920459959208	s__Streptococcus pneumoniae	exact_accession
3	OTU_97.915.0	GCA_001702175.1	0.102155722573	s__Secundilactobacillus paracollinoides	exact_accession
3	OTU_97.915.1	GCA_001611035.1	0.897844277427	s__Pediococcus damnosus	exact_accession
3	OTU_97.43913.0	GCA_001663835.1	4.0	s__Latilactobacillus curvatus	exact_accession
3	OTU_97.558.0	GCA_001563265.1	1.0	s__Sphingobium sp001563265	exact_accession
3	OTU_97.40650.0	GCA_000162235.2	2.0	s__Fusobacterium vincentii	exact_accession
3	OTU_97.2658.0	GCA_001281085.1	2.0	s__Trueperella pyogenes	exact_accession
3	OTU_97.24737.0	GCA_001721865.1	1.40517791409	s__Herbaspirillum seropedicae	exact_accession
3	OTU_97.24737.1	GCA_001483945.1	0.594822085905	s__Herbaspirillum rubrisubalbicans	exact_accession
3	OTU_97.27789.0	GCA_000338115.2	3.0	s__Lactiplantibacillus plantarum	exact_accession
3	OTU_97.27408.0	GCA_000392485.2	1.0	s__Lactiplantibacillus plantarum	exact_accession
3	OTU_97.41368.0	GCA_000164965.1	2.0	s__Bifidobacterium bifidum	exact_accession
3	OTU_97.31719.0	GCA_001888945.1	4.0	s__Lactobacillus delbrueckii	exact_accession
3	OTU_97.20357.0	GCA_000194785.1	0.522775504657	s__Lacticaseibacillus paracasei	exact_accession
