sample	gtdb_species	truth_raw_abundance	truth_abundance
5	s__Apilactobacillus kunkeei_F	2.0	0.014388489208633209
5	s__Aquipseudomonas chlororaphis_I	1.0	0.007194244604316604
5	s__Aquipseudomonas silesiensis	2.0	0.014388489208633209
5	s__Bifidobacterium vaginale	1.0	0.007194244604316604
5	s__Companilactobacillus allii	4.39015245701	0.031583830625971476
5	s__Haemophilus_B ducreyi	1.0	0.007194244604316604
5	s__Herbaspirillum seropedicae	3.0	0.02158273381294981
5	s__Lacticaseibacillus paracasei	2.0491171514309	0.014741850010294363
5	s__Lacticaseibacillus rhamnosus	2.0	0.014388489208633209
5	s__Lactiplantibacillus plantarum	57.609847542987	0.4144593348416364
5	s__Lactobacillus acidophilus	1.0	0.007194244604316604
5	s__Lactobacillus amylovorus	11.0	0.07913669064748265
5	s__Lactobacillus delbrueckii	4.0	0.028776978417266418
5	s__Lactobacillus helveticus	3.162479046675	0.022751647817805937
5	s__Lactobacillus jensenii	0.133326413436	0.0009591828304748277
5	s__Lactobacillus johnsonii	0.869436888792	0.006254941645985662
5	s__Lactobacillus sp945980025	2.0	0.014388489208633209
5	s__Latilactobacillus curvatus	9.0	0.06474820143884943
5	s__Levilactobacillus brevis	6.95088284857	0.05000635142856155
5	s__Limosilactobacillus fermentum	1.834757651098	0.013199695331640393
5	s__Loigolactobacillus backii	1.0	0.007194244604316604
5	s__Pediococcus damnosus	1.0	0.007194244604316604
5	s__Pediococcus pentosaceus	1.0	0.007194244604316604
5	s__Pseudomonas aeruginosa	15.0	0.10791366906474906
5	s__Pseudomonas citronellolis	4.0	0.028776978417266418
5	s__Streptococcus pyogenes	1.0	0.007194244604316604
6	s__Adlercreutzia equolifaciens	24.0	0.11320754716981025
6	s__Allisonella pneumosinta	33.0	0.15566037735848912
6	s__Bifidobacterium pseudocatenulatum	2.0	0.009433962264150855
6	s__Bifidobacterium swidsinskii	4.0	0.01886792452830171
6	s__Bifidobacterium vaginale	42.0	0.19811320754716796
6	s__Clostridioides difficile	5.0	0.023584905660377138
6	s__Cryptobacterium curtum	0.157637224412	0.000743571813264144
6	s__Denitrobacterium detoxificans	6.84236277559	0.032275296111273284
6	s__Enteroscipio sp000270285	2.0	0.009433962264150855
6	s__Lancefieldella parvula	1.0	0.004716981132075427
6	s__Mycoplasma mycoides	1.0	0.004716981132075427
6	s__Negativicoccus massiliensis_A	1.0	0.004716981132075427
6	s__Prevotella intermedia	64.0	0.30188679245282735
6	s__Prevotella sp000163055	16.0	0.07547169811320684
6	s__Slackia heliotrinireducens	8.0	0.03773584905660342
6	s__Ureaplasma parvum	2.0	0.009433962264150855
11	s__Actinoalloteichus_A fjordicus	1.0	0.0035821167367225517
11	s__Aeromicrobium erythreum	1.0	0.0035821167367225517
11	s__Allorhizobium ampelinum	1.0	0.0035821167367225517
11	s__Bacillus velezensis	1.0	0.0035821167367225517
11	s__Bacillus_A anthracis	1.0	0.0035821167367225517
11	s__Bradyrhizobium denitrificans	1.0	0.0035821167367225517
11	s__Comamonas acidovorans	1.0	0.0035821167367225517
