sample	gtdb_species	truth_raw_abundance	truth_abundance
6	s__Adlercreutzia equolifaciens	24.0	0.11320754716981025
6	s__Allisonella pneumosinta	33.0	0.15566037735848912
6	s__Bifidobacterium pseudocatenulatum	2.0	0.009433962264150855
6	s__Bifidobacterium swidsinskii	4.0	0.01886792452830171
6	s__Bifidobacterium vaginale	42.0	0.19811320754716796
6	s__Clostridioides difficile	5.0	0.023584905660377138
6	s__Cryptobacterium curtum	0.157637224412	0.000743571813264144
6	s__Denitrobacterium detoxificans	6.84236277559	0.032275296111273284
6	s__Enteroscipio sp000270285	2.0	0.009433962264150855
6	s__Lancefieldella parvula	1.0	0.004716981132075427
6	s__Mycoplasma mycoides	1.0	0.004716981132075427
6	s__Negativicoccus massiliensis_A	1.0	0.004716981132075427
6	s__Prevotella intermedia	64.0	0.30188679245282735
6	s__Prevotella sp000163055	16.0	0.07547169811320684
6	s__Slackia heliotrinireducens	8.0	0.03773584905660342
6	s__Ureaplasma parvum	2.0	0.009433962264150855
11	s__Actinoalloteichus_A fjordicus	1.0	0.0035821167367225517
11	s__Aeromicrobium erythreum	1.0	0.0035821167367225517
11	s__Allorhizobium ampelinum	1.0	0.0035821167367225517
11	s__Bacillus velezensis	1.0	0.0035821167367225517
11	s__Bacillus_A anthracis	1.0	0.0035821167367225517
11	s__Bradyrhizobium denitrificans	1.0	0.0035821167367225517
11	s__Comamonas acidovorans	1.0	0.0035821167367225517
11	s__Corynebacterium aurimucosum_F	7.38119023135	0.026440285064651837
11	s__Corynebacterium diphtheriae	7.961676764565	0.02851965559072334
11	s__Corynebacterium falsenii	1.0	0.0035821167367225517
11	s__Corynebacterium glutamicum	34.0	0.12179196904856675
11	s__Corynebacterium pseudotuberculosis	32.8412880309297	0.11764132751111928
11	s__Corynebacterium simulans	4.0	0.014328466946890207
11	s__Corynebacterium stationis	2.0	0.007164233473445103
11	s__Corynebacterium ulcerans	1.0465042634844	0.003748700437278976
11	s__Corynebacterium uterequi	2.0	0.007164233473445103
11	s__Corynebacterium variabile	19.7710432771	0.07082218502536579
11	s__Faucicola osloensis	3.0	0.010746350210167654
11	s__Janibacter indicus	1.0	0.0035821167367225517
11	s__Methylobacterium radiotolerans	0.23098239772	0.0008274059127611169
11	s__Methylobacterium thiocyanatum	0.76901760228	0.0027547108239614347
11	s__Moraxella bovoculi	18.0	0.06447810126100592
11	s__Moraxella catarrhalis	6.0	0.021492700420335308
11	s__Moraxella ovis	58.162845519	0.20834610238901816
11	s__Nakamurella multipartita	1.0	0.0035821167367225517
11	s__Pseudomonas aeruginosa	1.0	0.0035821167367225517
11	s__Rhizorhabdus wittichii	0.0147466259093	5.282413547988994e-05
11	s__Sphingomonas panacis	0.985253374091	0.003529292601243736
11	s__Staphylococcus aureus	60.0188317689138	0.2149944617979613
11	s__Staphylococcus epidermidis	1.0	0.0035821167367225517
11	s__Staphylococcus equorum	2.0	0.007164233473445103
11	s__Staphylococcus lugdunensis	2.98116823109	0.010678892615573051
11	s__Staphylococcus warneri	4.0	0.014328466946890207
