sample	method	gold_taxa_in_taxmap	gold_taxa	pred_taxa	TP	FP	FN	precision	recall	F1	abundance_column	tp_abundance_n	tp_abundance_pearson	tp_abundance_mae	abundance_l1	FP_plus_FN	source_summary	method_original	current_profile
gastrooral0	sylph_default	35	35	35	32	3	3	0.9142857142857144	0.9142857142857144	0.9142857142857144	Taxonomic_abundance	32	0.9947370610638292	0.0022350949674652	0.1248717656893767	6	/tmp/cami2_hmp_pilot_20260625/run/summary_sample0_current_universal_tablemode.tsv	sylph_default	
gastrooral0	minco_unique_direct_ani0.95	35	35	34	31	3	4	0.9117647058823528	0.8857142857142857	0.8985507246376812	Normalized_abundance_depth	31	0.9145088942721908	0.016776703651537	0.5759396460257409	7	/tmp/cami2_hmp_pilot_20260625/run/summary_sample0_current_universal_tablemode.tsv	minco_unique_direct_ani0.95	
gastrooral0	minco_current_universal_tablemode	35	35	34	31	3	4	0.9117647058823528	0.8857142857142857	0.8985507246376812	calibrated_abundance	31	0.9079252785363572	0.017967113927091	0.617007495996188	7	/tmp/cami2_hmp_pilot_20260625/run/summary_sample0_current_universal_tablemode.tsv	minco_calibrated_train12	/tmp/cami2_hmp_pilot_20260625/run/minco_sample0_universal_autoexact_tablemode_check.tsv
gastrooral0	minco_split_direct_ani0.95	35	35	43	32	11	3	0.7441860465116279	0.9142857142857144	0.8205128205128205	Normalized_abundance_depth	32	0.9042292939626924	0.0167008368522345	0.6058626010566981	14	/tmp/cami2_hmp_pilot_20260625/run/summary_sample0_current_universal_tablemode.tsv	minco_split_direct_ani0.95	
gastrooral0	minco_profile_default	35	35	24	23	1	12	0.9583333333333334	0.6571428571428571	0.7796610169491525	Normalized_abundance_depth	23	0.911703693184876	0.0226384588590009	0.6076410401024699	13	/tmp/cami2_hmp_pilot_20260625/run/summary_sample0_current_universal_tablemode.tsv	minco_profile_default	
gastrooral6	sylph_default	46	46	44	40	4	6	0.9090909090909092	0.8695652173913043	0.888888888888889	Taxonomic_abundance	40	0.9989405482995176	0.0013264072355575	0.4983849038592995	10	/tmp/cami2_hmp_pilot_20260625/run/summary_sample6_current_universal_tablemode.tsv	sylph_default	
gastrooral6	minco_current_universal_tablemode	46	46	51	40	11	6	0.7843137254901961	0.8695652173913043	0.8247422680412372	calibrated_abundance	40	0.8261227180299681	0.0144279602859245	0.9153749435825588	17	/tmp/cami2_hmp_pilot_20260625/run/summary_sample6_current_universal_tablemode.tsv	minco_calibrated_train12	/tmp/cami2_hmp_pilot_20260625/run/minco_sample6_universal_autoexact_tablemode_current.tsv
gastrooral6	minco_unique_direct_ani0.95	46	46	40	33	7	13	0.825	0.717391304347826	0.7674418604651162	Normalized_abundance_depth	33	0.7681968564746987	0.0170688873998095	1.3971532417153922	20	/tmp/cami2_hmp_pilot_20260625/run/summary_sample6_current_universal_tablemode.tsv	minco_unique_direct_ani0.95	
gastrooral6	minco_profile_default	46	46	32	29	3	17	0.90625	0.6304347826086957	0.7435897435897436	Normalized_abundance_depth	29	0.7340840371508128	0.0205016720742816	1.4271569169158689	20	/tmp/cami2_hmp_pilot_20260625/run/summary_sample6_current_universal_tablemode.tsv	minco_profile_default	
gastrooral6	minco_split_direct_ani0.95	46	46	60	39	21	7	0.65	0.8478260869565217	0.7358490566037735	Normalized_abundance_depth	39	0.7266125608012688	0.0179689540527748	1.0682172067425753	28	/tmp/cami2_hmp_pilot_20260625/run/summary_sample6_current_universal_tablemode.tsv	minco_split_direct_ani0.95	
