metric	value	evidence	decision
sidecar_seconds_delta_vs_exact_rerun_sample0	-94.29	/tmp/minco_hmp_gastrooral_sidecar_speed_20260627/sample0_sidecar.time.log;/tmp/minco_current_code_hmp_gastrooral_20260627/sample0_current_default.time.log	speed_improvement_when_exact_needed
sidecar_seconds_delta_vs_sylph_sample0	-61.25	/tmp/minco_hmp_gastrooral_sidecar_speed_20260627/sample0_sidecar.time.log;/tmp/cami2_hmp_pilot_20260625/run_sylph_r232/sylph_sample0/profile.chunked.time.log	beats_sylph_profile_time_on_this_sample
sidecar_rss_gib_delta_vs_exact_rerun_sample0	0.8344	/tmp/minco_hmp_gastrooral_sidecar_speed_20260627/sample0_sidecar.time.log;/tmp/minco_current_code_hmp_gastrooral_20260627/sample0_current_default.time.log	higher_memory_than_rerun_but_still_low
sidecar_rss_gib_delta_vs_sylph_sample0	-21.2876	/tmp/minco_hmp_gastrooral_sidecar_speed_20260627/sample0_sidecar.time.log;/tmp/cami2_hmp_pilot_20260625/run_sylph_r232/sylph_sample0/profile.chunked.time.log	much_lower_memory_than_sylph
sidecar_callset_delta_vs_exact_rerun_sample0	sidecar_only=0;exact_only=0	/tmp/minco_hmp_gastrooral_sidecar_speed_20260627/minco_sample0_sidecar.tsv;/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample0_current_default.tsv	calls_match
sidecar_abundance_abs_delta_vs_exact_rerun_sample0	0.000000000000	/tmp/minco_hmp_gastrooral_sidecar_speed_20260627/minco_sample0_sidecar.tsv;/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample0_current_default.tsv	abundance_matches
block_callset_delta_vs_exact_rerun_sample0	block_only=0;exact_only=0	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample0_block_universal_replay.tsv;/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample0_current_default.tsv	calls_match_but_abundance_differs
block_abundance_abs_delta_vs_exact_rerun_sample0	0.515714480899	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample0_block_universal_replay.tsv;/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample0_current_default.tsv	exact_needed_for_abundance_here
block_replay_L1_delta_vs_exact_sidecar_panel_pp	19.963078	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_block_replay_r232_source_abundance_summary.tsv;/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_sidecar_r232_source_abundance_summary.tsv	do_not_drop_exact_for_speed_on_this_panel
sidecar_L1_delta_vs_raw_default_panel_pp	0.000000	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_sidecar_r232_source_abundance_summary.tsv;/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_raw_default_r232_source_abundance_summary.tsv	same_accuracy_as_rerun
