sample	source_genome_id	source_accession	raw_abundance	gtdb_species	mapping_method
1	OTU_97.21937.0	GCA_000152245.2	2.0	s__Eubacterium callanderi	exact_accession
1	OTU_97.40668.1	GCA_000210835.1	0.555290285877	s__Bacteroides fragilis	exact_accession
1	OTU_97.40668.0	GCA_001682215.1	1.44470971412	s__Bacteroides fragilis	exact_accession
1	OTU_97.14013.0	GCA_001307585.1	2.0	s__Bordetella pertussis	exact_accession
1	OTU_97.44483.0	GCA_000331995.1	2.0	s__Thermoclostridium stercorarium	exact_accession
1	OTU_97.40136.0	GCA_001013565.1	2.0	s__Bordetella pertussis	exact_accession
1	OTU_97.20224.0	GCA_000190575.1	3.0	s__Phocaeicola salanitronis	exact_accession
1	OTU_97.20552.0	GCA_001605425.1	1.0	s__Bordetella pertussis	exact_accession
1	OTU_97.7000.0	GCA_001698185.1	22.0	s__Bordetella pseudohinzii	exact_accession
1	OTU_97.30392.0	GCA_000190535.1	1.0	s__Odoribacter splanchnicus	exact_accession
1	OTU_97.2576.0	GCA_001856695.1	3.0	s__Clostridium_I pasteurianum	exact_accession
1	OTU_97.18340.0	GCA_001858005.1	1.0	s__Butyrivibrio hungatei	exact_accession
1	OTU_97.10120.0	GCA_001307665.1	7.0	s__Bordetella pertussis	exact_accession
1	OTU_97.18007.1	GCA_000767745.1	0.318772309913	s__Clostridium beijerinckii	exact_accession
1	OTU_97.18007.0	GCA_001889325.1	0.681227690087	s__Clostridium_F botulinum_A	exact_accession
1	OTU_97.21930.0	GCA_001286525.1	5.0	s__Bacteroides fragilis	exact_accession
1	OTU_97.37943.0	GCA_001307625.1	1.0	s__Bordetella pertussis	exact_accession
1	OTU_97.40665.0	GCA_000011065.1	15.0	s__Bacteroides thetaiotaomicron	exact_accession
1	OTU_97.326.0	GCA_001456065.2	6.32885841882	s__Clostridium butyricum	exact_accession
1	OTU_97.326.1	GCA_000473995.1	1.67114158118	s__Clostridium saccharobutylicum	exact_accession
1	OTU_97.498.0	GCA_001605075.1	16.0	s__Bordetella pertussis	exact_accession
1	OTU_97.45059.0	GCA_000179635.2	1.0	s__Hominimerdicola alba	exact_accession
1	OTU_97.2657.0	GCA_000953535.1	3.0	s__Proteiniphilum massiliensis	exact_accession
1	OTU_97.5710.0	GCA_000218855.1	2.0	s__Clostridium_S acetobutylicum	exact_accession
1	OTU_97.20169.0	GCA_000695895.1	1.0	s__Bifidobacterium animalis	exact_accession
1	OTU_97.40119.0	GCA_000306945.1	7.73080750014	s__Bordetella pertussis	exact_accession
1	OTU_97.40119.1	GCA_001831415.1	2.26919249986	s__Bordetella pertussis	exact_accession
