sample	gtdb_species	truth_raw_abundance	truth_abundance
1	s__Achromobacter ruhlandii	1.0	0.004508165569298768
1	s__Andreesenella acetica	16.9452708767	0.07639208672878009
1	s__Bacteroides fragilis	6.999999999997	0.03155715898507785
1	s__Bacteroides thetaiotaomicron	15.0	0.06762248353948153
1	s__Bifidobacterium animalis	1.0	0.004508165569298768
1	s__Bordetella holmesii	1.57723223697	0.00711042406549623
1	s__Bordetella pertussis	61.42276776303319	0.27690400680034055
1	s__Bordetella pseudohinzii	22.0	0.0991796425245729
1	s__Bordetella_A petrii	41.0	0.1848347883412495
1	s__Bordetella_C bronchialis	1.0	0.004508165569298768
1	s__Burkholderia multivorans	1.0	0.004508165569298768
1	s__Butyrivibrio hungatei	1.0	0.004508165569298768
1	s__Cellulosilyticum lentocellum	0.1707167618	0.0007696194276489392
1	s__Clostridium beijerinckii	0.318772309913	0.0014370783519956228
1	s__Clostridium botulinum_A	1.0	0.004508165569298768
1	s__Clostridium butyricum	7.32885841882	0.03303970718598973
1	s__Clostridium cagae	2.05472912331	0.009263059087941585
1	s__Clostridium saccharobutylicum	1.67114158118	0.007533782937699177
1	s__Clostridium_AM carboxidivorans	1.0	0.004508165569298768
1	s__Clostridium_AM scatologenes	5.0	0.02254082784649384
1	s__Clostridium_F botulinum	3.0	0.013524496707896305
1	s__Clostridium_F botulinum_A	0.681227690087	0.0030710872173031452
1	s__Clostridium_G tetani	0.81971461077	0.003695409184924455
1	s__Clostridium_I pasteurianum	6.0	0.02704899341579261
1	s__Clostridium_K cellulovorans	1.0	0.004508165569298768
1	s__Clostridium_S acetobutylicum	2.0	0.009016331138597535
1	s__ECMA0423 sp047199055	0.985177302991	0.004441342396998647
1	s__Erysipelothrix rhusiopathiae	1.0	0.004508165569298768
1	s__Escherichia coli	1.0	0.004508165569298768
1	s__Eubacterium callanderi	2.0	0.009016331138597535
1	s__G047199095 sp047199095	0.0148226970094	6.682317230192489e-05
1	s__Hominimerdicola alba	1.0	0.004508165569298768
1	s__Lachnoclostridium phytofermentans	1.8292832382	0.008246711710948597
1	s__Odoribacter splanchnicus	1.0	0.004508165569298768
1	s__Phocaeicola dorei	1.0	0.004508165569298768
1	s__Phocaeicola salanitronis	3.0	0.013524496707896305
1	s__Phocaeicola vulgatus	2.0	0.009016331138597535
1	s__Proteiniphilum massiliensis	3.0	0.013524496707896305
1	s__Thermoclostridium stercorarium	2.0	0.009016331138597535
