sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	pred_rows_called
6	minco_current_calibrated_abundance	16	16	15	1	1	0.9375	0.9375	0.9375	23.215391722468812	12.202962601464055	0.9122239933982667	0.976002571771857	
6	minco_current_calibrated_raw	16	16	15	1	1	0.9375	0.9375	0.9375	23.215391722468816	12.20296260146406	0.9122239933982668	0.9760025717718571	
6	minco_split_mean_depth	16	16	15	1	1	0.9375	0.9375	0.9375	37.131128919285096	27.90198801728566	0.8694928508212054	0.9121257014549409	
6	minco_unique_mean_depth	16	16	15	1	1	0.9375	0.9375	0.9375	65.4622514037411	57.252778373028626	0.7963800667744908	0.8396845781099964	
6	minco_split_hit_mean_x_breadth	16	16	15	1	1	0.9375	0.9375	0.9375	114.61544617897623	110.41799469551572	0.1443629432081852	0.14098310762717609	
6	minco_unique_hit_mean_x_breadth	16	16	15	1	1	0.9375	0.9375	0.9375	65.4622580724299	57.25278535460448	0.7963800377589488	0.8396845452067886	
6	minco_split_normalized_depth	16	16	15	1	1	0.9375	0.9375	0.9375	37.13093498020355	27.901807945362943	0.8694939136504928	0.9121266783657608	
6	minco_split_relative_depth	16	16	15	1	1	0.9375	0.9375	0.9375	37.13093498020355	27.901807945362943	0.8694939136504928	0.9121266783657608	
6	minco_unique_normalized_depth	16	16	15	1	1	0.9375	0.9375	0.9375	65.46103169266377	57.25155918630155	0.7963868966398551	0.839691330954141	
6	minco_unique_relative_depth	16	16	15	1	1	0.9375	0.9375	0.9375	65.46103169266377	57.25155918630155	0.7963868966398551	0.839691330954141	
6	minco_max_split_unique_zip_p1	16	16	15	1	1	0.9375	0.9375	0.9375	23.215391722468812	12.20296260146406	0.9122239933982668	0.9760025717718571	
6	minco_split_unique_zip_geom_p1	16	16	15	1	1	0.9375	0.9375	0.9375	26.757010638664763	18.478230481620418	0.9435305231997833	0.9789600146499012	
6	minco_probability_x_current_raw	16	16	15	1	1	0.9375	0.9375	0.9375	29.764079569762746	17.773218785821353	0.8691761408531916	0.9467863298203002	
6	minco_quality_xny_current_raw	16	16	15	1	1	0.9375	0.9375	0.9375	32.144278734553545	21.898414482160618	0.8622231396832697	0.9166182877944361	
6	minco_quality_breadth_current_raw	16	16	15	1	1	0.9375	0.9375	0.9375	37.11039972106324	27.876105323481976	0.8694743627079577	0.9121276513546069	
6	minco_quality_xny_breadth_current_raw	16	16	15	1	1	0.9375	0.9375	0.9375	41.77345157829818	33.300996323918405	0.8027899172897064	0.8363644151000589	
6	minco_quality_mutdiff_light_current_raw	16	16	15	1	1	0.9375	0.9375	0.9375	25.94958900658012	15.627115290453936	0.9138598505842132	0.9698472410728516	
6	minco_quality_mutdiff_strong_current_raw	16	16	15	1	1	0.9375	0.9375	0.9375	34.60275571325804	26.20005062901441	0.899117686314049	0.9344395353697061	
6	minco_genus_realloc_current_raw_power_p0.75	16	16	15	1	1	0.9375	0.9375	0.9375	29.4162628586051	17.73764338040892	0.8896112071379173	0.9657094421868971	
6	minco_genus_realloc_current_raw_power_p1.25	16	16	15	1	1	0.9375	0.9375	0.9375	23.377273940285846	13.193647696297264	0.9278981761881921	0.9796490784751292	
6	minco_genus_realloc_xny	16	16	15	1	1	0.9375	0.9375	0.9375	26.76332024387872	16.82822789345126	0.9013876491705843	0.952493383193308	
6	minco_genus_realloc_breadth	16	16	15	1	1	0.9375	0.9375	0.9375	26.426597814290254	15.586034579112374	0.8963458258070509	0.9587815868573704	
6	minco_genus_realloc_xny_breadth	16	16	15	1	1	0.9375	0.9375	0.9375	30.873228695347848	21.10122709252958	0.8725761273450559	0.9216519427747921	
6	minco_genus_realloc_mutdiff_light	16	16	15	1	1	0.9375	0.9375	0.9375	23.945124857842902	13.1350048380475	0.9105686251529429	0.9721579226326447	
6	minco_genus_realloc_mutdiff_strong	16	16	15	1	1	0.9375	0.9375	0.9375	26.53647588630462	16.340903321516436	0.9012810942493967	0.9561139072592415	
6	minco_raw_p1.25_genus_realloc_mutdiff_light	16	16	15	1	1	0.9375	0.9375	0.9375	27.70551829462428	17.215903590658314	0.9286194709711395	0.980341266857515	
6	minco_raw_p1.25_genus_realloc_mutdiff_strong	16	16	15	1	1	0.9375	0.9375	0.9375	29.490529781329318	19.560824005066806	0.9233188194117983	0.9700007707887097	
