method	samples	mean_F1	pooled_F1	pooled_TP	pooled_FP	pooled_FN	mean_L1_union_pp	mean_L1_truth_only_pp	mean_Pearson_union	mean_Pearson_truth_only
sylph_r232_taxonomic_abundance	6,11	0.9705882352941176	0.98	49	2	0	5.133659105526774	4.377007592223747	0.9965722222341706	0.9969293372150172
minco_current_calibrated_abundance	6,11	0.9610576923076923	0.9690721649484536	47	1	2	22.780570236553878	17.2743556760515	0.9256139889209761	0.9575032781077712
minco_current_calibrated_raw	6,11	0.9610576923076923	0.9690721649484536	47	1	2	22.780570236553928	17.274355676051552	0.9256139889209761	0.9575032781077712
minco_current_raw_power_p1	6,11	0.9610576923076923	0.9690721649484536	47	1	2	22.780570236553928	17.274355676051552	0.9256139889209761	0.9575032781077712
minco_max_split_unique_zip_p1	6,11	0.9610576923076923	0.9690721649484536	47	1	2	22.780570236553928	17.274355676051552	0.9256139889209761	0.9575032781077712
minco_split_mean_over_zip_p1	6,11	0.9610576923076923	0.9690721649484536	47	1	2	22.780570236553928	17.274355676051552	0.9256139889209761	0.9575032781077712
minco_genus_realloc_mutdiff_light	6,11	0.9610576923076923	0.9690721649484536	47	1	2	23.00200655847074	17.596946548573037	0.9264178940444051	0.9572125427842559
minco_split_mean_over_zip_p1.25	6,11	0.9610576923076923	0.9690721649484536	47	1	2	23.451633132307673	17.730440842303683	0.9242638804688208	0.9584298108064581
minco_genus_realloc_mutdiff_strong	6,11	0.9610576923076923	0.9690721649484536	47	1	2	23.92660887577269	18.828822593378597	0.9258549539543108	0.9532713604592332
minco_quality_mutdiff_light_current_raw	6,11	0.9610576923076923	0.9690721649484536	47	1	2	23.979910025104264	18.818673167041172	0.9280185476747542	0.9560122429190735
minco_genus_realloc_current_raw_power_p1.25	6,11	0.9610576923076923	0.9690721649484536	47	1	2	24.135401543498162	19.04358842150387	0.9322481490217298	0.9581236001651983
minco_split_mean_over_zip_p0.75	6,11	0.9610576923076923	0.9690721649484536	47	1	2	24.409485807272524	19.12216824079418	0.9244293299796	0.9538492096766427
minco_genus_realloc_xny	6,11	0.9610576923076923	0.9690721649484536	47	1	2	25.04337977559628	20.075833600382545	0.9225317214718228	0.9480845884831847
minco_split_mean_over_zip_p1.5	6,11	0.9610576923076923	0.9690721649484536	47	1	2	25.2719134390832	19.340287241558137	0.9207263593001551	0.9569565663755275
minco_probability_x_current_raw	6,11	0.9610576923076923	0.9690721649484536	47	1	2	25.75172765290597	19.756297260935277	0.9037984792527852	0.9426035737363395
minco_genus_realloc_breadth	6,11	0.9610576923076923	0.9690721649484536	47	1	2	26.0258125858674	20.605530968278458	0.9172229429720569	0.9484408234972166
minco_split_mean_over_zip_p0.5	6,11	0.9610576923076923	0.9690721649484536	47	1	2	26.34607801171142	21.280868513854585	0.9203928346274899	0.9471883500874498
minco_raw_p1.25_genus_realloc_mutdiff_light	6,11	0.9610576923076923	0.9690721649484536	47	1	2	27.18894891032509	21.94414155834211	0.9356565854329788	0.9615174833761666
minco_current_raw_power_p1.25	6,11	0.9610576923076923	0.9690721649484536	47	1	2	27.369710276983014	22.031345349838112	0.9344416154685724	0.961140685563596
minco_quality_xny_current_raw	6,11	0.9610576923076923	0.9690721649484536	47	1	2	27.48182763408783	22.35889550789136	0.9041165684138923	0.9313141424694755
minco_raw_p1.25_genus_realloc_mutdiff_strong	6,11	0.9610576923076923	0.9690721649484536	47	1	2	27.95306969482159	22.988216806690332	0.9370403726472979	0.9603813483357536
minco_quality_mutdiff_strong_current_raw	6,11	0.9610576923076923	0.9690721649484536	47	1	2	28.074474465591102	23.873121923469284	0.9245799161776153	0.9422408407054439
minco_split_mean_over_zip_p0.25	6,11	0.9610576923076923	0.9690721649484536	47	1	2	28.576689792716774	23.736013908247465	0.9132643522016979	0.9373359281495803
minco_genus_realloc_xny_breadth	6,11	0.9610576923076923	0.9690721649484536	47	1	2	29.20393802905504	24.317937227645903	0.904013675709478	0.9285515834243461
minco_raw_p1.25_genus_realloc_xny	6,11	0.9610576923076923	0.9690721649484536	47	1	2	29.47333663664677	24.676248816105666	0.9336462820234414	0.9552029396401553
minco_split_unique_zip_geom_p1	6,11	0.9610576923076923	0.9690721649484536	47	1	2	29.956127042832023	25.816736964309854	0.9259811020815989	0.9436958478066578
minco_quality_breadth_current_raw	6,11	0.9610576923076923	0.9690721649484536	47	1	2	30.931916532772323	26.314769333981694	0.902937083792593	0.9242637281159175
minco_split_mean_depth	6,11	0.9610576923076923	0.9690721649484536	47	1	2	31.00995364783763	26.395383196837912	0.9029289572051056	0.9242453825219734
minco_split_normalized_depth	6,11	0.9610576923076923	0.9690721649484536	47	1	2	31.010243562215457	26.395680044795157	0.9029295633357848	0.9242459456934189
minco_split_relative_depth	6,11	0.9610576923076923	0.9690721649484536	47	1	2	31.010243562215457	26.395680044795157	0.9029295633357848	0.9242459456934189
minco_genus_realloc_current_raw_power_p0.75	6,11	0.9610576923076923	0.9690721649484536	47	1	2	31.03770074393419	25.1983910048361	0.91036410543437	0.9484132229588599
minco_raw_p1.5_genus_realloc_mutdiff_strong	6,11	0.9610576923076923	0.9690721649484536	47	1	2	33.73353455802984	29.047418786935673	0.9427455824173223	0.9621204922308986
minco_raw_p1.5_genus_realloc_mutdiff_light	6,11	0.9610576923076923	0.9690721649484536	47	1	2	33.93171144984257	28.985563231113016	0.9400028122675352	0.9613551140040457
minco_current_raw_power_p1.5	6,11	0.9610576923076923	0.9690721649484536	47	1	2	33.98915568330113	28.95522447217988	0.9385212788425478	0.9605451870044841
minco_quality_xny_breadth_current_raw	6,11	0.9610576923076923	0.9690721649484536	47	1	2	34.638756421642945	30.40252879445306	0.8695123555771869	0.8862996044823632
minco_raw_p1.5_genus_realloc_xny	6,11	0.9610576923076923	0.9690721649484536	47	1	2	35.112885576508894	30.6082660983636	0.9393811808205057	0.9572091485054639
minco_current_raw_power_p0.75	6,11	0.9610576923076923	0.9690721649484536	47	1	2	38.086910962571196	32.64410270710786	0.909232888926607	0.9463270472774898
minco_unique_mean_over_zip_p1.5	6,11	0.9610576923076923	0.9690721649484536	47	1	2	41.07307673538402	38.70531163176884	0.8993412743741747	0.9035449135176994
minco_unique_mean_over_zip_p1.25	6,11	0.9610576923076923	0.9690721649484536	47	1	2	42.011874074247004	39.36048597488748	0.8981786338678603	0.9038359513655668
minco_unique_mean_over_zip_p1	6,11	0.9610576923076923	0.9690721649484536	47	1	2	44.51918223808819	41.57605506331342	0.8922042079854595	0.8998153904416109
minco_unique_mean_over_zip_p0.75	6,11	0.9610576923076923	0.9690721649484536	47	1	2	49.31820878020743	46.079574265297225	0.8793143940094529	0.8895278496255513
minco_unique_mean_over_zip_p0.5	6,11	0.9610576923076923	0.9690721649484536	47	1	2	54.21939405994519	50.685908835787416	0.8571012347006162	0.8706468718954765
minco_unique_mean_over_zip_p0.25	6,11	0.9610576923076923	0.9690721649484536	47	1	2	58.977850783545705	55.15440034024259	0.8237078342525329	0.8412012696274729
minco_current_raw_power_p0.5	6,11	0.9610576923076923	0.9690721649484536	47	1	2	61.39390356359782	56.354315274077805	0.8778193965817567	0.9188852992569985
minco_unique_hit_mean_x_breadth	6,11	0.9610576923076923	0.9690721649484536	47	1	2	64.50720961898789	60.402473260075176	0.7784673048162845	0.8001195585402043
minco_unique_normalized_depth	6,11	0.9610576923076923	0.9690721649484536	47	1	2	64.54612555431929	60.44138930113819	0.7790362869400429	0.8006885040971858
minco_unique_relative_depth	6,11	0.9610576923076923	0.9690721649484536	47	1	2	64.54612555431929	60.44138930113819	0.7790362869400429	0.8006885040971858
minco_unique_mean_depth	6,11	0.9610576923076923	0.9690721649484536	47	1	2	64.54679519878026	60.44205868342402	0.7790339199797667	0.8006861756475194
minco_split_hit_mean_x_breadth	6,11	0.9610576923076923	0.9690721649484536	47	1	2	70.02248722903178	67.92376148730153	0.5402778934306762	0.5385879756401716
minco_current_raw_power_p0.25	6,11	0.9610576923076923	0.9690721649484536	47	1	2	88.3334384164992	84.09706373585553	0.7918173044101434	0.8311346384231234
