method	panels	mean_panel_pooled_F1	mean_panel_L1_union_pp	mean_panel_Pearson_union	total_TP	total_FP	total_FN	mean_delta_F1	min_delta_F1	mean_delta_L1_union_pp	mean_delta_Pearson_union	total_TP_delta	total_FP_delta	total_FN_delta	improved_samples_F1	worsened_samples_F1	unchanged_samples_F1
current_calls_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8818247517597093	180.9735384032905	-0.03508196253172415	1108	316	68	0.0	0.0	140.42949515336738	-0.9608353263208615	0.0	0.0	0.0	0.0	0.0	26.0
current_default	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8818247517597093	35.76275879445157	0.9316002425700405	1108	316	68										
raw_rescue_ani0.92_xny100_br0.05_af0.1_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.7834056374920007	187.0357716701086	-0.06066691507763457	1135	540	41	-0.078290992314381	-0.34490740740740744	151.62006448156353	-0.9946581004246773	27.0	224.0	-27.0	1.0	25.0	0.0
raw_rescue_ani0.92_xny100_br0.05_af0.1_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.7834056374920007	35.76275879445157	0.9322960360690551	1135	540	41	-0.078290992314381	-0.34490740740740744	-7.856962943501108e-16	0.0011291023984574737	27.0	224.0	-27.0	1.0	25.0	0.0
raw_rescue_ani0.92_xny100_br0.05_af0.3_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8194913181707018	186.88486485246477	-0.05526151385098594	1134	488	42	-0.06105699770129394	-0.22638888888888886	151.344127494225	-0.9935849227166155	26.0	172.0	-26.0	1.0	25.0	0.0
raw_rescue_ani0.92_xny100_br0.05_af0.3_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8194913181707018	35.76275879445157	0.932062335835369	1134	488	42	-0.06105699770129394	-0.22638888888888886	-7.173748774501012e-16	0.0008428121655288817	26.0	172.0	-26.0	1.0	25.0	0.0
raw_rescue_ani0.92_xny100_br0.05_af0.5_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8750729225498604	181.28820125956832	-0.03058768233322518	1133	351	43	-0.0019500546827613179	-0.04127906976744178	141.01739395041838	-0.9569495415514017	25.0	35.0	-25.0	9.0	9.0	8.0
raw_rescue_ani0.92_xny100_br0.05_af0.5_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8750729225498604	35.76275879445157	0.9316955559308607	1133	351	43	-0.0019500546827613179	-0.04127906976744178	-8.198570028001156e-16	0.00019813985262724974	25.0	35.0	-25.0	9.0	9.0	8.0
raw_rescue_ani0.92_xny100_br0.05_af0.7_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8904615834063687	180.96958893212593	-0.03486898713187393	1120	317	56	0.0069050023682210625	0.0	140.4291960970462	-0.9604476291872212	12.0	1.0	-12.0	9.0	0.0	17.0
raw_rescue_ani0.92_xny100_br0.05_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8904615834063687	35.76275879445157	0.931600391105674	1120	317	56	0.0069050023682210625	0.0	0.0	2.742196312415064e-07	12.0	1.0	-12.0	9.0	0.0	17.0
raw_rescue_ani0.92_xny100_br0.05_af0.9_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	180.96946329090525	-0.035078691981263115	1109	316	67	0.0005902026362384435	0.0	140.4288682130004	-0.9608348231592523	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.92_xny100_br0.05_af0.9_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	35.76275879445157	0.9316002425700405	1109	316	67	0.0005902026362384435	0.0	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.92_xny100_br0.15_af0.1_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8329243908438932	184.84474511260078	-0.026252017170932042	1135	471	41	-0.054302764933150754	-0.19999999999999996	147.58331583062915	-0.9559545065998555	27.0	155.0	-27.0	1.0	25.0	0.0
raw_rescue_ani0.92_xny100_br0.15_af0.1_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8329243908438932	35.76275879445157	0.9319438518429088	1135	471	41	-0.054302764933150754	-0.19999999999999996	-1.0589819619501493e-15	0.0006402649325222873	27.0	155.0	-27.0	1.0	25.0	0.0
raw_rescue_ani0.92_xny100_br0.15_af0.3_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8358217178116908	184.54858225922118	-0.025497843229435456	1134	465	42	-0.05122521740568131	-0.19999999999999996	147.03655371287311	-0.953975439885061	26.0	149.0	-26.0	1.0	25.0	0.0
raw_rescue_ani0.92_xny100_br0.15_af0.3_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8358217178116908	35.76275879445157	0.9319155591773922	1134	465	42	-0.05122521740568131	-0.19999999999999996	-1.2639462126501783e-15	0.0005873685255917437	26.0	149.0	-26.0	1.0	25.0	0.0
raw_rescue_ani0.92_xny100_br0.15_af0.5_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8750729225498604	181.28820125956832	-0.03058768233322518	1133	351	43	-0.0019500546827613179	-0.04127906976744178	141.01739395041838	-0.9569495415514017	25.0	35.0	-25.0	9.0	9.0	8.0
raw_rescue_ani0.92_xny100_br0.15_af0.5_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8750729225498604	35.76275879445157	0.9316955559308607	1133	351	43	-0.0019500546827613179	-0.04127906976744178	-8.198570028001156e-16	0.00019813985262724974	25.0	35.0	-25.0	9.0	9.0	8.0
raw_rescue_ani0.92_xny100_br0.15_af0.7_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8904615834063687	180.96958893212593	-0.03486898713187393	1120	317	56	0.0069050023682210625	0.0	140.4291960970462	-0.9604476291872212	12.0	1.0	-12.0	9.0	0.0	17.0
raw_rescue_ani0.92_xny100_br0.15_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8904615834063687	35.76275879445157	0.931600391105674	1120	317	56	0.0069050023682210625	0.0	0.0	2.742196312415064e-07	12.0	1.0	-12.0	9.0	0.0	17.0
raw_rescue_ani0.92_xny100_br0.15_af0.9_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	180.96946329090525	-0.035078691981263115	1109	316	67	0.0005902026362384435	0.0	140.4288682130004	-0.9608348231592523	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.92_xny100_br0.15_af0.9_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	35.76275879445157	0.9316002425700405	1109	316	67	0.0005902026362384435	0.0	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.92_xny100_br0.1_af0.1_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8223285329529104	187.03230997513654	-0.049821709916200205	1135	498	41	-0.06563959812587225	-0.284438775510204	151.6185652691129	-0.9910973577529334	27.0	182.0	-27.0	1.0	25.0	0.0
raw_rescue_ani0.92_xny100_br0.1_af0.1_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8223285329529104	35.76275879445157	0.9321056560755876	1135	498	41	-0.06563959812587225	-0.284438775510204	-1.0589819619501493e-15	0.0009326161253478319	27.0	182.0	-27.0	1.0	25.0	0.0
raw_rescue_ani0.92_xny100_br0.1_af0.3_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8320711684580587	186.8823142663138	-0.046665949328957776	1134	475	42	-0.056225362017970716	-0.22638888888888886	151.34364461183412	-0.9900322958241701	26.0	159.0	-26.0	1.0	25.0	0.0
raw_rescue_ani0.92_xny100_br0.1_af0.3_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8320711684580587	35.76275879445157	0.9320032364701367	1134	475	42	-0.056225362017970716	-0.22638888888888886	-7.173748774501012e-16	0.0007498980904818964	26.0	159.0	-26.0	1.0	25.0	0.0
raw_rescue_ani0.92_xny100_br0.1_af0.5_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8750729225498604	181.28820125956832	-0.03058768233322518	1133	351	43	-0.0019500546827613179	-0.04127906976744178	141.01739395041838	-0.9569495415514017	25.0	35.0	-25.0	9.0	9.0	8.0
raw_rescue_ani0.92_xny100_br0.1_af0.5_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8750729225498604	35.76275879445157	0.9316955559308607	1133	351	43	-0.0019500546827613179	-0.04127906976744178	-8.198570028001156e-16	0.00019813985262724974	25.0	35.0	-25.0	9.0	9.0	8.0
raw_rescue_ani0.92_xny100_br0.1_af0.7_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8904615834063687	180.96958893212593	-0.03486898713187393	1120	317	56	0.0069050023682210625	0.0	140.4291960970462	-0.9604476291872212	12.0	1.0	-12.0	9.0	0.0	17.0
raw_rescue_ani0.92_xny100_br0.1_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8904615834063687	35.76275879445157	0.931600391105674	1120	317	56	0.0069050023682210625	0.0	0.0	2.742196312415064e-07	12.0	1.0	-12.0	9.0	0.0	17.0
raw_rescue_ani0.92_xny100_br0.1_af0.9_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	180.96946329090525	-0.035078691981263115	1109	316	67	0.0005902026362384435	0.0	140.4288682130004	-0.9608348231592523	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.92_xny100_br0.1_af0.9_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	35.76275879445157	0.9316002425700405	1109	316	67	0.0005902026362384435	0.0	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.92_xny100_br0.25_af0.1_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8793886295325191	181.81211526504214	-0.03322555945447362	1123	341	53	-0.005237169684770982	-0.09090909090909094	141.98461506094057	-0.9602286603082509	15.0	25.0	-15.0	9.0	13.0	4.0
raw_rescue_ani0.92_xny100_br0.25_af0.1_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8793886295325191	35.76275879445157	0.9317624860798432	1123	341	53	-0.005237169684770982	-0.09090909090909094	-5.465713352000771e-16	0.00012899764841886382	15.0	25.0	-15.0	9.0	13.0	4.0
raw_rescue_ani0.92_xny100_br0.25_af0.3_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8793886295325191	181.81211526504214	-0.03322555945447362	1123	341	53	-0.005237169684770982	-0.09090909090909094	141.98461506094057	-0.9602286603082509	15.0	25.0	-15.0	9.0	13.0	4.0
raw_rescue_ani0.92_xny100_br0.25_af0.3_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8793886295325191	35.76275879445157	0.9317624860798432	1123	341	53	-0.005237169684770982	-0.09090909090909094	-5.465713352000771e-16	0.00012899764841886382	15.0	25.0	-15.0	9.0	13.0	4.0
raw_rescue_ani0.92_xny100_br0.25_af0.5_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8867930440231866	181.18337043144305	-0.034649959792442786	1122	326	54	0.0029086978305477916	-0.018142235123367212	140.82386041847525	-0.961024866668339	14.0	10.0	-14.0	10.0	4.0	12.0
raw_rescue_ani0.92_xny100_br0.25_af0.5_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8867930440231866	35.76275879445157	0.9317157784356527	1122	326	54	0.0029086978305477916	-0.018142235123367212	2.7328566760003855e-16	0.00010404339071255444	14.0	10.0	-14.0	10.0	4.0	12.0
raw_rescue_ani0.92_xny100_br0.25_af0.7_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8904011461318051	180.9695905226842	-0.034909772564946664	1119	316	57	0.006308287395956782	0.0	140.42919903346152	-0.9605229253713555	11.0	0.0	-11.0	9.0	0.0	17.0
raw_rescue_ani0.92_xny100_br0.25_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8904011461318051	35.76275879445157	0.9316002425700405	1119	316	57	0.006308287395956782	0.0	0.0	0.0	11.0	0.0	-11.0	9.0	0.0	17.0
raw_rescue_ani0.92_xny100_br0.25_af0.9_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	180.96946329090525	-0.035078691981263115	1109	316	67	0.0005902026362384435	0.0	140.4288682130004	-0.9608348231592523	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.92_xny100_br0.25_af0.9_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	35.76275879445157	0.9316002425700405	1109	316	67	0.0005902026362384435	0.0	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.92_xny100_br0.2_af0.1_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.864782146362744	184.11950598650463	-0.03239297657746463	1131	410	45	-0.034133778586717546	-0.19999999999999996	146.24441318192464	-0.9604017882383279	23.0	94.0	-23.0	3.0	23.0	0.0
raw_rescue_ani0.92_xny100_br0.2_af0.1_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.864782146362744	35.76275879445157	0.9318752975473428	1131	410	45	-0.034133778586717546	-0.19999999999999996	-1.0248212535001446e-16	0.000402349593023556	23.0	94.0	-23.0	3.0	23.0	0.0
raw_rescue_ani0.92_xny100_br0.2_af0.3_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8651078073339002	183.78133922086948	-0.031025613866182335	1131	408	45	-0.03214876970515694	-0.19999999999999996	145.6201053069059	-0.9578774263098068	23.0	92.0	-23.0	3.0	23.0	0.0
raw_rescue_ani0.92_xny100_br0.2_af0.3_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8651078073339002	35.76275879445157	0.9318420287349172	1131	408	45	-0.03214876970515694	-0.19999999999999996	-1.0248212535001446e-16	0.0003409302470070558	23.0	92.0	-23.0	3.0	23.0	0.0
raw_rescue_ani0.92_xny100_br0.2_af0.5_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8840458414570355	181.1833677439183	-0.033044886595308985	1130	338	46	0.0017328329078435528	-0.035612535612535634	140.82385534723454	-0.9589692140204874	22.0	22.0	-22.0	12.0	5.0	9.0
raw_rescue_ani0.92_xny100_br0.2_af0.5_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8840458414570355	35.76275879445157	0.9316999516147748	1130	338	46	0.0017328329078435528	-0.035612535612535634	-5.465713352000771e-16	0.00011590386090121196	22.0	22.0	-22.0	12.0	5.0	9.0
raw_rescue_ani0.92_xny100_br0.2_af0.7_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8902267944821136	180.96959052268437	-0.03486898665406321	1119	317	57	0.0061879228375822165	0.0	140.4291990334618	-0.9604476283051091	11.0	1.0	-11.0	9.0	0.0	17.0
raw_rescue_ani0.92_xny100_br0.2_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8902267944821136	35.76275879445157	0.931600391105674	1119	317	57	0.0061879228375822165	0.0	0.0	2.742196312415064e-07	11.0	1.0	-11.0	9.0	0.0	17.0
raw_rescue_ani0.92_xny100_br0.2_af0.9_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	180.96946329090525	-0.035078691981263115	1109	316	67	0.0005902026362384435	0.0	140.4288682130004	-0.9608348231592523	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.92_xny100_br0.2_af0.9_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	35.76275879445157	0.9316002425700405	1109	316	67	0.0005902026362384435	0.0	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.92_xny100_br0.3_af0.1_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8858428805237315	181.21550775186012	-0.03507149895526184	1115	322	61	0.0009475710090749178	-0.0045033112582780754	140.88319085616828	-0.9618030928150818	7.0	6.0	-7.0	6.0	2.0	18.0
raw_rescue_ani0.92_xny100_br0.3_af0.1_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8858428805237315	35.76275879445157	0.9317149614776257	1115	322	61	0.0009475710090749178	-0.0045033112582780754	2.7328566760003855e-16	0.00010253516050869796	7.0	6.0	-7.0	6.0	2.0	18.0
raw_rescue_ani0.92_xny100_br0.3_af0.3_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8858428805237315	181.21550775186012	-0.03507149895526184	1115	322	61	0.0009475710090749178	-0.0045033112582780754	140.88319085616828	-0.9618030928150818	7.0	6.0	-7.0	6.0	2.0	18.0
raw_rescue_ani0.92_xny100_br0.3_af0.3_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8858428805237315	35.76275879445157	0.9317149614776257	1115	322	61	0.0009475710090749178	-0.0045033112582780754	2.7328566760003855e-16	0.00010253516050869796	7.0	6.0	-7.0	6.0	2.0	18.0
raw_rescue_ani0.92_xny100_br0.3_af0.5_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8858428805237315	181.21550775186012	-0.03507149895526184	1115	322	61	0.0009475710090749178	-0.0045033112582780754	140.88319085616828	-0.9618030928150818	7.0	6.0	-7.0	6.0	2.0	18.0
raw_rescue_ani0.92_xny100_br0.3_af0.5_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8858428805237315	35.76275879445157	0.9317149614776257	1115	322	61	0.0009475710090749178	-0.0045033112582780754	2.7328566760003855e-16	0.00010253516050869796	7.0	6.0	-7.0	6.0	2.0	18.0
raw_rescue_ani0.92_xny100_br0.3_af0.7_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8892241884448611	181.0017219222056	-0.034929923684303	1114	316	62	0.0033591364666979598	0.0	140.48851854027032	-0.9605601274378593	6.0	0.0	-6.0	5.0	0.0	21.0
raw_rescue_ani0.92_xny100_br0.3_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8892241884448611	35.76275879445157	0.9316002425700405	1114	316	62	0.0033591364666979598	0.0	0.0	0.0	6.0	0.0	-6.0	5.0	0.0	21.0
raw_rescue_ani0.92_xny100_br0.3_af0.9_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	180.96946329090525	-0.035078691981263115	1109	316	67	0.0005902026362384435	0.0	140.4288682130004	-0.9608348231592523	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.92_xny100_br0.3_af0.9_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	35.76275879445157	0.9316002425700405	1109	316	67	0.0005902026362384435	0.0	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.92_xny100_br0.5_af0.1_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	180.96940660439162	-0.03507871949267515	1110	316	66	0.0010183459215245849	0.0	140.42885949199834	-0.9608348273917772	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.92_xny100_br0.5_af0.1_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	35.76275879445157	0.9316002425700405	1110	316	66	0.0010183459215245849	0.0	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.92_xny100_br0.5_af0.3_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	180.96940660439162	-0.03507871949267515	1110	316	66	0.0010183459215245849	0.0	140.42885949199834	-0.9608348273917772	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.92_xny100_br0.5_af0.3_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	35.76275879445157	0.9316002425700405	1110	316	66	0.0010183459215245849	0.0	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.92_xny100_br0.5_af0.5_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	180.96940660439162	-0.03507871949267515	1110	316	66	0.0010183459215245849	0.0	140.42885949199834	-0.9608348273917772	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.92_xny100_br0.5_af0.5_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	35.76275879445157	0.9316002425700405	1110	316	66	0.0010183459215245849	0.0	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	24.0
