method	panels	mean_panel_pooled_F1	mean_panel_L1_union_pp	mean_panel_Pearson_union	total_TP	total_FP	total_FN	mean_delta_F1	min_delta_F1	mean_delta_L1_union_pp	mean_delta_Pearson_union	total_TP_delta	total_FP_delta	total_FN_delta	improved_samples_F1	worsened_samples_F1	unchanged_samples_F1
raw_rescue_ani0.9_xny100_br0.05_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.76275879445157	0.931600391105674	1121	317	55	0.007757430082350909	0.0	0.0	2.742196312415064e-07	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny100_br0.1_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.76275879445157	0.931600391105674	1121	317	55	0.007757430082350909	0.0	0.0	2.742196312415064e-07	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny300_br0.05_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.76275879445157	0.931600391105674	1121	317	55	0.007757430082350909	0.0	0.0	2.742196312415064e-07	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny300_br0.1_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.76275879445157	0.931600391105674	1121	317	55	0.007757430082350909	0.0	0.0	2.742196312415064e-07	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny500_br0.05_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.76275879445157	0.931600391105674	1121	317	55	0.007757430082350909	0.0	0.0	2.742196312415064e-07	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny500_br0.1_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.76275879445157	0.931600391105674	1121	317	55	0.007757430082350909	0.0	0.0	2.742196312415064e-07	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny700_br0.05_af0.1_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.76275879445157	0.931600391105674	1121	317	55	0.007757430082350909	0.0	0.0	2.742196312415064e-07	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny700_br0.05_af0.3_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.76275879445157	0.931600391105674	1121	317	55	0.007757430082350909	0.0	0.0	2.742196312415064e-07	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny700_br0.05_af0.5_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.76275879445157	0.931600391105674	1121	317	55	0.007757430082350909	0.0	0.0	2.742196312415064e-07	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny700_br0.05_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.76275879445157	0.931600391105674	1121	317	55	0.007757430082350909	0.0	0.0	2.742196312415064e-07	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny700_br0.1_af0.1_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.76275879445157	0.931600391105674	1121	317	55	0.007757430082350909	0.0	0.0	2.742196312415064e-07	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny700_br0.1_af0.3_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.76275879445157	0.931600391105674	1121	317	55	0.007757430082350909	0.0	0.0	2.742196312415064e-07	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny700_br0.1_af0.5_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.76275879445157	0.931600391105674	1121	317	55	0.007757430082350909	0.0	0.0	2.742196312415064e-07	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny700_br0.1_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.76275879445157	0.931600391105674	1121	317	55	0.007757430082350909	0.0	0.0	2.742196312415064e-07	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny100_br0.05_af0.7_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	180.95813867399602	-0.035345659354083826	1121	317	55	0.007757430082350909	0.0	140.40805715896028	-0.9613276394436087	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny100_br0.1_af0.7_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	180.95813867399602	-0.035345659354083826	1121	317	55	0.007757430082350909	0.0	140.40805715896028	-0.9613276394436087	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny300_br0.05_af0.7_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	180.95813867399602	-0.035345659354083826	1121	317	55	0.007757430082350909	0.0	140.40805715896028	-0.9613276394436087	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny300_br0.1_af0.7_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	180.95813867399602	-0.035345659354083826	1121	317	55	0.007757430082350909	0.0	140.40805715896028	-0.9613276394436087	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny500_br0.05_af0.7_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	180.95813867399602	-0.035345659354083826	1121	317	55	0.007757430082350909	0.0	140.40805715896028	-0.9613276394436087	13.0	1.0	-13.0	9.0	0.0	17.0
raw_rescue_ani0.9_xny500_br0.1_af0.7_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	180.95813867399602	-0.035345659354083826	1121	317	55	0.007757430082350909	0.0	140.40805715896028	-0.9613276394436087	13.0	1.0	-13.0	9.0	0.0	17.0
