sample	ncbi_species_taxid	truth_name	abundance_pct_all	transfer_method	gtdb_species	taxid_gtdb_species_count	binomial_gtdb_species_count
0	1003110	Verrucosispora maris	0.0884	unique_taxid	s__Micromonospora gifhornensis	1	0
0	1006	Marivirga tractuosa	0.0949	unique_gtdb_binomial	s__Marivirga tractuosa	2	1
0	1007105	Pusillimonas sp. T7-7	0.0259	unique_taxid	s__Pusillimonas_C sp000209655	1	0
0	100716	Chloroherpeton thalassium	0.2158	unique_gtdb_binomial	s__Chloroherpeton thalassium	3	1
0	1008	Saprospira grandis	0.0173	unique_gtdb_binomial	s__Saprospira grandis	3	1
0	1008460	Pyrococcus yayanosii	0.0086	unique_taxid	s__Pyrococcus yayanosii	1	1
0	1033846	Marinobacter adhaerens	0.0086	unique_gtdb_binomial	s__Marinobacter adhaerens	5	1
0	1038856	Planococcus plakortidis	0.0173	unique_taxid	s__Planococcus plakortidis	1	1
0	1042877	Thermococcus sp. 4557	0.0604	unique_taxid	s__Thermococcus sp000221185	1	0
0	1063	Rhodobacter sphaeroides	0.0455	ambiguous_taxid		6	0
0	1076588	Thiolapillus brandeum	0.0518	unique_gtdb_binomial	s__Thiolapillus brandeum	2	1
0	1094	Chlorobium phaeovibrioides	0.0259	unique_gtdb_binomial	s__Chlorobium phaeovibrioides	2	1
0	1096	Chlorobium phaeobacteroides	0.1812	unique_gtdb_binomial	s__Chlorobium phaeobacteroides	2	1
0	1124597	Magnetococcus marinus	0.1381	unique_taxid	s__Magnetococcus marinus	1	1
0	1144748	Kangiella sediminilitoris	0.0259	unique_taxid	s__Kangiella sediminilitoris	1	1
0	1188228	Gloeomargarita lithophora	0.0863	unique_taxid	s__Gloeomargarita lithophora	1	1
0	1191459	Flammeovirga sp. MY04	0.0777	unique_taxid	s__Flammeovirga yaeyamensis	1	0
0	119864	Marinomonas mediterranea	0.1122	unique_taxid	s__Marinomonas mediterranea	1	1
0	120577	Brucella ceti	0.0086	unique_taxid	s__Brucella melitensis	1	0
0	1217908	Octadecabacter antarcticus	0.0259	unique_taxid	s__Octadecabacter antarcticus	1	1
0	1219	Prochlorococcus marinus	0.2417	ambiguous_taxid		55	0
0	1229	Nitrosococcus oceani	0.9839	unique_taxid	s__Nitrosococcus oceani	1	1
0	1229909	Candidatus Nitrosopumilus sediminis	0.1036	unique_taxid	s__Nitrosopumilus sediminis	1	0
0	1238	Piscirickettsia salmonis	0.1208	unique_gtdb_binomial	s__Piscirickettsia salmonis	2	1
0	1246	Leuconostoc lactis	0.0173	unique_gtdb_binomial	s__Leuconostoc lactis	2	1
0	1248727	endosymbiont of unidentified scaly snail isolate Monju	0.0345	unique_taxid	s__MONJU sp000801295	1	0
0	1263979	Candidatus Endolissoclinum faulkneri	1.0368	ambiguous_taxid		2	0
0	126740	Thermotoga sp. RQ2	0.0173	unique_taxid	s__Thermotoga maritima	1	0
0	1270	Micrococcus luteus	0.0173	unique_gtdb_binomial	s__Micrococcus luteus	5	1
0	1276	Kytococcus sedentarius	0.0949	unique_gtdb_binomial	s__Kytococcus sedentarius	3	1
0	1280380	Synechococcus sp. KORDI-100	0.0086	unique_taxid	s__Parasynechococcus sp000737535	1	0
0	1284658	Planktomarina temperata	0.0235	unique_taxid	s__Planktomarina temperata	1	1
0	1288970	Magnetospira sp. QH-2	0.0328	unique_taxid	s__Magnetospira sp000968135	1	0
0	1292	Staphylococcus warneri	0.2158	unique_gtdb_binomial	s__Staphylococcus warneri	4	1
0	1295392	Photobacterium gaetbulicola	0.0432	unique_taxid	s__Photobacterium gaetbulicola	1	1
0	1298608	Psychrobacter sp. JCM 18900	0.397	unique_taxid	s__Psychrobacter sp000586415	1	0
0	1306787	Alcanivorax pacificus	0.0173	unique_taxid	s__Isoalcanivorax pacificus	1	0
0	131112	Arcanobacterium phocae	0.0086	unique_gtdb_binomial	s__Arcanobacterium phocae	2	1
0	1329899	Cycloclasticus zancles	0.1208	unique_taxid	s__Cycloclasticus pugetii	1	0
0	133539	Nitrosococcus halophilus	3.0122	unique_taxid	s__Nitrosococcus halophilus	1	1
