sample	gold_species_mass_pct_all	gold_bacteria_archaea_species_mass_pct_all	truth_taxids_total	truth_taxids_unique_taxid	truth_taxids_binomial_fallback	truth_taxids_ambiguous_after_fallback	truth_taxids_unmapped_after_fallback	truth_mass_unique_taxid_pct_all	truth_mass_binomial_fallback_pct_all	truth_mass_ambiguous_after_fallback_pct_all	truth_mass_unmapped_after_fallback_pct_all	truth_mass_mapped_pct_all	truth_mass_mapped_pct_bacteria_archaea	release_grade_threshold_pct_bacteria_archaea	release_grade_ready_bacteria_archaea	scored_with_profiles
0	96.77079999999997	27.10860000000002	256	169	68	18	1	20.374900000000004	4.295500000000001	2.4122999999999997	0.0259	24.670400000000008	91.00580627549925	95.0	false	true
1	96.5042	33.70320000000011	300	199	71	26	4	23.638900000000046	7.534699999999996	2.4129	0.1167	31.173600000000093	92.49448123620307	95.0	false	false
2	96.56079999999974	29.88640000000004	274	180	70	22	2	22.15200000000002	5.796400000000003	1.8834000000000004	0.0546	27.948400000000028	93.51544515231005	95.0	false	false
3	95.5482	31.713799999999956	381	260	88	28	5	23.466699999999985	5.8918	2.2382	0.11710000000000001	29.358499999999985	92.5732646355846	95.0	false	true
4	94.2146000000003	30.891900000000003	277	185	64	24	4	22.048500000000008	7.017100000000001	1.7400000000000002	0.08629999999999999	29.065600000000018	94.08809429008903	95.0	false	true
5	93.82459999999966	37.31350000000003	331	231	69	28	3	28.766000000000012	6.3443999999999985	2.0667999999999997	0.13629999999999998	35.11040000000003	94.09570262773526	95.0	false	true
6	94.89770000000023	36.0113	326	225	73	23	5	27.654299999999992	6.3855	1.7794000000000003	0.1921	34.039799999999985	94.52532954933586	95.0	false	false
7	95.2247999999996	31.50300000000002	282	189	64	24	5	23.825000000000017	5.526100000000001	2.0559000000000003	0.096	29.35110000000002	93.16922197885916	95.0	false	false
8	95.49739999999966	31.014499999999984	345	236	78	28	3	24.45219999999997	4.618799999999999	1.8088000000000002	0.13470000000000001	29.07099999999997	93.73357623047279	95.0	false	false
9	92.69010000000009	32.97970000000006	271	179	64	23	5	24.79790000000005	5.6242000000000045	2.363400000000001	0.1942	30.422100000000064	92.24492642443688	95.0	false	false
