sample	gtdb_species	abundance_pct_all	truth_abundance	source_taxids
0	s__Aciduliprofundum boonei	0.0518	0.002099682210260068	379547
0	s__Aciduliprofundum sp000327505	0.0086	0.0003485958881898955	673860
0	s__Acinetobacter venetianus	0.0086	0.0003485958881898955	52133
0	s__Aeromonas salmonicida	0.1554	0.006299046630780205	645
0	s__Aeropyrum camini	0.0345	0.0013984369933199296	229980
0	s__Agarivorans gilvus	0.0086	0.0003485958881898955	680279
0	s__Agrococcus jejuensis	0.0086	0.0003485958881898955	399736
0	s__Aliivibrio fischeri	0.0173	0.0007012452169401386	668
0	s__Aliivibrio salmonicida	0.3798	0.015394967248200268	40269
0	s__Aliivibrio wodanis	0.3711	0.015042317919450024	80852
0	s__Alteraurantiacibacter atlanticus	0.0086	0.0003485958881898955	1648404
0	s__Alteraurantiacibacter gangjinensis	0.0086	0.0003485958881898955	502682
0	s__Alteriqipengyuania bathyomarina	0.0173	0.0007012452169401386	1634516
0	s__Alteromonas macleodii	0.2689	0.010899701666774753	28108
0	s__Alteromonas mediterranea	0.6909	0.02800522083144172	314275
0	s__Aquibium oceanicum	0.0086	0.0003485958881898955	1670800
0	s__Aquiluna sp900100865	0.0432	0.0017510863220701726	1855377
0	s__Arcanobacterium phocae	0.0086	0.0003485958881898955	131112
0	s__Archaeoglobus fulgidus	0.1467	0.005946397302029961	2234
0	s__Bacillus pumilus	0.069	0.0027968739866398593	1408
0	s__Bacillus velezensis	0.0086	0.0003485958881898955	492670
0	s__Bdellovibrio bacteriovorus	0.0259	0.001049841105130034	959
0	s__Bernardetia litoralis	0.0173	0.0007012452169401386	999
0	s__Brucella melitensis	0.0086	0.0003485958881898955	120577
0	s__Campylobacter_D peloridis	0.0086	0.0003485958881898955	488546
0	s__Carnobacterium divergens	0.0086	0.0003485958881898955	2748
0	s__Celeribacter marinus	0.0173	0.0007012452169401386	1397108
0	s__Cellulophaga baltica	0.0036	0.00014592386017251439	76594
0	s__Cenarchaeum symbiosum	0.0086	0.0003485958881898955	46770
0	s__Chlorobium phaeobacteroides	0.1812	0.007344834295349891	1096
0	s__Chlorobium phaeovibrioides	0.0259	0.001049841105130034	1094
0	s__Chloroherpeton thalassium	0.2158	0.008747324729230167	100716
0	s__Christiangramia forsetii	0.0173	0.0007012452169401386	411153
0	s__Colwellia marinimaniae	0.0086	0.0003485958881898955	58049
