sample	truth_taxids_total	truth_taxids_mapped	truth_taxids_ambiguous	truth_taxids_unmapped	truth_mass_mapped_pct_all	truth_mass_ambiguous_pct_all	truth_mass_unmapped_pct_all	gold_species_mass_pct_all	gold_bacteria_archaea_species_mass_pct_all	gold_dropped_named_species_mass_pct_all	gold_virus_species_mass_pct_all	gold_plasmid_or_unknown_species_mass_pct_all	gold_other_species_mass_pct_all	gold_bacteria_archaea_species_taxids	truth_mass_mapped_pct_bacteria_archaea	release_grade_threshold_pct_bacteria_archaea	release_grade_ready_bacteria_archaea	scored_with_profiles
0	256	169	86	1	20.374899999999997	6.707800000000006	0.0259	96.77079999999997	27.10860000000002	69.6622	0.0	69.6622	0.0	256	75.16028123916388	95.0	False	True
1	300	199	97	4	23.6389	9.947599999999994	0.1167	96.5042	33.70320000000011	62.801	0.0	62.801	0.0	300	70.13844382729214	95.0	False	False
2	274	180	92	2	22.152	7.679800000000006	0.0546	96.56079999999974	29.88640000000004	66.6744	0.0	66.6744	0.0	274	74.12067027142771	95.0	False	False
3	381	260	116	5	23.466700000000003	8.129999999999999	0.11710000000000001	95.5482	31.713799999999956	63.8344	0.0	63.8344	0.0	381	73.99523235941462	95.0	False	True
4	277	185	88	4	22.048500000000004	8.757100000000001	0.08629999999999999	94.2146000000003	30.891900000000003	63.3227	0.0	63.3227	0.0	277	71.37307837976947	95.0	False	True
5	331	231	97	3	28.765999999999995	8.4112	0.13629999999999998	93.82459999999966	37.31350000000003	56.5111	0.0	56.5111	0.0	331	77.0927412330657	95.0	False	True
6	326	225	96	5	27.654300000000003	8.1649	0.1921	94.89770000000023	36.0113	58.886399999999995	0.0	58.886399999999995	0.0	326	76.79339540644187	95.0	False	False
7	282	189	88	5	23.825000000000003	7.582000000000002	0.096	95.2247999999996	31.50300000000002	63.7218	0.0	63.7218	0.0	282	75.62771799511154	95.0	False	False
8	345	236	106	3	24.452199999999998	6.427599999999998	0.13470000000000001	95.49739999999966	31.014499999999984	64.4829	0.0	64.4829	0.0	345	78.84118718663854	95.0	False	False
9	271	179	87	5	24.797900000000002	7.9876000000000085	0.1942	92.69010000000009	32.97970000000006	59.7104	0.0	59.7104	0.0	271	75.1914056222463	95.0	False	False
