gtdb_species	sample	abundance_pct_all	source_taxids	truth_names	truth_abundance
s__Aciduliprofundum boonei	0	0.0518	379547	Aciduliprofundum boonei	0.002542343766104374
s__Aciduliprofundum sp000327505	0	0.0086	673860	Aciduliprofundum sp. MAR08-339	0.00042208796116790766
s__Acinetobacter venetianus	0	0.0086	52133	Acinetobacter venetianus	0.00042208796116790766
s__Aeromonas salmonicida	0	0.1554	645	Aeromonas salmonicida	0.007627031298313123
s__Aeropyrum camini	0	0.0345	229980	Aeropyrum camini	0.0016932598442200948
s__Agarivorans gilvus	0	0.0086	680279	Agarivorans gilvus	0.00042208796116790766
s__Aliivibrio salmonicida	0	0.3798	40269	Aliivibrio salmonicida	0.018640582285066435
s__Aliivibrio wodanis	0	0.3711	80852	Aliivibrio wodanis	0.01821358632435006
s__Alteraurantiacibacter atlanticus	0	0.0086	1648404	Erythrobacter atlanticus	0.00042208796116790766
s__Alteraurantiacibacter gangjinensis	0	0.0086	502682	Erythrobacter gangjinensis	0.00042208796116790766
s__Alteriqipengyuania bathyomarina	0	0.0173	1634516	Citromicrobium sp. JL477	0.0008490839218842792
s__Alteromonas mediterranea	0	0.6909	314275	Alteromonas mediterranea	0.03390936888033807
s__Aquibium oceanicum	0	0.0086	1670800	Mesorhizobium sp. B7	0.00042208796116790766
s__Aquiluna sp900100865	0	0.0432	1855377	Candidatus Aquiluna sp. UB-MaderosW2red	0.0021202558049364666
s__Archaeoglobus fulgidus	0	0.1467	2234	Archaeoglobus fulgidus	0.00720003533759675
s__Bernardetia litoralis	0	0.0173	999	Bernardetia litoralis	0.0008490839218842792
s__Brucella melitensis	0	0.0086	120577	Brucella ceti	0.00042208796116790766
s__Campylobacter_D peloridis	0	0.0086	488546	Campylobacter peloridis	0.00042208796116790766
s__Cenarchaeum symbiosum	0	0.0086	46770	Cenarchaeum symbiosum	0.00042208796116790766
s__Christiangramia forsetii	0	0.0173	411153	Gramella forsetii	0.0008490839218842792
s__Colwellia marinimaniae	0	0.0086	58049	Colwellia sp. MT41	0.00042208796116790766
s__Corynebacterium phocae	0	0.0432	161895	Corynebacterium phocae	0.0021202558049364666
s__Corynebacterium sphenisci	0	0.0086	191493	Corynebacterium sphenisci	0.00042208796116790766
s__Croceicoccus naphthovorans	0	0.0086	1348774	Croceicoccus naphthovorans	0.00042208796116790766
s__Cyclobacterium amurskyense	0	0.0086	320787	Cyclobacterium amurskyense	0.00042208796116790766
s__Cycloclasticus pugetii	0	0.1208	1329899	Cycloclasticus zancles	0.005928863454544563
s__Desulfobacula toluolica	0	0.0086	28223	Desulfobacula toluolica	0.00042208796116790766
s__Desulfococcus multivorans	0	0.164	897	Desulfococcus multivorans	0.008049119259481029
s__Desulfocurvibacter africanus	0	0.0432	873	Desulfovibrio africanus	0.0021202558049364666
s__Desulfurobacterium thermolithotrophum	0	0.0518	64160	Desulfurobacterium thermolithotrophum	0.002542343766104374
s__Echinicola vietnamensis	0	0.0086	390884	Echinicola vietnamensis	0.00042208796116790766
s__Edwardsiella anguillarum	0	0.0086	1821960	Edwardsiella anguillarum	0.00042208796116790766
s__Filomicrobium insigne	0	0.0345	1608628	Candidatus Filomicrobium marinum	0.0016932598442200948
s__Flammeovirga yaeyamensis	0	0.0777	1191459	Flammeovirga sp. MY04	0.0038135156491565614
s__Formosa agariphila	0	0.0173	320324	Formosa agariphila	0.0008490839218842792
s__Formosa haliotis	0	0.0173	1555194	Formosa haliotis	0.0008490839218842792
s__Francisella noatunensis	0	0.0173	657445	Francisella noatunensis	0.0008490839218842792
s__Glaciecola nitratireducens	0	0.0259	300231	Glaciecola nitratireducens	0.001271171883052187
s__Gloeomargarita lithophora	0	0.0863	1188228	Gloeomargarita lithophora	0.004235603610324469
s__Hahella chejuensis	0	0.0173	158327	Hahella chejuensis	0.0008490839218842792
s__Haloferax mediterranei	0	0.0259	2252	Haloferax mediterranei	0.001271171883052187
s__Halolamina sediminis	0	0.0086	1480675	Halolamina sediminis	0.00042208796116790766
s__Halomonas aestuarii	0	0.0086	1897729	Halomonas aestuarii	0.00042208796116790766
s__Halorhabdus tiamatea	0	0.069	430914	Halorhabdus tiamatea	0.0033865196884401896
s__Henriciella sp001854405	0	0.0259	1906738	Hyphomonas sp. Mor2	0.001271171883052187
s__Hippea maritima	0	0.0345	84405	Hippea maritima	0.0016932598442200948
s__Hirschia baltica	0	0.0127	2724	Hirschia baltica	0.0006233159426549333
s__Hoeflea sp001011155	0	0.0086	1620421	Hoeflea sp. IMCC20628	0.00042208796116790766
s__Hungateiclostridium thermocellum	0	0.0173	1515	Ruminiclostridium thermocellum	0.0008490839218842792
s__Hydrogenophaga crassostreae	0	0.0777	1763535	Hydrogenophaga sp. LPB0072	0.0038135156491565614
s__Hydrogenovibrio crunogenus	0	0.0086	39765	Thiomicrospira crunogena	0.00042208796116790766
s__Hyperthermus butylicus	0	1.9161	54248	Hyperthermus butylicus	0.09404217934811951
s__Hyphomicrobium_C nitrativorans	0	0.164	1427356	Hyphomicrobium nitrativorans	0.008049119259481029
s__Hyphomonas neptunia	0	0.0259	81032	Hyphomonas neptunium	0.001271171883052187
