genome_id	otu	ncbi_id	novelty_category	source_path	source_label	normalized_source_label	matched_gtdb_species_count	matched_gtdb_species	match_decision	assembly_summary_gtdb_species_count	assembly_summary_gtdb_species	assembly_summary_accessions	assembly_summary_decision
Otu520.0	119044	1608628	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Filomicrobium_sp_W1_genomic.fasta	Filomicrobium sp W1	filomicrobium sp w1	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu1947	2	22	new_species	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Shewanella_sp_MR-4_genomic.fasta	Shewanella sp MR-4	shewanella sp mr 4	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu806.0	22	60217	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Shewanella_violacea_DSS12_genomic.fasta	Shewanella violacea DSS12	shewanella violacea dss12	1	s__Shewanella violacea	exact_source_name_unique_gtdb_species	1	s__Shewanella violacea	GCF_000091325.1	assembly_summary_unique_gtdb_species
Otu634.0	255474	208216	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Parvularcula_bermudensis_HTCC2503_genomic.fasta	Parvularcula bermudensis HTCC2503	parvularcula bermudensis htcc2503	1	s__Parvularcula bermudensis	exact_source_name_unique_gtdb_species	1	s__Parvularcula bermudensis	GCF_000152825.2	assembly_summary_unique_gtdb_species
Otu483	2	1295392	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Photobacterium_gaetbulicola_Gung47_genomic.fasta	Photobacterium gaetbulicola Gung47	photobacterium gaetbulicola gung47	1	s__Photobacterium gaetbulicola	exact_source_name_unique_gtdb_species	0			assembly_summary_no_match
Otu2487	2	40269	new_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/A8_S8_contigs.fasta	A8 S8	a8 s8	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu2446	2	40269	new_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Aliivibrio_salmonicida_LFI1238_genomic.fasta	Aliivibrio salmonicida LFI1238	aliivibrio salmonicida lfi1238	1	s__Aliivibrio salmonicida	exact_source_name_unique_gtdb_species	1	s__Aliivibrio salmonicida	GCF_000196495.1	assembly_summary_unique_gtdb_species
Otu987	2	1155739	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Moorea_producens_JHB_genomic.fasta	Moorea producens JHB	moorea producens jhb	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu980	2	1408	new_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/TNX_S11_contigs.fasta	TNX S11	tnx s11	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu1219	2	62322	new_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Shewanella_baltica_OS195_genomic.fasta	Shewanella baltica OS195	shewanella baltica os195	1	s__Shewanella baltica	exact_source_name_unique_gtdb_species	1	s__Shewanella baltica	GCF_000018765.1	assembly_summary_unique_gtdb_species
Otu212.0	31989	89184	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Ruegeria_pomeroyi_DSS-3_genomic.fasta	Ruegeria pomeroyi DSS-3	ruegeria pomeroyi dss 3	1	s__Ruegeria_B pomeroyi	exact_source_name_unique_gtdb_species	1	s__Ruegeria_B pomeroyi	GCF_000011965.2	assembly_summary_unique_gtdb_species
Otu2389	2	32049	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Synechococcus_sp_PCC_7002_genomic.fasta	Synechococcus sp PCC 7002	synechococcus sp pcc 7002	0		no_exact_source_name_match	1	s__MRBY01 sp001693275	GCF_000019485.1,GCF_019137755.1,GCF_019137795.1	assembly_summary_unique_gtdb_species
Otu820	2	2336	new_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Thermotoga_maritima_strain_Tma200_genomic.fasta	Thermotoga maritima strain Tma200	thermotoga maritima tma200	0		no_exact_source_name_match	1	s__Thermotoga maritima	GCF_000978535.1	assembly_summary_unique_gtdb_species
Otu2322	2	190893	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Vibrio_coralliilyticus_RE98_genomic.fasta	Vibrio coralliilyticus RE98	vibrio coralliilyticus re98	0		no_exact_source_name_match	1	s__Vibrio coralliilyticus	GCF_000772065.1	assembly_summary_unique_gtdb_species
Otu2448	2	84405	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Hippea_maritima_DSM_10411_genomic.fasta	Hippea maritima DSM 10411	hippea maritima dsm 10411	1	s__Hippea maritima	exact_source_name_unique_gtdb_species	1	s__Hippea maritima	GCF_000194135.1	assembly_summary_unique_gtdb_species
Otu489.0	49546	411153	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Gramella_forsetii_KT0803_genomic.fasta	Gramella forsetii KT0803	gramella forsetii kt0803	0		no_exact_source_name_match	1	s__Christiangramia forsetii	GCF_000060345.1	assembly_summary_unique_gtdb_species
Otu1593	2	53246	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Pseudoalteromonas_translucida_KMM_520_genomic.fasta	Pseudoalteromonas translucida KMM 520	pseudoalteromonas translucida kmm 520	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu1596	2	80852	new_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Vw1_S1_contigs.fasta	Vw1 S1	vw1 s1	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu1597	2	46541	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Thermosipho_melanesiensis_strain_431_genomic.fasta	Thermosipho melanesiensis strain 431	thermosipho melanesiensis 431	0		no_exact_source_name_match	1	s__Thermosipho melanesiensis	GCF_001941385.1	assembly_summary_unique_gtdb_species
Otu712	2	120577	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Brucella_ceti_TE28753-12_genomic.fasta	Brucella ceti TE28753-12	brucella ceti te28753 12	1	s__Brucella melitensis	exact_source_name_unique_gtdb_species	0			assembly_summary_no_match
Otu1791	2	45658	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Vibrio_scophthalmi_strain_VS-12_genomic.fasta	Vibrio scophthalmi strain VS-12	vibrio scophthalmi vs 12	0		no_exact_source_name_match	1	s__Vibrio scophthalmi	GCF_001685465.1	assembly_summary_unique_gtdb_species
Otu713	2157	2280	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Staphylothermus_marinus_F1_genomic.fasta	Staphylothermus marinus F1	staphylothermus marinus f1	1	s__Staphylothermus marinus	exact_source_name_unique_gtdb_species	1	s__Staphylothermus marinus	GCF_000015945.1	assembly_summary_unique_gtdb_species
Otu1330	2157	342948	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Thermococcus_onnurineus_NA1_genomic.fasta	Thermococcus onnurineus NA1	thermococcus onnurineus na1	1	s__Thermococcus onnurineus	exact_source_name_unique_gtdb_species	1	s__Thermococcus onnurineus	GCF_000018365.1	assembly_summary_unique_gtdb_species
Otu1961	2	1038856	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Planococcus_plakortidis_strain_DSM_23997_genomic.fasta	Planococcus plakortidis strain DSM 23997	planococcus plakortidis dsm 23997	0		no_exact_source_name_match	1	s__Planococcus plakortidis	GCF_001687605.2,GCF_045115855.1	assembly_summary_unique_gtdb_species
Otu491.0	49546	237	new_species	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/26_S2_contigs.fasta	26 S2	26 s2	0		no_exact_source_name_match	0			assembly_summary_no_match
