metric	value	evidence	decision
setup_metadata_inputs	genome_to_id_exists=True;metadata_exists=True;setup_genomes=977	results/marine_setup_metadata_source_matches.tsv	setup_metadata_available
assembly_summary_inputs	assembly_summary_exists=True;path=/mnt/new3T/All_pathogen/metadata/assembly_summary_refseq.txt	results/marine_setup_metadata_source_matches.tsv	assembly_summary_available
exact_source_name_match_summary	setup_genomes=977;exact_unique=300;exact_ambiguous=8;no_match=669	results/marine_setup_metadata_source_matches.tsv	source_names_partially_resolve_gtdb_species
assembly_summary_match_summary	setup_genomes=977;assembly_unique=472;assembly_ambiguous=6;assembly_no_match=499	results/marine_setup_metadata_source_matches.tsv	assembly_summary_resolves_additional_sources
accepted_exact_binomial_summary	min_mapped_pct_bacteria_archaea=91.005806;ready_samples=0/10	results/marine_setup_metadata_truth_upgrade_rules.tsv	release_rule_fails_threshold
strict_all_setup_sources_unique_summary	min_mapped_pct_bacteria_archaea=93.043167;ready_samples=4/10	results/marine_setup_metadata_truth_upgrade_rules.tsv	release_rule_fails_threshold
strict_assembly_summary_sources_unique_summary	min_mapped_pct_bacteria_archaea=93.978664;ready_samples=9/10	results/marine_setup_metadata_truth_upgrade_rules.tsv	release_rule_fails_threshold
strict_source_name_or_assembly_sources_unique_summary	min_mapped_pct_bacteria_archaea=95.029253;ready_samples=10/10	results/marine_setup_metadata_truth_upgrade_rules.tsv	release_rule_passes_threshold
diagnostic_partial_setup_unique_source_name_summary	min_mapped_pct_bacteria_archaea=94.809534;ready_samples=9/10	results/marine_setup_metadata_truth_upgrade_rules.tsv	diagnostic_not_release_rule
strict_all_setup_sources_unique_rescues	rescued_rows=83;rescued_mass_pct_all=4.583400	results/marine_setup_metadata_truth_upgrade_rescues.tsv	rescues_recorded_for_rule
strict_assembly_summary_sources_unique_rescues	rescued_rows=175;rescued_mass_pct_all=10.237800	results/marine_setup_metadata_truth_upgrade_rescues.tsv	rescues_recorded_for_rule
strict_source_name_or_assembly_sources_unique_rescues	rescued_rows=186;rescued_mass_pct_all=11.537300	results/marine_setup_metadata_truth_upgrade_rescues.tsv	rescues_recorded_for_rule
diagnostic_partial_setup_unique_source_name_rescues	rescued_rows=93;rescued_mass_pct_all=10.019100	results/marine_setup_metadata_truth_upgrade_rescues.tsv	rescues_recorded_for_rule
promotion_decision	strict_setup_source_or_assembly_rule_clears_threshold_profiles_needed	results/marine_setup_metadata_truth_upgrade_audit.tsv	truth_mapping_threshold_cleared_but_profiles_need_same_namespace_rescore
