sample	ncbi_species_taxid	truth_name	abundance_pct_all	candidate_gtdb_species	setup_genome_count	setup_exact_unique_genomes	setup_ambiguous_exact_genomes	setup_unmatched_genomes	setup_exact_unique_gtdb_species_count	setup_assembly_unique_genomes	setup_assembly_ambiguous_genomes	setup_assembly_unmatched_genomes	setup_assembly_unique_gtdb_species_count	setup_combined_unique_genomes	setup_combined_ambiguous_genomes	setup_combined_unmatched_genomes	setup_combined_unique_gtdb_species_count	rule_id
0	1063	Rhodobacter sphaeroides	0.0455	s__Cereibacter_A sphaeroides	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
0	1063	Rhodobacter sphaeroides	0.0455	s__Cereibacter_A sphaeroides	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
0	1263979	Candidatus Endolissoclinum faulkneri	1.0368	s__Thalassobaculum faulkneri_A	2	1	0	1	1	1	0	1	1	1	0	1	1	diagnostic_partial_setup_unique_source_name
0	1427364	Candidatus Thioglobus singularis	0.0086	s__Pseudothioglobus singularis	2	0	0	2	0	2	0	0	1	2	0	0	1	strict_assembly_summary_sources_unique
0	1427364	Candidatus Thioglobus singularis	0.0086	s__Pseudothioglobus singularis	2	0	0	2	0	2	0	0	1	2	0	0	1	strict_source_name_or_assembly_sources_unique
0	1462	Geobacillus kaustophilus	0.0086	s__Geobacillus thermoleovorans	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
0	1462	Geobacillus kaustophilus	0.0086	s__Geobacillus thermoleovorans	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
0	1462	Geobacillus kaustophilus	0.0086	s__Geobacillus thermoleovorans	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
0	1462	Geobacillus kaustophilus	0.0086	s__Geobacillus thermoleovorans	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
0	1491	Clostridium botulinum	0.2158	s__Clostridium cagae	1	1	0	0	1	0	0	1	0	1	0	0	1	strict_all_setup_sources_unique
0	1491	Clostridium botulinum	0.2158	s__Clostridium cagae	1	1	0	0	1	0	0	1	0	1	0	0	1	strict_source_name_or_assembly_sources_unique
0	1491	Clostridium botulinum	0.2158	s__Clostridium cagae	1	1	0	0	1	0	0	1	0	1	0	0	1	diagnostic_partial_setup_unique_source_name
0	2743	Marinobacter hydrocarbonoclasticus	0.0183	s__Marinobacter nauticus	2	0	0	2	0	2	0	0	1	2	0	0	1	strict_assembly_summary_sources_unique
0	2743	Marinobacter hydrocarbonoclasticus	0.0183	s__Marinobacter nauticus	2	0	0	2	0	2	0	0	1	2	0	0	1	strict_source_name_or_assembly_sources_unique
0	28229	Colwellia psychrerythraea	0.0949	s__Colwellia psychrerythraea_A	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
0	28229	Colwellia psychrerythraea	0.0949	s__Colwellia psychrerythraea_A	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
