sample	rule_id	release_grade_allowed	description	extra_mapped_pct_all	mapped_pct_all	mapped_pct_bacteria_archaea	ready_at_95pct_bacteria_archaea	base_mapped_pct_bacteria_archaea
0	accepted_exact_binomial	true	unique NCBI taxid plus exact unique GTDB-binomial fallback	0.0	24.670400000000008	91.00580627549925	false	91.00580627549924
1	accepted_exact_binomial	true	unique NCBI taxid plus exact unique GTDB-binomial fallback	0.0	31.173600000000093	92.49448123620307	false	92.49448123620309
2	accepted_exact_binomial	true	unique NCBI taxid plus exact unique GTDB-binomial fallback	0.0	27.948400000000028	93.51544515231005	false	93.51544515231004
3	accepted_exact_binomial	true	unique NCBI taxid plus exact unique GTDB-binomial fallback	0.0	29.358499999999985	92.57326463558458	false	92.5732646355846
4	accepted_exact_binomial	true	unique NCBI taxid plus exact unique GTDB-binomial fallback	0.0	29.065600000000018	94.08809429008903	false	94.08809429008905
5	accepted_exact_binomial	true	unique NCBI taxid plus exact unique GTDB-binomial fallback	0.0	35.11040000000003	94.09570262773526	false	94.09570262773526
6	accepted_exact_binomial	true	unique NCBI taxid plus exact unique GTDB-binomial fallback	0.0	34.039799999999985	94.52532954933586	false	94.52532954933586
7	accepted_exact_binomial	true	unique NCBI taxid plus exact unique GTDB-binomial fallback	0.0	29.35110000000002	93.16922197885916	false	93.16922197885916
8	accepted_exact_binomial	true	unique NCBI taxid plus exact unique GTDB-binomial fallback	0.0	29.07099999999997	93.73357623047279	false	93.7335762304728
9	accepted_exact_binomial	true	unique NCBI taxid plus exact unique GTDB-binomial fallback	0.0	30.422100000000064	92.24492642443688	false	92.24492642443688
0	strict_all_setup_sources_unique	true	every setup source under the unresolved NCBI species row has an exact unique GTDB source-name match and all agree	0.5523	25.222700000000007	93.04316711301945	false	91.00580627549924
1	strict_all_setup_sources_unique	true	every setup source under the unresolved NCBI species row has an exact unique GTDB source-name match and all agree	0.633	31.806600000000092	94.3726411735384	false	92.49448123620309
2	strict_all_setup_sources_unique	true	every setup source under the unresolved NCBI species row has an exact unique GTDB source-name match and all agree	0.4918	28.44020000000003	95.16100969002619	true	93.51544515231004
3	strict_all_setup_sources_unique	true	every setup source under the unresolved NCBI species row has an exact unique GTDB source-name match and all agree	0.5511	29.909599999999987	94.3109939521597	false	92.5732646355846
4	strict_all_setup_sources_unique	true	every setup source under the unresolved NCBI species row has an exact unique GTDB source-name match and all agree	0.3548	29.42040000000002	95.23661542346056	true	94.08809429008905
5	strict_all_setup_sources_unique	true	every setup source under the unresolved NCBI species row has an exact unique GTDB source-name match and all agree	0.30510000000000004	35.41550000000003	94.91336915593551	false	94.09570262773526
6	strict_all_setup_sources_unique	true	every setup source under the unresolved NCBI species row has an exact unique GTDB source-name match and all agree	0.2495	34.28929999999998	95.21816763071588	true	94.52532954933586
7	strict_all_setup_sources_unique	true	every setup source under the unresolved NCBI species row has an exact unique GTDB source-name match and all agree	0.5224	29.87350000000002	94.8274767482462	false	93.16922197885916
8	strict_all_setup_sources_unique	true	every setup source under the unresolved NCBI species row has an exact unique GTDB source-name match and all agree	0.47450000000000003	29.54549999999997	95.26350577955468	true	93.7335762304728
9	strict_all_setup_sources_unique	true	every setup source under the unresolved NCBI species row has an exact unique GTDB source-name match and all agree	0.4489	30.871000000000063	93.60606676228106	false	92.24492642443688
0	strict_assembly_summary_sources_unique	true	every setup source under the unresolved NCBI species row has a unique local RefSeq assembly-summary match to one GTDB species and all agree	0.8059000000000001	25.47630000000001	93.9786635975299	false	91.00580627549924
1	strict_assembly_summary_sources_unique	true	every setup source under the unresolved NCBI species row has a unique local RefSeq assembly-summary match to one GTDB species and all agree	1.304	32.477600000000095	96.36355004866003	true	92.49448123620309
2	strict_assembly_summary_sources_unique	true	every setup source under the unresolved NCBI species row has a unique local RefSeq assembly-summary match to one GTDB species and all agree	0.7623	28.710700000000028	96.06610364580541	true	93.51544515231004
3	strict_assembly_summary_sources_unique	true	every setup source under the unresolved NCBI species row has a unique local RefSeq assembly-summary match to one GTDB species and all agree	1.0386	30.397099999999984	95.84817965680561	true	92.5732646355846
4	strict_assembly_summary_sources_unique	true	every setup source under the unresolved NCBI species row has a unique local RefSeq assembly-summary match to one GTDB species and all agree	0.8108	29.876400000000018	96.71273052159309	true	94.08809429008905
5	strict_assembly_summary_sources_unique	true	every setup source under the unresolved NCBI species row has a unique local RefSeq assembly-summary match to one GTDB species and all agree	1.222	36.33240000000003	97.37065673281788	true	94.09570262773526
6	strict_assembly_summary_sources_unique	true	every setup source under the unresolved NCBI species row has a unique local RefSeq assembly-summary match to one GTDB species and all agree	0.9031	34.94289999999999	97.0331534823791	true	94.52532954933586
7	strict_assembly_summary_sources_unique	true	every setup source under the unresolved NCBI species row has a unique local RefSeq assembly-summary match to one GTDB species and all agree	0.9714	30.32250000000002	96.25273783449194	true	93.16922197885916
8	strict_assembly_summary_sources_unique	true	every setup source under the unresolved NCBI species row has a unique local RefSeq assembly-summary match to one GTDB species and all agree	0.7753	29.84629999999997	96.23337471182829	true	93.7335762304728
9	strict_assembly_summary_sources_unique	true	every setup source under the unresolved NCBI species row has a unique local RefSeq assembly-summary match to one GTDB species and all agree	1.6444	32.06650000000006	97.2310239329042	true	92.24492642443688
0	strict_source_name_or_assembly_sources_unique	true	every setup source under the unresolved NCBI species row has a unique exact source-name or local RefSeq assembly-summary GTDB match and all agree	1.0907	25.761100000000006	95.02925270947222	true	91.00580627549924
1	strict_source_name_or_assembly_sources_unique	true	every setup source under the unresolved NCBI species row has a unique exact source-name or local RefSeq assembly-summary GTDB match and all agree	1.3818	32.55540000000009	96.59438866339097	true	92.49448123620309
2	strict_source_name_or_assembly_sources_unique	true	every setup source under the unresolved NCBI species row has a unique exact source-name or local RefSeq assembly-summary GTDB match and all agree	0.9399	28.88830000000003	96.66035387333366	true	93.51544515231004
3	strict_source_name_or_assembly_sources_unique	true	every setup source under the unresolved NCBI species row has a unique exact source-name or local RefSeq assembly-summary GTDB match and all agree	1.2338	30.592299999999984	96.46368457895308	true	92.5732646355846
4	strict_source_name_or_assembly_sources_unique	true	every setup source under the unresolved NCBI species row has a unique exact source-name or local RefSeq assembly-summary GTDB match and all agree	0.9738	30.03940000000002	97.2403769272852	true	94.08809429008905
5	strict_source_name_or_assembly_sources_unique	true	every setup source under the unresolved NCBI species row has a unique exact source-name or local RefSeq assembly-summary GTDB match and all agree	1.2987	36.409100000000024	97.57621236281773	true	94.09570262773526
6	strict_source_name_or_assembly_sources_unique	true	every setup source under the unresolved NCBI species row has a unique exact source-name or local RefSeq assembly-summary GTDB match and all agree	0.9704	35.01019999999998	97.22003926545274	true	94.52532954933586
7	strict_source_name_or_assembly_sources_unique	true	every setup source under the unresolved NCBI species row has a unique exact source-name or local RefSeq assembly-summary GTDB match and all agree	1.078	30.42910000000002	96.59111830619307	true	93.16922197885916
8	strict_source_name_or_assembly_sources_unique	true	every setup source under the unresolved NCBI species row has a unique exact source-name or local RefSeq assembly-summary GTDB match and all agree	0.8651	29.936099999999968	96.52291670025306	true	93.7335762304728
9	strict_source_name_or_assembly_sources_unique	true	every setup source under the unresolved NCBI species row has a unique exact source-name or local RefSeq assembly-summary GTDB match and all agree	1.7051	32.127200000000066	97.41507654708809	true	92.24492642443688
0	diagnostic_partial_setup_unique_source_name	false	at least one setup source name has an exact unique GTDB match and all exact matches agree, but other setup sources may be unmatched	1.5891	26.259500000000006	96.86778365537131	true	91.00580627549924
1	diagnostic_partial_setup_unique_source_name	false	at least one setup source name has an exact unique GTDB match and all exact matches agree, but other setup sources may be unmatched	1.2257	32.399300000000096	96.13122789527401	true	92.49448123620309
2	diagnostic_partial_setup_unique_source_name	false	at least one setup source name has an exact unique GTDB match and all exact matches agree, but other setup sources may be unmatched	1.039	28.98740000000003	96.99194282349158	true	93.51544515231004
3	diagnostic_partial_setup_unique_source_name	false	at least one setup source name has an exact unique GTDB match and all exact matches agree, but other setup sources may be unmatched	1.1336	30.492099999999986	96.14773379412125	true	92.5732646355846
