sample	gtdb_species	abundance_pct_all	source_taxids	truth_names	truth_transfer_rules	truth_abundance
3	s__Aciduliprofundum boonei	0.0049	379547	Aciduliprofundum boonei	unique_taxid	0.00016017102342746377
3	s__Aciduliprofundum sp000327505	0.039	673860	Aciduliprofundum sp. MAR08-339	unique_taxid	0.0012748305946267524
3	s__Acinetobacter johnsonii	0.0049	40214	Acinetobacter johnsonii	unique_gtdb_binomial	0.00016017102342746377
3	s__Acinetobacter venetianus	0.039	52133	Acinetobacter venetianus	unique_taxid	0.0012748305946267524
3	s__Actinoalloteichus_A fjordicus	0.0488	1612552	Actinoalloteichus sp. ADI127-7	unique_taxid	0.00159517264148168
3	s__Aegicerativicinus sp900104375	0.0146	1250295	Flavobacteriaceae bacterium MAR_2010_188	unique_taxid	0.00047724427388591247
3	s__Aeromonas salmonicida	0.1073	645	Aeromonas salmonicida	unique_taxid	0.003507418533421809
3	s__Aeropyrum camini	0.0683	229980	Aeropyrum camini	unique_taxid	0.0022325879387950563
3	s__Aeropyrum pernix	0.0049	56636	Aeropyrum pernix	unique_taxid	0.00016017102342746377
3	s__Agarivorans gilvus	0.0488	680279	Agarivorans gilvus	unique_taxid	0.00159517264148168
3	s__Agrococcus jejuensis	0.0146	399736	Agrococcus jejuensis	unique_gtdb_binomial	0.00047724427388591247
3	s__Alcanivorax borkumensis	0.0098	59754	Alcanivorax borkumensis	unique_taxid	0.00032034204685492753
3	s__Aliivibrio fischeri	0.0098	668	Aliivibrio fischeri	unique_gtdb_binomial	0.00032034204685492753
3	s__Aliivibrio salmonicida	0.7807	40269	Aliivibrio salmonicida	unique_taxid	0.0255194934673104
3	s__Aliivibrio wodanis	0.3903	80852	Aliivibrio wodanis	unique_taxid	0.01275811233545696
3	s__Alloalcanivorax dieselolei	0.0098	285091	Alcanivorax dieselolei	unique_taxid	0.00032034204685492753
3	s__Alteraurantiacibacter gangjinensis	0.0146	502682	Erythrobacter gangjinensis	unique_taxid	0.00047724427388591247
3	s__Alteriqipengyuania bathyomarina	0.0049	1634516	Citromicrobium sp. JL477	unique_taxid	0.00016017102342746377
3	s__Alteromonas australica	0.0244	589873	Alteromonas australica	unique_taxid	0.00079758632074084
