sample	genome_id	taxid	truth_name	transfer_method	source_sequence_id	source_sequence_id_class	sampled_read_rows	taxid_gtdb_species_count	truth_abundance_pct_all
3	Otu24.0	467094	Ilumatobacter coccineus	ambiguous_taxid	AP012057.1	other	15478	2	0.2049
3	Otu64.0	2296	Desulfobacterium autotrophicum	ambiguous_taxid	CP001087.1	other	14710	2	0.1659
3	Otu1337	1491	Clostridium botulinum	ambiguous_taxid	CP006903.1	other	11816	13	0.1952
3	Otu47.0	1263979	Candidatus Endolissoclinum faulkneri	ambiguous_taxid	CP006745.1	other	9130	2	0.5825
3	Otu219.0	73141	Thiocystis violascens	ambiguous_taxid	CP003154.1	other	6992	2	0.0878
3	Otu185.0	28229	Colwellia psychrerythraea	ambiguous_taxid	CP000083.1	other	6872	4	0.0829
3	Otu40.0	1263979	Candidatus Endolissoclinum faulkneri	ambiguous_taxid	CP003539.1	other	4606	2	0.5825
3	Otu1000	324767	Bacillus infantis	ambiguous_taxid	CP006643.1	other	3632	5	0.0488
3	Otu238.0	1250153	Maribacter sp. MAR_2009_60	unmapped	LT629754.1	other	3146	0	0.0439
3	Otu203	316	Pseudomonas stutzeri	ambiguous_taxid	CP007511.1	other	3084	51	0.0586
3	Otu457.0	111501	Muricauda ruestringensis	ambiguous_taxid	CP002999.1	other	2874	2	0.0488
3	Otu1200.0	400668	Marinomonas sp. MWYL1	unmapped	CP000749.1	other	2812	0	0.0342
3	Otu212.0	89184	Ruegeria pomeroyi	ambiguous_taxid	CP000031.2	other	2498	2	0.039
3	Otu252	316279	Synechococcus sp. CC9902	ambiguous_taxid	CP000097.1	other	2342	2	0.0683
3	Otu987	1155739	Moorea producens	ambiguous_taxid	NZ_CP017708.1	other	2106	2	0.0146
3	Otu183.1	2743	Marinobacter hydrocarbonoclasticus	ambiguous_taxid	CP000514.1	other	1674	4	0.0298
3	Otu909	543877	Altererythrobacter marensis	ambiguous_taxid	NZ_CP011805.1	other	1562	3	0.0342
3	Otu465	713887	Candidatus Atelocyanobacterium thalassa	ambiguous_taxid	CP001842.1	other	1560	3	0.0683
3	Otu583	1219	Prochlorococcus marinus	ambiguous_taxid	CP000552.1	other	1520	55	0.2732
3	Otu169.1	1336795	Formosa sp. Hel3_A1_48	ambiguous_taxid	NZ_CP017259.1	other	1512	2	0.0486
3	Otu492	1219	Prochlorococcus marinus	ambiguous_taxid	CP000576.1	other	1134	55	0.2732
3	Otu174	1219	Prochlorococcus marinus	ambiguous_taxid	NZ_GL947595.1	other	1062	55	0.2732
3	Otu1191	1462	Geobacillus kaustophilus	ambiguous_taxid	BA000043.1	other	998	2	0.0195
3	Otu1704	1219	Prochlorococcus marinus	ambiguous_taxid	CP000878.1	other	940	55	0.2732
3	Otu293.0	154	Spirochaeta thermophila	ambiguous_taxid	CP002903.1	other	922	2	0.0244
3	Otu2019	1219	Prochlorococcus marinus	ambiguous_taxid	CP000554.1	other	840	55	0.2732
3	Otu1082	1219	Prochlorococcus marinus	ambiguous_taxid	CP000825.1	other	812	55	0.2732
3	Otu966	744985	alpha proteobacterium HIMB59	ambiguous_taxid	CP003801.1	other	804	2	0.0342
3	Otu1242	349106	Psychrobacter sp. PRwf-1	unmapped	CP000713.1	other	728	0	0.0146
3	Otu1673	316	Pseudomonas stutzeri	ambiguous_taxid	NZ_CP007509.1	other	710	51	0.0586
3	Otu1548.1	1063	Rhodobacter sphaeroides	ambiguous_taxid	NZ_CP015210.1	other	630	6	0.0129
3	Otu767	1427364	Candidatus Thioglobus singularis	ambiguous_taxid	NZ_CP006911.1	other	564	3	0.0244
3	Otu997	582419	Thermococcus paralvinellae	ambiguous_taxid	CP006965.1	other	550	2	0.0195
3	Otu1389.0	1833	Rhodococcus erythropolis	ambiguous_taxid	AP008957.1	other	492	5	0.0049
3	Otu2016.0	1885919	Brucella sp. 141012304	unmapped	NZ_LT605585.1	other	468	0	0.0146
3	Otu1501	316	Pseudomonas stutzeri	ambiguous_taxid	NZ_CP015641.1	other	382	51	0.0586
3	Otu660	1219	Prochlorococcus marinus	ambiguous_taxid	BX548175.1	other	364	55	0.2732
3	Otu2016.0	1885919	Brucella sp. 141012304	unmapped	NZ_LT605586.1	other	314	0	0.0146
3	Otu1536	1219	Prochlorococcus marinus	ambiguous_taxid	CP000553.1	other	294	55	0.2732
3	Otu212.0	89184	Ruegeria pomeroyi	ambiguous_taxid	CP000032.1	other	286	2	0.039
3	Otu2156	1219	Prochlorococcus marinus	ambiguous_taxid	BX548174.1	other	280	55	0.2732
3	Otu1139	1547445	Francisella sp. FSC1006	unmapped	CP009574.1	other	272	0	0.0098
3	Otu801.1	2743	Marinobacter hydrocarbonoclasticus	ambiguous_taxid	FO203363.1	other	244	4	0.0298
3	Otu862.0	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NZ_CP013671.1	other	220	2	0.0315
3	Otu64.0	2296	Desulfobacterium autotrophicum	ambiguous_taxid	CP001088.1	other	186	2	0.1659
3	Otu1548.1	1063	Rhodobacter sphaeroides	ambiguous_taxid	NZ_CP015211.1	other	182	6	0.0129
3	Otu1634	1219	Prochlorococcus marinus	ambiguous_taxid	CP000095.2	other	156	55	0.2732
3	Otu511	1219	Prochlorococcus marinus	ambiguous_taxid	AE017126.1	other	150	55	0.2732
3	Otu1374	1427364	Candidatus Thioglobus singularis	ambiguous_taxid	NZ_CP008725.1	other	136	3	0.0244
3	Otu805	294	Pseudomonas fluorescens	ambiguous_taxid	NODE_1_length_962030_cov_73.229633	assembly_contig_label	120	124	0.0098
3	Otu1682	1219	Prochlorococcus marinus	ambiguous_taxid	CP000551.1	other	108	55	0.2732
3	Otu1337	1491	Clostridium botulinum	ambiguous_taxid	CP006904.1	other	106	13	0.1952
3	Otu805	294	Pseudomonas fluorescens	ambiguous_taxid	NODE_2_length_581975_cov_71.138082	assembly_contig_label	100	124	0.0098
3	Otu183.1	2743	Marinobacter hydrocarbonoclasticus	ambiguous_taxid	CP000515.1	other	98	4	0.0298
3	Otu183.1	2743	Marinobacter hydrocarbonoclasticus	ambiguous_taxid	CP000516.1	other	92	4	0.0298
3	Otu1108.1	198252	Candidatus Pelagibacter ubique	ambiguous_taxid	CP000084.1	other	80	21	0.0047
3	Otu805	294	Pseudomonas fluorescens	ambiguous_taxid	NODE_4_length_365366_cov_71.959109	assembly_contig_label	70	124	0.0098
3	Otu805	294	Pseudomonas fluorescens	ambiguous_taxid	NODE_3_length_461570_cov_68.345945	assembly_contig_label	68	124	0.0098
3	Otu805	294	Pseudomonas fluorescens	ambiguous_taxid	NODE_6_length_304206_cov_65.441356	assembly_contig_label	62	124	0.0098
3	Otu805	294	Pseudomonas fluorescens	ambiguous_taxid	NODE_5_length_338678_cov_70.874087	assembly_contig_label	56	124	0.0098
3	Otu805	294	Pseudomonas fluorescens	ambiguous_taxid	NODE_8_length_259034_cov_71.734136	assembly_contig_label	40	124	0.0098
3	Otu805	294	Pseudomonas fluorescens	ambiguous_taxid	NODE_7_length_294693_cov_70.516024	assembly_contig_label	36	124	0.0098
3	Otu447.0	1336794	Formosa sp. Hel1_33_131	ambiguous_taxid	NZ_CP017260.1	other	36	2	0.001
3	Otu1062.0	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_1_length_161859_cov_107.833898	assembly_contig_label	36	2	0.0315
3	Otu1062.0	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_9_length_77130_cov_96.796307	assembly_contig_label	34	2	0.0315
3	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_1_length_171587_cov_117.312621	assembly_contig_label	32	2	0.0315
3	Otu1062.0	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_2_length_131799_cov_101.930350	assembly_contig_label	30	2	0.0315
3	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_2_length_170203_cov_135.356893	assembly_contig_label	30	2	0.0315
3	Otu1548.1	1063	Rhodobacter sphaeroides	ambiguous_taxid	NZ_CP015215.1	other	30	6	0.0129
3	Otu805	294	Pseudomonas fluorescens	ambiguous_taxid	NODE_9_length_188306_cov_77.732276	assembly_contig_label	30	124	0.0098
3	Otu805	294	Pseudomonas fluorescens	ambiguous_taxid	NODE_15_length_135119_cov_66.639134	assembly_contig_label	28	124	0.0098
3	Otu1062.0	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_5_length_105786_cov_95.966884	assembly_contig_label	28	2	0.0315
3	Otu1389.0	1833	Rhodococcus erythropolis	ambiguous_taxid	AP008931.1	other	28	5	0.0049
3	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_5_length_92643_cov_113.590990	assembly_contig_label	26	2	0.0315
3	Otu805	294	Pseudomonas fluorescens	ambiguous_taxid	NODE_12_length_160876_cov_73.138620	assembly_contig_label	26	124	0.0098
3	Otu805	294	Pseudomonas fluorescens	ambiguous_taxid	NODE_14_length_143843_cov_71.384369	assembly_contig_label	24	124	0.0098
3	Otu1062.0	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_6_length_99144_cov_120.235507	assembly_contig_label	24	2	0.0315
3	Otu805	294	Pseudomonas fluorescens	ambiguous_taxid	NODE_11_length_178318_cov_75.658653	assembly_contig_label	24	124	0.0098
3	Otu1548.1	1063	Rhodobacter sphaeroides	ambiguous_taxid	NZ_CP015213.1	other	24	6	0.0129
