sample	ncbi_species_taxid	truth_name	abundance_pct_all	candidate_gtdb_species	candidate_count_for_taxid	matched_epithet	rule_id
0	713887	Candidatus Atelocyanobacterium thalassa	0.0777	s__Atelocyanobacterium thalassa_A	3	thalassa	diagnostic_unique_ambiguous_epithet
1	1833	Rhodococcus erythropolis	0.013	s__Rhodococcus_F erythropolis	5	erythropolis	diagnostic_unique_ambiguous_epithet
1	2296	Desulfobacterium autotrophicum	0.1556	s__Desulforapulum autotrophicum	2	autotrophicum	diagnostic_unique_ambiguous_epithet
1	669041	Tenacibaculum dicentrarchi	0.0365	s__Polaribacter dicentrarchi	2	dicentrarchi	diagnostic_unique_ambiguous_epithet
1	713887	Candidatus Atelocyanobacterium thalassa	0.0389	s__Atelocyanobacterium thalassa_A	3	thalassa	diagnostic_unique_ambiguous_epithet
1	89184	Ruegeria pomeroyi	0.0648	s__Ruegeria_B pomeroyi	2	pomeroyi	diagnostic_unique_ambiguous_epithet
2	1833	Rhodococcus erythropolis	0.0273	s__Rhodococcus_F erythropolis	5	erythropolis	diagnostic_unique_ambiguous_epithet
2	2296	Desulfobacterium autotrophicum	0.0273	s__Desulforapulum autotrophicum	2	autotrophicum	diagnostic_unique_ambiguous_epithet
2	713887	Candidatus Atelocyanobacterium thalassa	0.0137	s__Atelocyanobacterium thalassa_A	3	thalassa	diagnostic_unique_ambiguous_epithet
2	89184	Ruegeria pomeroyi	0.0273	s__Ruegeria_B pomeroyi	2	pomeroyi	diagnostic_unique_ambiguous_epithet
3	111501	Muricauda ruestringensis	0.0488	s__Flagellimonas ruestringensis	2	ruestringensis	diagnostic_unique_ambiguous_epithet
3	1833	Rhodococcus erythropolis	0.0049	s__Rhodococcus_F erythropolis	5	erythropolis	diagnostic_unique_ambiguous_epithet
3	2296	Desulfobacterium autotrophicum	0.1659	s__Desulforapulum autotrophicum	2	autotrophicum	diagnostic_unique_ambiguous_epithet
3	669041	Tenacibaculum dicentrarchi	0.0315	s__Polaribacter dicentrarchi	2	dicentrarchi	diagnostic_unique_ambiguous_epithet
3	713887	Candidatus Atelocyanobacterium thalassa	0.0683	s__Atelocyanobacterium thalassa_A	3	thalassa	diagnostic_unique_ambiguous_epithet
3	89184	Ruegeria pomeroyi	0.039	s__Ruegeria_B pomeroyi	2	pomeroyi	diagnostic_unique_ambiguous_epithet
4	111501	Muricauda ruestringensis	0.0384	s__Flagellimonas ruestringensis	2	ruestringensis	diagnostic_unique_ambiguous_epithet
4	1833	Rhodococcus erythropolis	0.0192	s__Rhodococcus_F erythropolis	5	erythropolis	diagnostic_unique_ambiguous_epithet
4	2296	Desulfobacterium autotrophicum	0.0288	s__Desulforapulum autotrophicum	2	autotrophicum	diagnostic_unique_ambiguous_epithet
4	669041	Tenacibaculum dicentrarchi	0.0078	s__Polaribacter dicentrarchi	2	dicentrarchi	diagnostic_unique_ambiguous_epithet
4	713887	Candidatus Atelocyanobacterium thalassa	0.0479	s__Atelocyanobacterium thalassa_A	3	thalassa	diagnostic_unique_ambiguous_epithet
4	89184	Ruegeria pomeroyi	0.0384	s__Ruegeria_B pomeroyi	2	pomeroyi	diagnostic_unique_ambiguous_epithet
5	111501	Muricauda ruestringensis	0.0341	s__Flagellimonas ruestringensis	2	ruestringensis	diagnostic_unique_ambiguous_epithet
5	1833	Rhodococcus erythropolis	0.0085	s__Rhodococcus_F erythropolis	5	erythropolis	diagnostic_unique_ambiguous_epithet
5	2296	Desulfobacterium autotrophicum	0.4175	s__Desulforapulum autotrophicum	2	autotrophicum	diagnostic_unique_ambiguous_epithet
5	669041	Tenacibaculum dicentrarchi	0.0573	s__Polaribacter dicentrarchi	2	dicentrarchi	diagnostic_unique_ambiguous_epithet
5	713887	Candidatus Atelocyanobacterium thalassa	0.0085	s__Atelocyanobacterium thalassa_A	3	thalassa	diagnostic_unique_ambiguous_epithet
5	89184	Ruegeria pomeroyi	0.017	s__Ruegeria_B pomeroyi	2	pomeroyi	diagnostic_unique_ambiguous_epithet
6	111501	Muricauda ruestringensis	0.0384	s__Flagellimonas ruestringensis	2	ruestringensis	diagnostic_unique_ambiguous_epithet
6	2296	Desulfobacterium autotrophicum	0.221	s__Desulforapulum autotrophicum	2	autotrophicum	diagnostic_unique_ambiguous_epithet
6	669041	Tenacibaculum dicentrarchi	0.0995	s__Polaribacter dicentrarchi	2	dicentrarchi	diagnostic_unique_ambiguous_epithet
6	713887	Candidatus Atelocyanobacterium thalassa	0.0096	s__Atelocyanobacterium thalassa_A	3	thalassa	diagnostic_unique_ambiguous_epithet
6	89184	Ruegeria pomeroyi	0.0288	s__Ruegeria_B pomeroyi	2	pomeroyi	diagnostic_unique_ambiguous_epithet
7	111501	Muricauda ruestringensis	0.0213	s__Flagellimonas ruestringensis	2	ruestringensis	diagnostic_unique_ambiguous_epithet
7	1833	Rhodococcus erythropolis	0.0107	s__Rhodococcus_F erythropolis	5	erythropolis	diagnostic_unique_ambiguous_epithet
7	2296	Desulfobacterium autotrophicum	0.1385	s__Desulforapulum autotrophicum	2	autotrophicum	diagnostic_unique_ambiguous_epithet
7	669041	Tenacibaculum dicentrarchi	0.0949	s__Polaribacter dicentrarchi	2	dicentrarchi	diagnostic_unique_ambiguous_epithet
7	713887	Candidatus Atelocyanobacterium thalassa	0.0107	s__Atelocyanobacterium thalassa_A	3	thalassa	diagnostic_unique_ambiguous_epithet
7	89184	Ruegeria pomeroyi	0.0746	s__Ruegeria_B pomeroyi	2	pomeroyi	diagnostic_unique_ambiguous_epithet
