panel	sample	gtdb_species	truth_abundance	truth_abundance_pct	high_truth_abundance	candidate_present	profile_path	candidate_called	candidate_probability	candidate_threshold	candidate_abundance	candidate_abundance_raw	candidate_best_XnY	candidate_best_breadth	candidate_best_real_min_af	candidate_best_depth	candidate_best_zip_af	candidate_best_zip_aaf_ani	mapping_method	taxid	species_name
cami2_toy_mouse_gut	5	s__Faecalibacterium prausnitzii	0.006839935053701758	0.6839935053701759	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.0131096690098995	0.35	0.0	2.661468836840016	537.0	0.175729	0.537	0.502818	0.188925	0.924254	species_name	s__Faecalibacterium prausnitzii	s__Faecalibacterium prausnitzii
cami2_toy_mouse_gut	5	s__Bacteroides thetaiotaomicron	0.0049965301873740415	0.49965301873740414	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.1201821967091633	0.35	0.0	2.009117328798887	594.0	0.280073	0.594	0.649849	0.32345	0.948695	species_name	s__Bacteroides thetaiotaomicron	s__Bacteroides thetaiotaomicron
cami2_toy_mouse_gut	5	s__Anaerostipes hadrus	0.002914642609301525	0.2914642609301525	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.2104741450742781	0.35	0.0	1.4334348683031717	507.0	0.285096	0.507	0.523533	0.38229	0.956292	species_name	s__Anaerostipes hadrus	s__Anaerostipes hadrus
cami2_toy_mouse_gut	5	s__Bacteroides ovatus	0.00235947258848212	0.235947258848212	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.2636546022648282	0.35	0.0	1.089710476256959	670.0	0.304239	0.67	0.499532	0.458408	0.964546	species_name	s__Bacteroides ovatus	s__Bacteroides ovatus
cami2_toy_mouse_gut	5	s__Prevotella oulorum	0.0009715475364338082	0.09715475364338082	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.2380177565185811	0.35	0.0	3.338127668225249	247.0	0.189774	0.247	0.65681	0.19676	0.926101	species_name	s__Prevotella oulorum	s__Prevotella oulorum
cami2_toy_mouse_gut	5	s__Faecalibacterium taiwanense	0.0009715475364338082	0.09715475364338082	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.1712234863598418	0.35	0.0	1.749943376568469	293.0	0.109436	0.293	0.231787	0.132454	0.908113	species_name	s__Faecalibacterium taiwanense	s__Faecalibacterium taiwanense
cami2_toy_mouse_gut	5	s__Eubacterium callanderi	0.0004163775156145035	0.04163775156145035	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.0139832869924054	0.35	0.0	2.563863509229909	191.0	0.132507	0.191	0.332489	0.148244	0.913232	species_name	s__Eubacterium callanderi	s__Eubacterium callanderi
cami2_toy_mouse_gut	5	s__Bacteroides hominis	0.00037801597271710315	0.03780159727171031	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.0215394016811485	0.35	0.0	2.232028965325164	223.0	0.128208	0.223	0.320564	0.14362	0.911792	species_name	s__Bacteroides hominis	s__Bacteroides hominis
cami2_toy_mouse_gut	5	s__Oscillibacter welbionis	0.0002775850104096024	0.02775850104096024	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.196860192695765	0.35	0.0	1.97910248674056	95.0	0.054271	0.095	0.124632	0.199394	0.926706	species_name	s__Oscillibacter welbionis	s__Oscillibacter welbionis
cami2_toy_mouse_gut	5	s__Blautia sp900120295	0.0002775850104096024	0.02775850104096024	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.3080768780349731	0.35	0.0	0.4363293580852269	121.0	0.089275	0.121	0.110164	0.252479	0.937435	species_name	s__Blautia sp900120295	s__Blautia sp900120295
