panel	sample	gtdb_species	truth_abundance	truth_abundance_pct	high_truth_abundance	candidate_present	profile_path	candidate_called	candidate_probability	candidate_threshold	candidate_abundance	candidate_abundance_raw	candidate_best_XnY	candidate_best_breadth	candidate_best_real_min_af	candidate_best_depth	candidate_best_zip_af	candidate_best_zip_aaf_ani	mapping_method	taxid	species_name
cami3_toy_human_gut_gtdb_source_readmap	1	s__Bacteroides sp947646015	0.15924624629214765	15.924624629214765	True	True	/tmp/cami3_toy_human_gut_20260626/run/sample1_universal_autoexact.tsv	False	0.0454671462075862	0.35	0.0	18.143636	797.0	0.391942	0.797	18.143636	1.0	1.0	best_raw_ref_taxid	162156	uncultured Bacteroides sp.
cami3_toy_human_gut_gtdb_source_readmap	1	s__Blautia_A faecis	0.11708666628492172	11.708666628492171	True	True	/tmp/cami3_toy_human_gut_20260626/run/sample1_universal_autoexact.tsv	False	0.2916310572268733	0.35	0.0	78.21818370744316	613.0	0.461941	0.613	36.132186	0.461941	0.964895	best_raw_ref_taxid	871665	Blautia faecis
hmp_gastrooral_gtdb_source_abundance	0	s__Clostridium_F botulinum	0.08611111111111212	8.611111111111212	True	False	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample0_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
cami3_toy_human_gut_gtdb_source_readmap	0	s__Blautia_A faecis	0.07006520905832832	7.006520905832832	True	True	/tmp/cami3_toy_human_gut_20260626/run/sample0_universal_autoexact.tsv	False	0.3065130357598778	0.35	0.0	47.99836490703706	602.0	0.45502	0.602	21.840216	0.45502	0.964208	best_raw_ref_taxid	871665	Blautia faecis
cami3_toy_human_gut_gtdb_source_readmap	0	s__Faecalibacterium taiwanense	0.07001106272164052	7.001106272164052	True	True	/tmp/cami3_toy_human_gut_20260626/run/sample0_universal_autoexact.tsv	False	0.2422328186121928	0.35	0.0	56.647865448024525	731.0	0.34574	0.731	19.585433	0.34574	0.951724	best_raw_ref_taxid	3030638	Faecalibacterium taiwanense
cami3_toy_human_gut_gtdb_source_readmap	2	s__Blautia_A fusiformis	0.06817498937318965	6.817498937318965	True	True	/tmp/cami3_toy_human_gut_20260626/run/sample2_universal_autoexact_tail_p025.tsv	False	0.1138787574495514	0.35	0.0	45.30589196656614	757.0	0.272897	0.757	12.363842	0.272897	0.94097	best_raw_ref_taxid	2881264	Blautia fusiformis
cami3_toy_human_gut_gtdb_source_readmap	0	s__Bacteroides sp947646015	0.05395369923404407	5.395369923404407	True	True	/tmp/cami3_toy_human_gut_20260626/run/sample0_universal_autoexact.tsv	False	0.031777948666301	0.35	0.0	7.440281	759.0	0.372802	0.759	7.440281	1.0	1.0	best_raw_ref_taxid	162156	uncultured Bacteroides sp.
hmp_airskin_gtdb_source_abundance	23	s__G047199095 sp047199095	0.05315529140332134	5.315529140332134	True	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/minco_sample23_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
hmp_airskin_gtdb_source_abundance	20	s__Streptococcus anginosus	0.037875707151379674	3.7875707151379676	True	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/minco_sample20_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
cami3_toy_human_gut_gtdb_source_readmap	1	s__Faecalibacterium taiwanense	0.030843114794825988	3.084311479482599	True	True	/tmp/cami3_toy_human_gut_20260626/run/sample1_universal_autoexact.tsv	False	0.3153957382662384	0.35	0.0	25.347498816153763	727.0	0.344217	0.727	8.72504	0.344217	0.951523	best_raw_ref_taxid	3030638	Faecalibacterium taiwanense
