genome_id	abundance	source_taxid	source_accession	source_basename	source_lookup_key	mapping_method	metadata_accession	metadata_domain	metadata_genbank_accession	ncbi_taxid_metadata	ncbi_species_taxid_metadata	ncbi_species_metadata	ncbi_organism_name_metadata	gtdb_species	gtdb_taxonomy	tar_path	local_path
197644.1	1.9885396076	29524	GCF_900167105.1	GCF_900167105.1_IMG-taxon_2582581320_annotated_assembly.fa	GCF_900167105.1	exact_accession	RS_GCF_900167105.1	bac120	GCA_900167105.1	29524	29524	Porphyromonas circumdentaria	Porphyromonas circumdentaria	s__Porphyromonas circumdentaria	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas circumdentaria	source_genomes/GCF_900167105.1_IMG-taxon_2582581320_annotated_assembly.fa	
197644.0	0.0114603924018	837	GCF_900157245.1	GCF_900157245.1_15-9.fa	GCF_900157245.1	exact_accession	RS_GCF_900157245.1	bac120	GCA_900157245.1	837	837	Porphyromonas gingivalis	Porphyromonas gingivalis	s__Porphyromonas gingivalis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	source_genomes/GCF_900157245.1_15-9.fa	
272953.0	2.0	1226322	GCF_000469425.1	GCF_000469425.1_ASM46942v1.fa	GCF_000469425.1	exact_accession	RS_GCF_000469425.1	bac120	GCA_000469425.1	1226322	1226322	Oscillibacter sp. KLE 1728	Oscillibacter sp. KLE 1728	s__Oscillibacter welbionis	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis	source_genomes/GCF_000469425.1_ASM46942v1.fa	
172640.0	0.595483105637	1855375	GCF_900106615.1	GCF_900106615.1_IMG-taxon_2651870364_annotated_assembly.fa	900106615.1	unique_assembly_core	GB_GCA_900106615.1	bac120	GCA_900106615.1	1855375	1855375	Lachnospiraceae bacterium KHCPX20	Lachnospiraceae bacterium KHCPX20	s__Weimeria sp900100095	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Weimeria;s__Weimeria sp900100095	source_genomes/GCF_900106615.1_IMG-taxon_2651870364_annotated_assembly.fa	
172640.1	4.40451689436	1121114	GCF_000373885.1	GCF_000373885.1_ASM37388v1.fa	GCF_000373885.1	exact_accession	RS_GCF_000373885.1	bac120	GCA_000373885.1	1121114	33035	Blautia producta	Blautia producta ATCC 27340 = DSM 2950	s__Blautia producta	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia producta	source_genomes/GCF_000373885.1_ASM37388v1.fa	
4476780.0	25.0	1780376	GCF_900021155.1	GCF_900021155.1_CHCKI003.fa	GCF_900021155.1	exact_accession	RS_GCF_900021155.1	bac120	GCA_900021155.1	1780376	1780376	Alistipes sp. CHKCI003	Alistipes sp. CHKCI003	s__Alistipes excrementavium	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes excrementavium	source_genomes/GCF_900021155.1_CHCKI003.fa	
denovo12305.0	1.0	1122988	GCF_000379965.1	GCF_000379965.1_ASM37996v1.fa	GCF_000379965.1	exact_accession	RS_GCF_000379965.1	bac120	GCA_000379965.1	1122988	425941	Hoylesella nanceiensis	Hoylesella nanceiensis DSM 19126 = JCM 15639	s__Prevotella nanceiensis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella nanceiensis	source_genomes/GCF_000379965.1_ASM37996v1.fa	
4474255.0	1.0	762966	GCF_000205025.1	GCF_000205025.1_ASM20502v1.fa	GCF_000205025.1	exact_accession	RS_GCF_000205025.1	bac120	GCA_000205025.1	762966	487175	Parasutterella excrementihominis	Parasutterella excrementihominis YIT 11859	s__Parasutterella excrementihominis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_F;g__Parasutterella;s__Parasutterella excrementihominis	source_genomes/GCF_000205025.1_ASM20502v1.fa	
4378740.0	1102.95282189	999422	GCF_000243015.1	GCF_000243015.1_Prev_macu_OT_289_V1.fa	GCF_000243015.1	exact_accession	RS_GCF_000243015.1	bac120	GCA_000243015.1	999422	439703	Segatella maculosa	Segatella maculosa OT 289	s__Prevotella maculosa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella maculosa	source_genomes/GCF_000243015.1_Prev_macu_OT_289_V1.fa	
4378740.1	357.047178108	873513	GCF_000184945.1	GCF_000184945.1_ASM18494v1.fa	GCF_000184945.1	exact_accession	RS_GCF_000184945.1	bac120	GCA_000184945.1	873513	28126	Segatella buccae	Segatella buccae ATCC 33574	s__Prevotella buccae	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella buccae	source_genomes/GCF_000184945.1_ASM18494v1.fa	
