gtdb_species	gtdb_taxonomy	source_genomes	total_abundance	relative_abundance	source_accessions	source_genome_ids	source_taxids	source_ncbi_species	mapping_methods
s__Hungatella hathewayi	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella hathewayi	1	1635.96897032	0.28196638578441613	GCF_000160095.1	318732.0	566550	Hungatella hathewayi	exact_accession
s__Prevotella maculosa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella maculosa	2	1467.4836147085	0.2529272000533541	GCF_000243015.1,GCF_000382385.1	4378740.0,denovo2819.0	999422,1122986	Segatella maculosa	exact_accession
s__Prevotella buccae	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella buccae	2	491.541494498	0.08471931997558692	GCF_000184945.1,GCF_000162455.1	4378740.1,denovo11206.0	873513,575611	Segatella buccae	exact_accession
s__Bilophila wadsworthia	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia	3	184.0	0.03171320234404223	GCF_000224655.1,GCF_000701705.1,GCF_000185705.2	denovo5877.0,1108599.0,denovo5602.0	693988,1408428,563192	Bilophila sp. 4_1_30,Bilophila wadsworthia	exact_accession
s__Porphyromonas_A sp001808555	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A sp001808555	1	121.0	0.02085487762841907	GCF_001808555.1	174573.0	1739394	Porphyromonas sp. HMSC065F10	exact_accession
s__Bacteroides fragilis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	5	118.996997421469	0.02050965139978542	GCF_001056335.1,GCF_000297735.1,GCF_000009925.1,GCF_000273155.1,GCF_001682215.1	4340358.0,332732.1,181719.0,denovo2179.0,304047.0	817,1073387,295405,997883	Bacteroides fragilis	exact_accession
s__Culturomica lanea	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Culturomica;s__Culturomica lanea	1	117.0	0.020165460186157284	GCF_000243215.1	835900.0	742817	Odoribacter laneus	exact_accession
s__Porphyromonas gingivalis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	12	106.93793788034989	0.018431219903555184	GCF_900157245.1,GCF_900157255.1,GCF_002754115.1,GCF_002206085.1,GCF_000467795.1,GCF_900157265.1,GCF_002204455.1,GCF_002754035.1,GCF_001274615.1,GCF_000739415.1,GCF_002753955.1,GCF_900157345.1	197644.0,339549.0,192316.1,179464.1,175706.0,175333.0,175712.0,228730.0,228730.1,276629.0,258485.0,258485.1	837,1297564,1227269,1403336	Porphyromonas gingivalis	exact_accession
s__Secundilactobacillus pentosiphilus	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Secundilactobacillus;s__Secundilactobacillus pentosiphilus	1	88.0	0.015167183729759325	GCF_002217985.1	851733.0	1714682	Secundilactobacillus pentosiphilus	exact_accession
s__Faecalimonas sp000209385	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas sp000209385	1	74.0	0.012754222681843069	GCF_000209385.2	197875.0	742723	Lachnospiraceae bacterium 2_1_46FAA	unique_assembly_core
