sample	unique_path	split_path	metric_pair	available	unique_rows	split_rows	shared_refs	exact_matches	mismatches	mismatch_fraction	max_abs_diff	pearson	decision
hmp_airskin_sample11_block	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_unique_zip_unfiltered.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_split_zip_unfiltered.tsv	unique.XnY_ctx vs split.Raw_XnY_ctx	yes	72486	126135	72486	39802	32684	0.45090086	706	0.89934940	not_safe; requires real dual accumulator
hmp_airskin_sample11_block	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_unique_zip_unfiltered.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_split_zip_unfiltered.tsv	unique.XnY_ctx vs split.XnY_ctx	yes	72486	126135	72486	39802	32684	0.45090086	706	0.89934940	not_safe; requires real dual accumulator
hmp_airskin_sample11_block	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_unique_zip_unfiltered.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_split_zip_unfiltered.tsv	unique.ANI vs split.ANI	yes	72486	126135	72486	55690	16796	0.23171371	0.313989	0.77122684	not_safe; requires real dual accumulator
hmp_airskin_sample11_block	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_unique_zip_unfiltered.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_split_zip_unfiltered.tsv	unique.Real_min_align_fraction vs split.Real_min_align_fraction	yes	72486	126135	72486	39802	32684	0.45090086	0.706	0.89934940	not_safe; requires real dual accumulator
hmp_airskin_sample11_block	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_unique_zip_unfiltered.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_split_zip_unfiltered.tsv	unique.Ref_breadth vs split.Ref_breadth	yes	72486	126135	72486	39802	32684	0.45090086	0.217138	0.98631261	not_safe; requires real dual accumulator
hmp_airskin_sample11_block	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_unique_zip_unfiltered.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_split_zip_unfiltered.tsv	unique.Ref_mean_depth vs split.Ref_mean_depth	yes	72486	126135	72486	39147	33339	0.45993709	2.263157	0.98820100	not_safe; requires real dual accumulator
hmp_airskin_sample11_block	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_unique_zip_unfiltered.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_split_zip_unfiltered.tsv	unique.Ref_zip_af vs split.Ref_zip_af	yes	72486	126135	72486	55755	16731	0.23081699	0.999	0.65960148	not_safe; requires real dual accumulator
hmp_airskin_sample6_block	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_unique_zip_unfiltered.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_split_zip_unfiltered.tsv	unique.XnY_ctx vs split.Raw_XnY_ctx	yes	62505	98777	62505	43595	18910	0.30253580	737	0.88065224	not_safe; requires real dual accumulator
hmp_airskin_sample6_block	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_unique_zip_unfiltered.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_split_zip_unfiltered.tsv	unique.XnY_ctx vs split.XnY_ctx	yes	62505	98777	62505	43595	18910	0.30253580	737	0.88065224	not_safe; requires real dual accumulator
hmp_airskin_sample6_block	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_unique_zip_unfiltered.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_split_zip_unfiltered.tsv	unique.ANI vs split.ANI	yes	62505	98777	62505	51219	11286	0.18056156	0.313989	0.85161927	not_safe; requires real dual accumulator
hmp_airskin_sample6_block	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_unique_zip_unfiltered.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_split_zip_unfiltered.tsv	unique.Real_min_align_fraction vs split.Real_min_align_fraction	yes	62505	98777	62505	43595	18910	0.30253580	0.737	0.88065224	not_safe; requires real dual accumulator
hmp_airskin_sample6_block	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_unique_zip_unfiltered.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_split_zip_unfiltered.tsv	unique.Ref_breadth vs split.Ref_breadth	yes	62505	98777	62505	43595	18910	0.30253580	0.288059	0.97555665	not_safe; requires real dual accumulator
hmp_airskin_sample6_block	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_unique_zip_unfiltered.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_split_zip_unfiltered.tsv	unique.Ref_mean_depth vs split.Ref_mean_depth	yes	62505	98777	62505	42913	19592	0.31344692	1.721453	0.97532010	not_safe; requires real dual accumulator
hmp_airskin_sample6_block	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_unique_zip_unfiltered.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_split_zip_unfiltered.tsv	unique.Ref_zip_af vs split.Ref_zip_af	yes	62505	98777	62505	51301	11204	0.17924966	0.999	0.75340238	not_safe; requires real dual accumulator
toymouse_sample6_current	/tmp/cami2_toymouse_current_default_20260626/run/sample6/minco.best_diff_unique.unfiltered.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample6/minco.best_diff_split.unfiltered.tsv	all	no									input table missing; not scored
