sample	otu	genome	abundance	candidate_source	taxid	map_source	gtdb_species
3	Otu2.0	1419583.PRJNA227201	6315.0	filename_taxID	1419583	ncbi_taxid	s__Aquipseudomonas fluorescens_W
3	Otu7.0	1463864.PRJNA238534	2358.0	filename_taxID	1463864	ncbi_species_taxid	s__Streptomyces sp000719475
3	Otu1.0	1214242.PRJNA171216	823.0	filename_taxID	1214242	ncbi_taxid	s__Streptomyces collinus_A
3	Otu988.0	448385.PRJNA28111	431.0	filename_taxID	448385	ncbi_taxid	s__Sorangium cellulosum_B
3	LjRoot109	LjRoot109	374.6218575976508	camitax_taxID	358220	ncbi_species_taxid	s__Acidovorax sp000302535
3	Otu75.0	219305.PRJNA33595	337.0	filename_taxID	219305	ncbi_species_taxid	s__Micromonospora sp000158815
3	Otu45.0	323098.PRJNA13474	307.658544809	filename_taxID	323098	ncbi_taxid	s__Nitrobacter winogradskyi
3	Otu209.0	743713.PRJNA68653	245.0	filename_taxID	743713	ncbi_taxid	s__Aquipseudomonas fluorescens_H
3	LjRoot84	LjRoot84	237.73308569072205	camitax_taxID	1882774	ncbi_species_taxid	s__Variovorax sp900101545
3	Otu883.0	253839.PRJNA33601	136.0	filename_taxID	253839	ncbi_species_taxid	s__Streptomyces racemochromogenes
3	Otu78.0	208439.PRJNA251529	131.0	filename_taxID	208439	ncbi_species_taxid	s__Amycolatopsis japonica
3	Otu761.0	498211.PRJNA28329	123.0	filename_taxID	498211	ncbi_taxid	s__Cellvibrio japonicus
3	Otu118.0	LjRoot3	61.0	camitax_taxID	46914	ncbi_species_taxid	s__Devosia riboflavina
3	Otu96.0	3934_C	52.0	camitax_taxID	1736576	ncbi_species_taxid	s__Pseudoxanthomonas_A sp001427635
3	Otu14.0	3934_CK	50.0	camitax_taxID	1144338	ncbi_species_taxid	s__Aquipseudomonas sp000282495
3	Otu300.0	246197.PRJNA1421	45.0	filename_taxID	246197	ncbi_taxid	s__Myxococcus xanthus
3	Otu22.0	1107311.PRJNA221771	44.0	filename_taxID	1107311	ncbi_taxid	s__Flavobacterium enshiense
