sample	otu	genome	abundance	candidate_taxids
3	RNODE_416_length_1581_cov_3.82938	RNODE_416_length_1581_cov_3.82938	11249.86579871764	
3	RNODE_138_length_6510_cov_13.48012	RNODE_138_length_6510_cov_13.48012	5269.56952166505	
3	RNODE_217_length_2598_cov_4.83502	RNODE_217_length_2598_cov_4.83502	3598.6102715718803	
3	RNODE_325_length_1939_cov_27.67762	RNODE_325_length_1939_cov_27.67762	3211.452483263131	
3	Otu17.0	Chlamy6	2893.0	camitax_taxID:80864:family:Comamonadaceae
3	Otu18.1	LjRoot152	2513.99872111	camitax_taxID:286:genus:Pseudomonas
3	RNODE_124_length_1415_cov_2.71141	RNODE_124_length_1415_cov_2.71141	2362.6242582664763	
3	Otu1086.0	LjRoot183	1641.0	camitax_taxID:75682:family:Oxalobacteraceae
3	RNODE_375_length_2518_cov_4.10497	RNODE_375_length_2518_cov_4.10497	1349.9401252499601	
3	RNODE_548_length_4577_cov_9.61395	RNODE_548_length_4577_cov_9.61395	1280.0647960561084	
3	RNODE_76_length_3393_cov_4.30851	RNODE_76_length_3393_cov_4.30851	1278.9394570232205	
3	Otu3.0	3823_AA	782.0	camitax_taxID:384:species:Rhizobium leguminosarum
3	Otu34.0	3823_P	760.0	camitax_taxID:71433:species:Mesorhizobium amorphae
3	RNODE_577_length_7056_cov_38.11425	RNODE_577_length_7056_cov_38.11425	728.0326991983528	
3	RNODE_412_length_3243_cov_51.13691	RNODE_412_length_3243_cov_51.13691	603.9080944841039	
3	RNODE_296_length_1799_cov_6.54699	RNODE_296_length_1799_cov_6.54699	579.3862086111272	
3	RNODE_260_length_1690_cov_3.39508	RNODE_260_length_1690_cov_3.39508	551.5136939687542	
3	Otu126.0	3934_BP	524.0	camitax_taxID:12916:genus:Acidovorax
3	RNODE_347_length_5424_cov_5.89171	RNODE_347_length_5424_cov_5.89171	515.7878412749407	
3	RNODE_247_length_8256_cov_14.85123	RNODE_247_length_8256_cov_14.85123	501.47397313867316	
4	RNODE_325_length_1939_cov_27.67762	RNODE_325_length_1939_cov_27.67762	7939.535828124761	
4	RNODE_124_length_1415_cov_2.71141	RNODE_124_length_1415_cov_2.71141	3678.2032993394387	
4	RNODE_416_length_1581_cov_3.82938	RNODE_416_length_1581_cov_3.82938	2894.9729435286818	
4	RNODE_217_length_2598_cov_4.83502	RNODE_217_length_2598_cov_4.83502	2670.915145019585	
4	Otu1086.0	LjRoot183	2550.0	camitax_taxID:75682:family:Oxalobacteraceae
4	RNODE_138_length_6510_cov_13.48012	RNODE_138_length_6510_cov_13.48012	1947.6364439327135	
4	RNODE_76_length_3393_cov_4.30851	RNODE_76_length_3393_cov_4.30851	1815.1460116587782	
4	Otu18.1	LjRoot152	1780.78761929	camitax_taxID:286:genus:Pseudomonas
4	RNODE_548_length_4577_cov_9.61395	RNODE_548_length_4577_cov_9.61395	1403.3764020783756	
4	Otu17.0	Chlamy6	1237.0	camitax_taxID:80864:family:Comamonadaceae
4	RNODE_375_length_2518_cov_4.10497	RNODE_375_length_2518_cov_4.10497	1157.520078783105	
4	Otu34.0	3823_P	1099.0	camitax_taxID:71433:species:Mesorhizobium amorphae
4	RNODE_419_length_1879_cov_8.64082	RNODE_419_length_1879_cov_8.64082	848.0690935616965	
4	RNODE_130_length_2230_cov_8.22328	RNODE_130_length_2230_cov_8.22328	805.6814936850637	
4	Otu3.0	3823_AA	743.0	camitax_taxID:384:species:Rhizobium leguminosarum
4	Otu29.0	3823_I	529.0	camitax_taxID:13687:genus:Sphingomonas
4	RNODE_247_length_8256_cov_14.85123	RNODE_247_length_8256_cov_14.85123	517.6244529662105	
4	RNODE_347_length_5424_cov_5.89171	RNODE_347_length_5424_cov_5.89171	486.4083626004077	
4	RNODE_570_length_2044_cov_6.96707	RNODE_570_length_2044_cov_6.96707	481.1040816264772	
4	RNODE_86_length_2125_cov_11.11507	RNODE_86_length_2125_cov_11.11507	457.6594059639665	
5	RNODE_416_length_1581_cov_3.82938	RNODE_416_length_1581_cov_3.82938	3795.8751499342716	
5	RNODE_217_length_2598_cov_4.83502	RNODE_217_length_2598_cov_4.83502	1192.4496784865232	
5	RNODE_76_length_3393_cov_4.30851	RNODE_76_length_3393_cov_4.30851	912.4416860668019	
5	RNODE_124_length_1415_cov_2.71141	RNODE_124_length_1415_cov_2.71141	850.2510650488166	
5	Otu18.1	LjRoot152	766.49685171	camitax_taxID:286:genus:Pseudomonas
