method	mean_delta_F1	min_delta_F1	sample_worsen_n	sample_improve_n	mean_delta_L1_union_pp	mean_delta_Pearson_union	total_TP_delta	total_FP_delta	total_FN_delta	rescued_TP	rescued_FP	panel_worsen_n	panel_improve_n	min_panel_delta_pooled_F1	mean_panel_delta_pooled_F1	strict_pass
raw_ani0.93_xny650_breadth0.20	0.007354652291267974	0.0	0	23	0.0	1.5589372664419312e-05	54	11	-54	54	11	0	7	0.0016026480932349596	0.008034462994870175	True
raw_ani0.93_xny650_breadth0.05	0.007143235800781717	0.0	0	23	0.0	1.3331318484613505e-05	54	12	-54	54	12	0	7	0.0016026480932349596	0.007249533638512233	True
raw_ani0.93_xny650_breadth0.10	0.007143235800781717	0.0	0	23	0.0	1.3331318484613505e-05	54	12	-54	54	12	0	7	0.0016026480932349596	0.007249533638512233	True
raw_ani0.93_xny650_breadth0.30	0.004884283133058321	0.0	0	17	0.0	4.224245230016872e-06	44	8	-44	44	8	0	7	0.0016026480932349596	0.007029400874462989	True
raw_ani0.95_xny650_breadth0.05	0.0040879756295495945	0.0	0	14	0.0	3.967471298016187e-06	40	6	-40	40	6	0	7	0.0014181532380996842	0.006468937285133155	True
raw_ani0.95_xny650_breadth0.10	0.0040879756295495945	0.0	0	14	0.0	3.967471298016187e-06	40	6	-40	40	6	0	7	0.0014181532380996842	0.006468937285133155	True
raw_ani0.95_xny650_breadth0.20	0.0040879756295495945	0.0	0	14	0.0	3.967471298016187e-06	40	6	-40	40	6	0	7	0.0014181532380996842	0.006468937285133155	True
raw_ani0.95_xny650_breadth0.30	0.0040879756295495945	0.0	0	14	0.0	3.967471298016187e-06	40	6	-40	40	6	0	7	0.0014181532380996842	0.006468937285133155	True
raw_ani0.95_xny650_breadth0.20_depth2	0.003435560721720809	0.0	0	12	0.0	3.5786935662072553e-06	30	5	-30	30	5	0	7	0.0013188636206539206	0.004692412430349457	True
raw_ani0.95_xny650_breadth0.30_depth2	0.003435560721720809	0.0	0	12	0.0	3.5786935662072553e-06	30	5	-30	30	5	0	7	0.0013188636206539206	0.004692412430349457	True
raw_ani0.93_xny650_breadth0.20_depth2	0.006702292308703094	0.0	0	21	0.0	1.520059493261038e-05	44	10	-44	44	10	0	7	0.0002872134769401624	0.006258055430176213	True
raw_ani0.93_xny650_breadth0.30_depth2	0.004231868225229535	0.0	0	15	0.0	3.835467498207941e-06	34	7	-34	34	7	0	7	0.0002872134769401624	0.00525292360258884	True
raw_ani0.97_xny100_breadth0.20	0.0034377914448015614	0.0	0	6	0.0	1.669188736611361e-05	77	22	-77	77	22	0	3	0.0	0.007626929773348857	True
raw_ani0.97_xny250_breadth0.20	0.003202858248689437	0.0	0	6	0.0	1.6309672562895438e-05	71	21	-71	71	21	0	3	0.0	0.0071659206404614305	True
raw_ani0.97_xny100_breadth0.30	0.002851226243407568	0.0	0	6	0.0	1.0013226714721863e-05	57	13	-57	57	13	0	3	0.0	0.006416846241201947	True
raw_ani0.97_xny250_breadth0.30	0.002851226243407568	0.0	0	6	0.0	1.0013226714721863e-05	57	13	-57	57	13	0	3	0.0	0.006416846241201947	True
raw_ani0.93_xny100_breadth0.50	0.002076198183936541	0.0	0	6	0.0	3.042566762438918e-06	33	4	-33	33	4	0	3	0.0	0.004807022211052526	True
raw_ani0.93_xny250_breadth0.50	0.002076198183936541	0.0	0	6	0.0	3.042566762438918e-06	33	4	-33	33	4	0	3	0.0	0.004807022211052526	True
