panel	method	samples	sample_count	pooled_F1	mean_F1	mean_L1_union_pp	mean_Pearson_union	TP	FP	FN	rescued_TP	rescued_FP
cami2_toy_mouse_gut	current_default	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.93_xny100_breadth0.05	5,6,7	3	0.8795454545454545	0.8910711103579766	15.339987166975106	0.9876101014276285	387	26	80	14	16
cami2_toy_mouse_gut	raw_ani0.93_xny100_breadth0.10	5,6,7	3	0.8764302059496567	0.890057920187045	15.339987166975106	0.9876079163718509	383	24	84	10	14
cami2_toy_mouse_gut	raw_ani0.93_xny100_breadth0.20	5,6,7	3	0.8765859284890426	0.8916190452372318	15.339987166975106	0.9876043683237709	380	20	87	7	10
cami2_toy_mouse_gut	raw_ani0.93_xny100_breadth0.30	5,6,7	3	0.8771929824561403	0.8935530756363006	15.339987166975106	0.9875994951475032	375	13	92	2	3
cami2_toy_mouse_gut	raw_ani0.93_xny100_breadth0.50	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.93_xny250_breadth0.05	5,6,7	3	0.8758620689655172	0.8926727945821354	15.339987166975106	0.9876059361899802	381	22	86	8	12
cami2_toy_mouse_gut	raw_ani0.93_xny250_breadth0.10	5,6,7	3	0.8758620689655172	0.8926727945821354	15.339987166975106	0.9876059361899802	381	22	86	8	12
cami2_toy_mouse_gut	raw_ani0.93_xny250_breadth0.20	5,6,7	3	0.8765859284890426	0.8916190452372318	15.339987166975106	0.9876043683237709	380	20	87	7	10
cami2_toy_mouse_gut	raw_ani0.93_xny250_breadth0.30	5,6,7	3	0.8771929824561403	0.8935530756363006	15.339987166975106	0.9875994951475032	375	13	92	2	3
cami2_toy_mouse_gut	raw_ani0.93_xny250_breadth0.50	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.93_xny500_breadth0.05	5,6,7	3	0.8808411214953271	0.8964072964072964	15.339987166975106	0.9875982042476176	377	12	90	4	2
cami2_toy_mouse_gut	raw_ani0.93_xny500_breadth0.10	5,6,7	3	0.8808411214953271	0.8964072964072964	15.339987166975106	0.9875982042476176	377	12	90	4	2
cami2_toy_mouse_gut	raw_ani0.93_xny500_breadth0.20	5,6,7	3	0.8808411214953271	0.8964072964072964	15.339987166975106	0.9875982042476176	377	12	90	4	2
cami2_toy_mouse_gut	raw_ani0.93_xny500_breadth0.20_depth2	5,6,7	3	0.8782201405152226	0.8943430622988634	15.339987166975106	0.9875982042476176	375	12	92	2	2
cami2_toy_mouse_gut	raw_ani0.93_xny500_breadth0.20_depth5	5,6,7	3	0.8766157461809635	0.8930451215966536	15.339987166975106	0.9875978735268829	373	11	94	0	1
cami2_toy_mouse_gut	raw_ani0.93_xny500_breadth0.30	5,6,7	3	0.8792497069167644	0.8951490901629405	15.339987166975106	0.9875978735268829	375	11	92	2	1
cami2_toy_mouse_gut	raw_ani0.93_xny500_breadth0.30_depth2	5,6,7	3	0.8779342723004696	0.8941077441077442	15.339987166975106	0.9875978735268829	374	11	93	1	1
cami2_toy_mouse_gut	raw_ani0.93_xny500_breadth0.30_depth5	5,6,7	3	0.8766157461809635	0.8930451215966536	15.339987166975106	0.9875978735268829	373	11	94	0	1
cami2_toy_mouse_gut	raw_ani0.93_xny500_breadth0.50	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.93_xny650_breadth0.05	5,6,7	3	0.8792497069167644	0.8951490901629405	15.339987166975106	0.9875978735268829	375	11	92	2	1
cami2_toy_mouse_gut	raw_ani0.93_xny650_breadth0.10	5,6,7	3	0.8792497069167644	0.8951490901629405	15.339987166975106	0.9875978735268829	375	11	92	2	1
cami2_toy_mouse_gut	raw_ani0.93_xny650_breadth0.20	5,6,7	3	0.8792497069167644	0.8951490901629405	15.339987166975106	0.9875978735268829	375	11	92	2	1
cami2_toy_mouse_gut	raw_ani0.93_xny650_breadth0.20_depth2	5,6,7	3	0.8779342723004696	0.8941077441077442	15.339987166975106	0.9875978735268829	374	11	93	1	1
cami2_toy_mouse_gut	raw_ani0.93_xny650_breadth0.20_depth5	5,6,7	3	0.8766157461809635	0.8930451215966536	15.339987166975106	0.9875978735268829	373	11	94	0	1
cami2_toy_mouse_gut	raw_ani0.93_xny650_breadth0.30	5,6,7	3	0.8792497069167644	0.8951490901629405	15.339987166975106	0.9875978735268829	375	11	92	2	1
cami2_toy_mouse_gut	raw_ani0.93_xny650_breadth0.30_depth2	5,6,7	3	0.8779342723004696	0.8941077441077442	15.339987166975106	0.9875978735268829	374	11	93	1	1
cami2_toy_mouse_gut	raw_ani0.93_xny650_breadth0.30_depth5	5,6,7	3	0.8766157461809635	0.8930451215966536	15.339987166975106	0.9875978735268829	373	11	94	0	1
cami2_toy_mouse_gut	raw_ani0.93_xny650_breadth0.50	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.95_xny100_breadth0.05	5,6,7	3	0.883177570093458	0.899850061333315	15.339987166975106	0.9875969003913961	378	11	89	5	1
cami2_toy_mouse_gut	raw_ani0.95_xny100_breadth0.10	5,6,7	3	0.883177570093458	0.899850061333315	15.339987166975106	0.9875969003913961	378	11	89	5	1
cami2_toy_mouse_gut	raw_ani0.95_xny100_breadth0.20	5,6,7	3	0.8818713450292397	0.8972298745026017	15.339987166975106	0.9875969003913961	377	11	90	4	1
cami2_toy_mouse_gut	raw_ani0.95_xny100_breadth0.30	5,6,7	3	0.8792497069167644	0.8951374500013292	15.339987166975106	0.9875969003913961	375	11	92	2	1
cami2_toy_mouse_gut	raw_ani0.95_xny100_breadth0.50	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.95_xny250_breadth0.05	5,6,7	3	0.883177570093458	0.899850061333315	15.339987166975106	0.9875969003913961	378	11	89	5	1
cami2_toy_mouse_gut	raw_ani0.95_xny250_breadth0.10	5,6,7	3	0.883177570093458	0.899850061333315	15.339987166975106	0.9875969003913961	378	11	89	5	1
cami2_toy_mouse_gut	raw_ani0.95_xny250_breadth0.20	5,6,7	3	0.8818713450292397	0.8972298745026017	15.339987166975106	0.9875969003913961	377	11	90	4	1
cami2_toy_mouse_gut	raw_ani0.95_xny250_breadth0.30	5,6,7	3	0.8792497069167644	0.8951374500013292	15.339987166975106	0.9875969003913961	375	11	92	2	1
cami2_toy_mouse_gut	raw_ani0.95_xny250_breadth0.50	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.95_xny500_breadth0.05	5,6,7	3	0.8815943728018757	0.8969790706274802	15.339987166975106	0.9875965696706616	376	10	91	3	0
cami2_toy_mouse_gut	raw_ani0.95_xny500_breadth0.10	5,6,7	3	0.8815943728018757	0.8969790706274802	15.339987166975106	0.9875965696706616	376	10	91	3	0
cami2_toy_mouse_gut	raw_ani0.95_xny500_breadth0.20	5,6,7	3	0.8815943728018757	0.8969790706274802	15.339987166975106	0.9875965696706616	376	10	91	3	0
cami2_toy_mouse_gut	raw_ani0.95_xny500_breadth0.20_depth2	5,6,7	3	0.8789659224441834	0.8949021318102098	15.339987166975106	0.9875965696706616	374	10	93	1	0
cami2_toy_mouse_gut	raw_ani0.95_xny500_breadth0.20_depth5	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.95_xny500_breadth0.30	5,6,7	3	0.880281690140845	0.8959434778654063	15.339987166975106	0.9875965696706616	375	10	92	2	0
cami2_toy_mouse_gut	raw_ani0.95_xny500_breadth0.30_depth2	5,6,7	3	0.8789659224441834	0.8949021318102098	15.339987166975106	0.9875965696706616	374	10	93	1	0
cami2_toy_mouse_gut	raw_ani0.95_xny500_breadth0.30_depth5	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.95_xny500_breadth0.50	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
