panel	sample	method	delta_F1	delta_L1_union_pp	delta_Pearson_union	TP_delta	FP_delta	FN_delta	rescued_species	rescued_TP	rescued_FP
cami2_toy_mouse_gut	5	raw_default_major	0.0	0.0	0.0	0	0	0	0	0	0
cami2_toy_mouse_gut	5	raw_ani0.93_xny100_breadth0.05	0.0010931416591793974	0.0	5.807331130980309e-06	5	6	-5	11	5	6
cami2_toy_mouse_gut	5	raw_ani0.93_xny100_breadth0.10	-0.00501355013550131	0.0	5.807331130980309e-06	3	6	-3	9	3	6
cami2_toy_mouse_gut	5	raw_ani0.93_xny100_breadth0.20	-0.0026570048309179084	0.0	4.863238863950237e-06	3	5	-3	8	3	5
cami2_toy_mouse_gut	5	raw_ani0.93_xny100_breadth0.30	0.0007059545733579808	0.0	9.921622039499312e-07	1	1	-1	2	1	1
cami2_toy_mouse_gut	5	raw_ani0.93_xny100_breadth0.50	0.0	0.0	0.0	0	0	0	0	0	0
cami2_toy_mouse_gut	5	raw_ani0.93_xny250_breadth0.05	-0.00501355013550131	0.0	5.807331130980309e-06	3	6	-3	9	3	6
cami2_toy_mouse_gut	5	raw_ani0.93_xny250_breadth0.10	-0.00501355013550131	0.0	5.807331130980309e-06	3	6	-3	9	3	6
cami2_toy_mouse_gut	5	raw_ani0.93_xny250_breadth0.20	-0.0026570048309179084	0.0	4.863238863950237e-06	3	5	-3	8	3	5
cami2_toy_mouse_gut	5	raw_ani0.93_xny250_breadth0.30	0.0007059545733579808	0.0	9.921622039499312e-07	1	1	-1	2	1	1
cami2_toy_mouse_gut	5	raw_ani0.93_xny250_breadth0.50	0.0	0.0	0.0	0	0	0	0	0	0
cami2_toy_mouse_gut	5	raw_ani0.93_xny500_breadth0.05	0.006898656898656874	0.0	9.921622039499312e-07	3	1	-3	4	3	1
cami2_toy_mouse_gut	5	raw_ani0.93_xny500_breadth0.10	0.006898656898656874	0.0	9.921622039499312e-07	3	1	-3	4	3	1
cami2_toy_mouse_gut	5	raw_ani0.93_xny500_breadth0.20	0.006898656898656874	0.0	9.921622039499312e-07	3	1	-3	4	3	1
cami2_toy_mouse_gut	5	raw_ani0.93_xny500_breadth0.30	0.003124038165589371	0.0	0.0	1	0	-1	1	1	0
cami2_toy_mouse_gut	5	raw_ani0.93_xny500_breadth0.50	0.0	0.0	0.0	0	0	0	0	0	0
cami2_toy_mouse_gut	5	raw_ani0.93_xny650_breadth0.05	0.003124038165589371	0.0	0.0	1	0	-1	1	1	0
cami2_toy_mouse_gut	5	raw_ani0.93_xny650_breadth0.10	0.003124038165589371	0.0	0.0	1	0	-1	1	1	0
cami2_toy_mouse_gut	5	raw_ani0.93_xny650_breadth0.20	0.003124038165589371	0.0	0.0	1	0	-1	1	1	0
cami2_toy_mouse_gut	5	raw_ani0.93_xny650_breadth0.30	0.003124038165589371	0.0	0.0	1	0	-1	1	1	0
cami2_toy_mouse_gut	5	raw_ani0.93_xny650_breadth0.50	0.0	0.0	0.0	0	0	0	0	0	0
cami2_toy_mouse_gut	5	raw_ani0.95_xny100_breadth0.05	0.003810835629017406	0.0	9.921622039499312e-07	2	1	-2	3	2	1
cami2_toy_mouse_gut	5	raw_ani0.95_xny100_breadth0.10	0.003810835629017406	0.0	9.921622039499312e-07	2	1	-2	3	2	1
cami2_toy_mouse_gut	5	raw_ani0.95_xny100_breadth0.20	0.003810835629017406	0.0	9.921622039499312e-07	2	1	-2	3	2	1
cami2_toy_mouse_gut	5	raw_ani0.95_xny100_breadth0.30	0.0007059545733579808	0.0	9.921622039499312e-07	1	1	-1	2	1	1
cami2_toy_mouse_gut	5	raw_ani0.95_xny100_breadth0.50	0.0	0.0	0.0	0	0	0	0	0	0
cami2_toy_mouse_gut	5	raw_ani0.95_xny250_breadth0.05	0.003810835629017406	0.0	9.921622039499312e-07	2	1	-2	3	2	1
cami2_toy_mouse_gut	5	raw_ani0.95_xny250_breadth0.10	0.003810835629017406	0.0	9.921622039499312e-07	2	1	-2	3	2	1
cami2_toy_mouse_gut	5	raw_ani0.95_xny250_breadth0.20	0.003810835629017406	0.0	9.921622039499312e-07	2	1	-2	3	2	1
cami2_toy_mouse_gut	5	raw_ani0.95_xny250_breadth0.30	0.0007059545733579808	0.0	9.921622039499312e-07	1	1	-1	2	1	1
cami2_toy_mouse_gut	5	raw_ani0.95_xny250_breadth0.50	0.0	0.0	0.0	0	0	0	0	0	0
