rule	mean_route_delta_pooled_F1	min_route_delta_pooled_F1	route_worsen_n	route_improve_n	sample_worsen_n	sample_improve_n	added_species	added_TP	added_FP	strict_pass
raw_ani0.95_xny100_breadth0.05	0.030663651222492927	0.005061405642023398	0	2	0	4	183	130	53	True
raw_ani0.95_xny100_breadth0.10	0.028452689203817938	0.005061405642023398	0	2	0	4	165	118	47	True
raw_ani0.95_xny250_breadth0.05	0.017108414175194375	0.005061405642023398	0	2	0	4	108	72	36	True
raw_ani0.95_xny250_breadth0.10	0.017108414175194375	0.005061405642023398	0	2	0	4	108	72	36	True
raw_ani0.93_xny650_breadth0.30	0.009680904666973522	0.005061405642023398	0	2	0	5	34	28	6	True
raw_ani0.93_xny650_breadth0.05	0.00947055289494897	0.005061405642023398	0	2	0	5	35	28	7	True
raw_ani0.93_xny650_breadth0.10	0.00947055289494897	0.005061405642023398	0	2	0	5	35	28	7	True
raw_ani0.93_xny650_breadth0.20	0.00947055289494897	0.005061405642023398	0	2	0	5	35	28	7	True
raw_ani0.93_xny650_breadth0.30_depth2	0.00732882149789843	0.005061405642023398	0	2	0	5	25	20	5	True
raw_ani0.93_xny650_breadth0.20_depth2	0.007118713701004531	0.005061405642023398	0	2	0	5	26	20	6	True
raw_ani0.95_xny100_breadth0.20	0.01869431123142773	0.0025356359649123528	0	2	0	4	108	77	31	True
raw_ani0.95_xny250_breadth0.20	0.017087202383040734	0.0025356359649123528	0	2	0	4	101	71	30	True
raw_ani0.95_xny100_breadth0.30	0.014162374424750268	0.0025356359649123528	0	2	0	4	78	56	22	True
raw_ani0.95_xny250_breadth0.30	0.014162374424750268	0.0025356359649123528	0	2	0	4	78	56	22	True
raw_ani0.95_xny650_breadth0.05	0.008418019828418	0.0025356359649123528	0	2	0	4	33	27	6	True
raw_ani0.95_xny650_breadth0.10	0.008418019828418	0.0025356359649123528	0	2	0	4	33	27	6	True
raw_ani0.95_xny650_breadth0.20	0.008418019828418	0.0025356359649123528	0	2	0	4	33	27	6	True
raw_ani0.95_xny650_breadth0.30	0.008418019828418	0.0025356359649123528	0	2	0	4	33	27	6	True
raw_ani0.95_xny500_breadth0.20	0.00781969789854875	0.0025356359649123528	0	2	0	4	56	35	21	True
raw_ani0.95_xny500_breadth0.30	0.00781969789854875	0.0025356359649123528	0	2	0	4	56	35	21	True
raw_ani0.95_xny500_breadth0.05	0.007404894839827092	0.0025356359649123528	0	2	0	4	58	35	23	True
raw_ani0.95_xny500_breadth0.10	0.007404894839827092	0.0025356359649123528	0	2	0	4	58	35	23	True
