method	mean_delta_F1	min_delta_F1	sample_worsen_n	sample_improve_n	mean_delta_L1_union_pp	mean_delta_Pearson_union	total_TP_delta	total_FP_delta	total_FN_delta	rescued_TP	rescued_FP	panel_worsen_n	panel_improve_n	min_panel_delta_pooled_F1	mean_panel_delta_pooled_F1	strict_pass	thr
max_base_calls_le_50	0.004135446322381098	0.0	0	8	-0.033099764234819834	0.001119731649585872	11	2	-11	0	0	0	3	0.0	0.0015669756599848389	True	50
max_base_calls_le_75	0.004954955776688435	0.0	0	12	-0.1437530449344878	0.0019250826128884666	15	2	-15	0	0	0	4	0.0	0.003273650437014473	True	75
max_base_calls_le_100	0.006009670653070784	0.0	0	15	-0.3609616929871681	0.0037305747497043728	22	2	-22	0	0	0	5	0.0	0.005006388389252762	True	100
max_base_calls_le_125	0.006143109794207949	0.0	0	16	-0.5064747151781192	0.004752471622578801	23	2	-23	0	0	0	5	0.0	0.005280826194210299	True	125
max_base_calls_le_150	0.006579985402630211	0.0	0	18	-0.480043309629832	0.004761804986951593	28	4	-28	0	0	0	5	0.0	0.005906698288431346	True	150
max_base_calls_le_175	0.006671403783309038	0.0	0	20	-0.48805803498831124	0.004763419405295767	30	5	-30	0	0	0	6	0.0	0.00613564801603634	True	175
max_base_calls_le_200	0.006671403783309038	0.0	0	20	-0.48805803498831124	0.004763419405295767	30	5	-30	0	0	0	6	0.0	0.00613564801603634	True	200
max_base_calls_le_225	0.006671403783309038	0.0	0	20	-0.48805803498831124	0.004763419405295767	30	5	-30	0	0	0	6	0.0	0.00613564801603634	True	225
max_base_calls_le_250	0.006671403783309038	0.0	0	20	-0.48805803498831124	0.004763419405295767	30	5	-30	0	0	0	6	0.0	0.00613564801603634	True	250
max_base_calls_le_275	0.00660192886741025	-0.002987421383647826	1	20	-0.47852343654647966	0.004723895890264036	30	7	-30	0	0	1	6	-0.0008400530334170542	0.006015640439833904	False	275
max_base_calls_le_300	0.00651463623192527	-0.0037535833258541818	2	20	-0.45538037909291734	0.004597365313445939	30	10	-30	0	0	1	6	-0.0020967489112811988	0.0058361124572818834	False	300
max_base_calls_le_325	0.00651463623192527	-0.0037535833258541818	2	20	-0.45538037909291734	0.004597365313445939	30	10	-30	0	0	1	6	-0.0020967489112811988	0.0058361124572818834	False	325
max_base_calls_le_350	0.006464010590173815	-0.0037535833258541818	3	20	-0.4447175092949952	0.004544971500361398	30	12	-30	0	0	1	6	-0.0029322988529655314	0.005716748179898408	False	350
combined_no_guard	0.006464010590173815	-0.0037535833258541818	3	20	-0.4447175092949952	0.004544971500361398	30	12	-30	0	0	1	6	-0.0029322988529655314	0.005716748179898408	False	999999
