panel	sample	policy	profile	rows	called	candidate_rescue_added	candidate_surface_added	candidate_added	candidate_added_called	candidate_added_raw_mass	candidate_added_abundance	surface_switch_values	abundance_policy_values	guard_blocked_values	guard_blocked_rows	surface_called_species_n_max	surface_max_called_species_values
cami2_toy_mouse_gut	5	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/cami2_toy_mouse_gut.sample5.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	163	163	0	1	1	1	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	162	250
cami2_toy_mouse_gut	5	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/cami2_toy_mouse_gut.sample5.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	163	163	0	1	1	1	0.6141366062406934	0.0013701201950923	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	162	250
cami2_toy_mouse_gut	6	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/cami2_toy_mouse_gut.sample6.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	159	159	1	1	2	2	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	158	250
cami2_toy_mouse_gut	6	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/cami2_toy_mouse_gut.sample6.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	159	159	1	1	2	2	4.048105551682035	0.0084519555310533	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	158	250
cami2_toy_mouse_gut	7	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/cami2_toy_mouse_gut.sample7.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	64	64	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	64	250
cami2_toy_mouse_gut	7	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/cami2_toy_mouse_gut.sample7.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	64	64	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	64	250
hmp_airskin_gtdb_source_abundance	0	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample0.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	36	36	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	36	250
hmp_airskin_gtdb_source_abundance	0	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample0.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	36	36	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	36	250
hmp_airskin_gtdb_source_abundance	1	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample1.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	99	99	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	99	250
hmp_airskin_gtdb_source_abundance	1	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample1.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	99	99	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	99	250
