panel	method	samples	sample_count	pooled_F1	mean_F1	mean_L1_union_pp	mean_Pearson_union	TP	FP	FN	rescued_TP	rescued_FP
cami2_toy_mouse_gut	current_default	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	wrapper_accession-current-or-ani93-xny650-br20_maxcalls250_normalized-depth-alpha2	5,6,7	3	0.8792497069167644	0.8951490901629405	15.225109436836902	0.987619709666928	375	11	92	0	0
cami2_toy_mouse_gut	wrapper_accession-current-or-ani93-xny650-br20_maxcalls250_zero	5,6,7	3	0.8792497069167644	0.8951490901629405	15.339987166975092	0.9875978735268829	375	11	92	0	0
cami3_source_readmap_extension_after_recovery	current_default	3,4,5	3	0.69921875	0.6951404891573879	44.57919101805288	0.9184820824877019	179	41	113	0	0
cami3_source_readmap_extension_after_recovery	wrapper_accession-current-or-ani93-xny650-br20_maxcalls250_normalized-depth-alpha2	3,4,5	3	0.7042801556420234	0.7005696058327637	42.538833733806314	0.9301213679487154	181	41	111	0	0
cami3_source_readmap_extension_after_recovery	wrapper_accession-current-or-ani93-xny650-br20_maxcalls250_zero	3,4,5	3	0.7042801556420234	0.7005696058327637	44.538279118048784	0.9184825144363185	181	41	111	0	0
cami3_toy_human_gut_gtdb_source_readmap	current_default	0,1,2	3	0.8145695364238409	0.8159567931704953	62.73202903342466	0.8239151096773085	246	62	50	0	0
cami3_toy_human_gut_gtdb_source_readmap	wrapper_accession-current-or-ani93-xny650-br20_maxcalls250_normalized-depth-alpha2	0,1,2	3	0.828150572831424	0.8296007573686984	57.54978625775262	0.864414228001245	253	62	43	0	0
cami3_toy_human_gut_gtdb_source_readmap	wrapper_accession-current-or-ani93-xny650-br20_maxcalls250_zero	0,1,2	3	0.828150572831424	0.8296007573686984	62.60415694820026	0.8276026158310531	253	62	43	0	0
hmp_airskin_gtdb_source_abundance	current_default	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	0.8479868529170089	0.8695844068735173	22.53852648257859	0.9809237855745335	1032	307	63	0	0
hmp_airskin_gtdb_source_abundance	wrapper_accession-current-or-ani93-xny650-br20_maxcalls250_normalized-depth-alpha2	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	0.853529171766626	0.877229341764428	22.885582746120207	0.9807439432454181	1046	310	49	0	0
hmp_airskin_gtdb_source_abundance	wrapper_accession-current-or-ani93-xny650-br20_maxcalls250_zero	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	0.853529171766626	0.877229341764428	22.53852648257859	0.9810234177216945	1046	310	49	0	0
hmp_airskin_omitted_gtdb_source_abundance	current_default	2,8,12,26,27	5	0.8130841121495328	0.8376433860257391	29.92255192795823	0.9691499289959621	261	100	20	0	0
hmp_airskin_omitted_gtdb_source_abundance	wrapper_accession-current-or-ani93-xny650-br20_maxcalls250_normalized-depth-alpha2	2,8,12,26,27	5	0.8173374613003096	0.8407963256959119	29.513488983661567	0.9740798530128603	264	101	17	0	0
hmp_airskin_omitted_gtdb_source_abundance	wrapper_accession-current-or-ani93-xny650-br20_maxcalls250_zero	2,8,12,26,27	5	0.8173374613003096	0.8407963256959119	29.862340104641685	0.9692312776272736	264	101	17	0	0
hmp_gastrooral_gtdb_source_abundance	current_default	0,6	2	0.9156626506024096	0.9195678271308523	48.98699110632455	0.8822766995655476	76	9	5	0	0
hmp_gastrooral_gtdb_source_abundance	wrapper_accession-current-or-ani93-xny650-br20_maxcalls250_normalized-depth-alpha2	0,6	2	0.9285714285714286	0.9328063241106719	46.35794223740336	0.8962811990147187	78	9	3	0	0
hmp_gastrooral_gtdb_source_abundance	wrapper_accession-current-or-ani93-xny650-br20_maxcalls250_zero	0,6	2	0.9285714285714286	0.9328063241106719	48.986991106324545	0.8822766995655476	78	9	3	0	0
marine_setup_truth_profile_rescore	current_default	3,4,5	3	0.7808292945611202	0.781357739256762	41.299693576074446	0.8867060150699051	725	182	225	0	0
marine_setup_truth_profile_rescore	wrapper_accession-current-or-ani93-xny650-br20_maxcalls250_normalized-depth-alpha2	3,4,5	3	0.7808292945611202	0.781357739256762	41.299693576074446	0.8867060150699051	725	182	225	0	0
marine_setup_truth_profile_rescore	wrapper_accession-current-or-ani93-xny650-br20_maxcalls250_zero	3,4,5	3	0.7808292945611202	0.781357739256762	41.299693576074446	0.8867060150699051	725	182	225	0	0
