panel	sample	policy	profile	unique	split	split_source	has_exact	time_log	wall_clock	max_rss_kb	exit_status	status	command	elapsed_s
cami2_toy_mouse_gut	5	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/cami2_toy_mouse_gut.sample5.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample5_default/minco.best_diff_unique.unfiltered.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample5_default/minco.best_diff_split.exact.unfiltered.tsv	split_exact	True	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/cami2_toy_mouse_gut.sample5.accession-current-or-ani93-xny650-br20.maxcalls250.tsv.time.log	0:17.97	3449872	0	reused	reuse existing guarded raw-retention surface wrapper profile	0.000
cami2_toy_mouse_gut	5	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/cami2_toy_mouse_gut.sample5.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample5_default/minco.best_diff_unique.unfiltered.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample5_default/minco.best_diff_split.exact.unfiltered.tsv	split_exact	True	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/cami2_toy_mouse_gut.sample5.accession-current-or-ani93-xny650-br20.maxcalls250.tsv.time.log	0:17.80	3448132	0	reused	reuse existing guarded raw-retention surface wrapper profile	0.000
cami2_toy_mouse_gut	6	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/cami2_toy_mouse_gut.sample6.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample6_default/minco.best_diff_unique.unfiltered.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample6_default/minco.best_diff_split.exact.unfiltered.tsv	split_exact	True	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/cami2_toy_mouse_gut.sample6.accession-current-or-ani93-xny650-br20.maxcalls250.tsv.time.log	0:18.46	3476904	0	reused	reuse existing guarded raw-retention surface wrapper profile	0.000
cami2_toy_mouse_gut	6	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/cami2_toy_mouse_gut.sample6.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample6_default/minco.best_diff_unique.unfiltered.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample6_default/minco.best_diff_split.exact.unfiltered.tsv	split_exact	True	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/cami2_toy_mouse_gut.sample6.accession-current-or-ani93-xny650-br20.maxcalls250.tsv.time.log	0:18.34	3474304	0	reused	reuse existing guarded raw-retention surface wrapper profile	0.000
cami2_toy_mouse_gut	7	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/cami2_toy_mouse_gut.sample7.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample7_default/minco.best_diff_unique.unfiltered.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample7_default/minco.best_diff_split.exact.unfiltered.tsv	split_exact	True	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/cami2_toy_mouse_gut.sample7.accession-current-or-ani93-xny650-br20.maxcalls250.tsv.time.log	0:17.29	3449128	0	reused	reuse existing guarded raw-retention surface wrapper profile	0.000
cami2_toy_mouse_gut	7	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/cami2_toy_mouse_gut.sample7.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample7_default/minco.best_diff_unique.unfiltered.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample7_default/minco.best_diff_split.exact.unfiltered.tsv	split_exact	True	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/cami2_toy_mouse_gut.sample7.accession-current-or-ani93-xny650-br20.maxcalls250.tsv.time.log	0:17.59	3447592	0	reused	reuse existing guarded raw-retention surface wrapper profile	0.000
hmp_airskin_gtdb_source_abundance	0	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample0.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	/tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample0.accession-current-or-ani93-xny650-br20.maxcalls250.tsv.time.log	0:15.92	3308180	0	reused	reuse existing guarded raw-retention surface wrapper profile	0.000
hmp_airskin_gtdb_source_abundance	0	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample0.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	/tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample0.accession-current-or-ani93-xny650-br20.maxcalls250.tsv.time.log	0:16.12	3308520	0	reused	reuse existing guarded raw-retention surface wrapper profile	0.000
hmp_airskin_gtdb_source_abundance	1	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample1.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample1.accession-current-or-ani93-xny650-br20.maxcalls250.tsv.time.log	0:15.60	3227816	0	reused	reuse existing guarded raw-retention surface wrapper profile	0.000
hmp_airskin_gtdb_source_abundance	1	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample1.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample1.accession-current-or-ani93-xny650-br20.maxcalls250.tsv.time.log	0:15.43	3227304	0	reused	reuse existing guarded raw-retention surface wrapper profile	0.000
