panel	sample	species	truth	map	added_type	raw_mode	prob	abund	raw_mass	u_rows	s_rows	ani	xny	breadth	real_af	depth	zip_af	u_xny	s_xny	u_breadth	s_breadth	u_real_af	s_real_af
cami2_toy_mouse_gut	5	s__Bacteroides ovatus	True	exact_accession	surface	split	0.0	0.0013701201950923	0.6141366062406934		1	0.964546	670.0	0.304239	0.67	1.641906	0.458408		670.0		0.304239		0.67
cami2_toy_mouse_gut	6	s__Bacteroides thetaiotaomicron	True	exact_accession	rescue		0.1693671412145106	0.003161055165767	1.5140028740922489	1.0	1	0.953456	718.0	0.34658	0.718	3.472803	0.359167	144.0	718.0	0.144	0.34658	0.144	0.718
cami2_toy_mouse_gut	6	s__Bacteroides sp947646015	False	exact_accession	surface	split	0.0	0.0052909003652863	2.5341026775897864		1	0.949399	695.0	0.327787	0.695	6.148349	0.328499		695.0		0.327787		0.695
hmp_airskin_gtdb_source_abundance	6	s__Bifidobacterium swidsinskii	True	exact_accession	rescue		0.8875760130893746	0.0118672111392749	12.345963447143628	2.0	2	0.960404	832.0	0.418485	0.832	19.592562	0.418485	239.0	832.0	0.239	0.418485	0.239	0.832
hmp_airskin_gtdb_source_abundance	6	s__Bifidobacterium vaginale_C	False	exact_accession	surface	split	0.0	0.0437422796075868	45.50695009906084		1	0.955513	678.0	0.375792	0.678	80.421459	0.375792		678.0		0.375792		0.678
hmp_airskin_gtdb_source_abundance	10	s__Neisseria gonorrhoeae	True	exact_accession	surface	split	0.0	0.0173207052492762	9.60547526702533		1	0.946046	686.0	0.305138	0.686	27.375778	0.305138		686.0		0.305138		0.686
hmp_airskin_gtdb_source_abundance	13	s__Neisseria gonorrhoeae	True	exact_accession	surface	split	0.0	0.0238702762642344	1.8057352654465575		1	0.941514	677.0	0.276177	0.677	10.612238	0.276184		677.0		0.276177		0.677
hmp_airskin_gtdb_source_abundance	14	s__Streptococcus pseudopneumoniae	True	exact_accession	rescue		0.7347725121967853	0.0021669096412582	1.5067799456484872	8.0	16	1.0	703.0	0.172825	0.703	11.144019	1.0	103.0	703.0	0.103	0.172825	0.103	0.703
hmp_airskin_gtdb_source_abundance	14	s__Streptococcus pneumoniae	True	exact_accession	rescue		0.7080145195156238	0.0047489284621893	3.3022097617282613	5.0	7	1.0	887.0	0.261584	0.887	10.597069	1.0	167.0	887.0	0.167	0.261584	0.167	0.887
hmp_airskin_gtdb_source_abundance	15	s__Streptococcus pneumoniae	True	exact_accession	rescue		0.7351583730429398	0.0048067839890539	3.2413216680177657	6.0	7	1.0	870.0	0.260062	0.87	8.483838	1.0	169.0	870.0	0.169	0.260062	0.169	0.87
hmp_airskin_gtdb_source_abundance	15	s__Streptococcus mitis_AK	True	exact_accession	rescue		0.6559097489787904	0.0008233382587787	0.5551953539757365	52.0	109	1.0	896.0	0.110369	0.896	10.214634	1.0	38.0	896.0	0.038	0.110369	0.038	0.896
hmp_airskin_gtdb_source_abundance	18	s__Streptococcus pneumoniae	True	exact_accession	rescue		0.6300331170673964	0.0059404995745425	4.602962983066915	5.0	7	1.0	893.0	0.27046	0.893	10.970504	1.0	178.0	893.0	0.178	0.27046	0.178	0.893
hmp_airskin_gtdb_source_abundance	19	s__Streptococcus anginosus	False	exact_accession	surface	split	0.0	0.0064008526604342	5.61150642933865		1	0.945963	685.0	0.304583	0.685	12.935116	0.304584		685.0		0.304583		0.685
hmp_airskin_gtdb_source_abundance	19	s__Streptococcus salivarius_D	True	exact_accession	surface	split	0.0	0.0029634669613746	2.5980154190517197		1	0.938856	755.0	0.260258	0.755	7.006071	0.260495		755.0		0.260258		0.755
hmp_airskin_gtdb_source_abundance	19	s__Haemophilus influenzae_E	True	exact_accession	surface	split	0.0	0.0028671100396046	2.513541128717589		1	0.947534	882.0	0.314122	0.882	5.617168	0.315292		882.0		0.314122		0.882
hmp_airskin_gtdb_source_abundance	19	s__Haemophilus influenzae_I	False	exact_accession	surface	split	0.0	0.0023518954783039	2.0618622701963214		1	0.934587	776.0	0.236613	0.776	6.115439	0.237144		776.0		0.236613		0.776
hmp_airskin_gtdb_source_abundance	19	s__Haemophilus influenzae_D	True	exact_accession	surface	split	0.0	0.0021827792482586	1.9136012708343784		1	0.953232	802.0	0.349069	0.802	3.848906	0.357397		802.0		0.349069		0.802
hmp_airskin_gtdb_source_abundance	24	s__Limosilactobacillus reuteri_L	True	exact_accession	surface	split	0.0	0.0047667187695509	3.856547770774472		1	0.950465	872.0	0.336123	0.872	7.607115	0.336291		872.0		0.336123		0.872
hmp_airskin_gtdb_source_abundance	24	s__Lactobacillus johnsonii	True	exact_accession	surface	split	0.0	0.002166870907325	1.7531223407978958		1	0.931197	689.0	0.218981	0.689	5.307402	0.220102		689.0		0.218981		0.689
hmp_airskin_gtdb_source_abundance	25	s__Limosilactobacillus reuteri_L	True	exact_accession	surface	split	0.0	0.0023504623107957	1.527158056324436		1	0.938477	735.0	0.255821	0.735	4.678777	0.258333		735.0		0.255821		0.735
hmp_airskin_omitted_gtdb_source_abundance	2	s__Limosilactobacillus reuteri_L	True	exact_accession	surface	split	0.0	0.0399442082890541	35.35498287272039		1	0.948934	833.0	0.325154	0.833	76.574214	0.325154		833.0		0.325154		0.833
hmp_airskin_omitted_gtdb_source_abundance	2	s__Limosilactobacillus sp011958095	False	exact_accession	surface	split	0.0	0.0112171701836951	9.928419581008612		1	0.930692	676.0	0.217669	0.676	32.12388	0.217669		676.0		0.217669		0.676
hmp_airskin_omitted_gtdb_source_abundance	27	s__Buchnera aphidicola_I	True	exact_accession	rescue		0.3266633691595205	0.0053100836357898	3.871057161762042	115.0	115	1.0	777.0	0.701524	0.777	17.367904	1.0	661.0	777.0	0.661	0.701524	0.661	0.777
hmp_airskin_omitted_gtdb_source_abundance	27	s__Listeria monocytogenes	True	exact_accession	surface	split	0.0	0.0043119772763137	3.1434364619657598		1	0.975173	893.0	0.568186	0.893	4.043936	0.579144		893.0		0.568186		0.893
hmp_airskin_omitted_gtdb_source_abundance	27	s__Listeria monocytogenes_D	True	exact_accession	surface	split	0.0	0.0041068328862237	2.9938859624028877		1	0.972244	911.0	0.53337	0.911	4.104116	0.54301		911.0		0.53337		0.911
hmp_gastrooral_gtdb_source_abundance	0	s__Clostridium_F botulinum	True	exact_accession	surface	split	0.0	0.0594661906311546	33.37172162017547		1	0.987029	958.0	0.751749	0.958	43.30398	0.751749		958.0		0.751749		0.958
hmp_gastrooral_gtdb_source_abundance	6	s__Flavobacterium psychrophilum	True	exact_accession	surface	split	0.0	0.0071130421659233	0.5867456442384007		1	1.0	819.0	0.748461	0.819	1.089768	1.0		819.0		0.748461		0.819
cami3_toy_human_gut_gtdb_source_readmap	0	s__Faecalibacterium taiwanense	True	exact_accession	rescue		0.2422328186121928	0.0312827052963278	27.444057845926235	1.0	1	0.951724	731.0	0.34574	0.731	56.647826	0.34574	193.0	731.0	0.193	0.34574	0.193	0.731
cami3_toy_human_gut_gtdb_source_readmap	0	s__Bacteroides sp947646015	True	exact_accession	rescue		0.031777948666301	0.0118839966372521	10.42573166432079	91.0	165	1.0	759.0	0.372802	0.759	527.0	1.0	184.0	759.0	0.184	0.372802	0.184	0.759
cami3_toy_human_gut_gtdb_source_readmap	0	s__Streptococcus salivarius_E	True	exact_accession	surface	split	0.0	0.0036734779467412	3.2227117287690343		1	0.931264	697.0	0.220422	0.697	10.435351	0.220428		697.0		0.220422		0.697
cami3_toy_human_gut_gtdb_source_readmap	1	s__Faecalibacterium taiwanense	True	exact_accession	rescue		0.3153957382662384	0.0144616112731103	10.556849207940925	1.0	1	0.951523	727.0	0.344217	0.727	25.347514	0.344217	192.0	727.0	0.192	0.344217	0.192	0.727
cami3_toy_human_gut_gtdb_source_readmap	1	s__Bacteroides sp947646015	True	exact_accession	rescue		0.0454671462075862	0.0300720599685501	21.95233964353828	96.0	165	1.0	797.0	0.391942	0.797	258.333333	1.0	210.0	797.0	0.21	0.391942	0.21	0.797
cami3_toy_human_gut_gtdb_source_readmap	1	s__Streptococcus salivarius_E	True	exact_accession	surface	split	0.0	0.0012824231691119	0.9361576494769464		1	0.931324	675.0	0.214074	0.675	3.61196	0.220718		675.0		0.214074		0.675
cami3_toy_human_gut_gtdb_source_readmap	2	s__Blautia_A fusiformis	True	exact_accession	rescue		0.1138787574495514	0.0215245039618472	13.511133345657417	1.0	1	0.94097	757.0	0.272897	0.757	45.305815	0.272897	84.0	757.0	0.084	0.272897	0.084	0.757
marine_setup_truth_profile_rescore	3	s__Thalassobaculum faulkneri	False	exact_accession	surface	split	0.0	0.0075529356097945	3.867264110887493		1	0.999454	968.0	0.960731	0.968	3.68961	0.988068		968.0		0.960731		0.968
marine_setup_truth_profile_rescore	3	s__Vibrio splendidus	False	exact_accession	surface	split	0.0	0.0066815188675525	3.421080154476041		1	0.938858	683.0	0.260505	0.683	12.038286	0.260506		683.0		0.260505		0.683
