panel	sample	method	delta_F1	delta_L1_union_pp	delta_Pearson_union	TP_delta	FP_delta	FN_delta	rescued_species	rescued_TP	rescued_FP
cami2_toy_mouse_gut	5	wrapper_accession-current-or-ani93-xny650-br20_zero	0.003124038165589371	0.0	0.0	1	0	-1	0	0	0
cami2_toy_mouse_gut	5	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.003124038165589371	-0.0874379539871235	1.2712236544865085e-05	1	0	-1	0	0	0
cami2_toy_mouse_gut	6	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0008069522036001642	-3.907985046680551e-14	3.91156866430542e-06	1	1	-1	0	0	0
cami2_toy_mouse_gut	6	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0008069522036001642	-0.257195236427485	5.6707752254636645e-05	1	1	-1	0	0	0
cami2_toy_mouse_gut	7	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
cami2_toy_mouse_gut	7	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	0	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	0	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	1	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	1	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	3	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	3	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	4	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	4	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	5	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	5	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	6	wrapper_accession-current-or-ani93-xny650-br20_zero	0.003676470588235281	7.105427357601002e-15	0.002376964259174219	1	1	-1	0	0	0
hmp_airskin_gtdb_source_abundance	6	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.003676470588235281	6.446435192320763	-0.0037115727274121824	1	1	-1	0	0	0
hmp_airskin_gtdb_source_abundance	7	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	7	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	9	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	9	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	10	wrapper_accession-current-or-ani93-xny650-br20_zero	0.007819831091648521	3.552713678800501e-15	0.0	1	0	-1	0	0	0
hmp_airskin_gtdb_source_abundance	10	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.007819831091648521	1.6000518802033952	-0.001233328079235041	1	0	-1	0	0	0
hmp_airskin_gtdb_source_abundance	11	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	11	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
