panel	sample	policy	profile	unique	split	split_source	has_exact	time_log	wall_clock	max_rss_kb	exit_status	status	command	elapsed_s
cami2_toy_mouse_gut	5	zero	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/cami2_toy_mouse_gut.sample5.accession-current-or-ani93-xny650-br20.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample5_default/minco.best_diff_unique.unfiltered.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample5_default/minco.best_diff_split.exact.unfiltered.tsv	split_exact	True	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/cami2_toy_mouse_gut.sample5.accession-current-or-ani93-xny650-br20.tsv.time.log	0:18.43	3450184	0	reused	reuse existing raw-retention surface wrapper profile	0.000
cami2_toy_mouse_gut	5	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/cami2_toy_mouse_gut.sample5.accession-current-or-ani93-xny650-br20.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample5_default/minco.best_diff_unique.unfiltered.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample5_default/minco.best_diff_split.exact.unfiltered.tsv	split_exact	True	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/cami2_toy_mouse_gut.sample5.accession-current-or-ani93-xny650-br20.tsv.time.log	0:18.07	3447676	0	reused	reuse existing raw-retention surface wrapper profile	0.000
cami2_toy_mouse_gut	6	zero	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/cami2_toy_mouse_gut.sample6.accession-current-or-ani93-xny650-br20.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample6_default/minco.best_diff_unique.unfiltered.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample6_default/minco.best_diff_split.exact.unfiltered.tsv	split_exact	True	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/cami2_toy_mouse_gut.sample6.accession-current-or-ani93-xny650-br20.tsv.time.log	0:18.17	3477048	0	reused	reuse existing raw-retention surface wrapper profile	0.000
cami2_toy_mouse_gut	6	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/cami2_toy_mouse_gut.sample6.accession-current-or-ani93-xny650-br20.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample6_default/minco.best_diff_unique.unfiltered.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample6_default/minco.best_diff_split.exact.unfiltered.tsv	split_exact	True	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/cami2_toy_mouse_gut.sample6.accession-current-or-ani93-xny650-br20.tsv.time.log	0:18.50	3475808	0	reused	reuse existing raw-retention surface wrapper profile	0.000
cami2_toy_mouse_gut	7	zero	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/cami2_toy_mouse_gut.sample7.accession-current-or-ani93-xny650-br20.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample7_default/minco.best_diff_unique.unfiltered.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample7_default/minco.best_diff_split.exact.unfiltered.tsv	split_exact	True	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/cami2_toy_mouse_gut.sample7.accession-current-or-ani93-xny650-br20.tsv.time.log	0:17.51	3448196	0	reused	reuse existing raw-retention surface wrapper profile	0.000
cami2_toy_mouse_gut	7	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/cami2_toy_mouse_gut.sample7.accession-current-or-ani93-xny650-br20.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample7_default/minco.best_diff_unique.unfiltered.tsv	/tmp/cami2_toymouse_current_default_20260626/run/sample7_default/minco.best_diff_split.exact.unfiltered.tsv	split_exact	True	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/cami2_toy_mouse_gut.sample7.accession-current-or-ani93-xny650-br20.tsv.time.log	0:17.45	3447116	0	reused	reuse existing raw-retention surface wrapper profile	0.000
hmp_airskin_gtdb_source_abundance	0	zero	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample0.accession-current-or-ani93-xny650-br20.tsv	/tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample0.accession-current-or-ani93-xny650-br20.tsv.time.log	0:16.21	3308084	0	reused	reuse existing raw-retention surface wrapper profile	0.000
hmp_airskin_gtdb_source_abundance	0	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample0.accession-current-or-ani93-xny650-br20.tsv	/tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample0.accession-current-or-ani93-xny650-br20.tsv.time.log	0:15.82	3308108	0	reused	reuse existing raw-retention surface wrapper profile	0.000
hmp_airskin_gtdb_source_abundance	1	zero	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample1.accession-current-or-ani93-xny650-br20.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample1.accession-current-or-ani93-xny650-br20.tsv.time.log	0:15.50	3227956	0	reused	reuse existing raw-retention surface wrapper profile	0.000
hmp_airskin_gtdb_source_abundance	1	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample1.accession-current-or-ani93-xny650-br20.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample1.accession-current-or-ani93-xny650-br20.tsv.time.log	0:15.39	3227460	0	reused	reuse existing raw-retention surface wrapper profile	0.000
