profile	raw_best	out	panel	sample	input_rows	added_rows	output_rows	called_species_before
/tmp/minco_current_code_hmp_airskin0_20260627/minco_sample0_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample0.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample0.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	0	36	0	36	36
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/minco_sample1_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample1.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample1.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	1	99	0	99	99
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample3.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample3.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	3	47	0	47	47
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample4.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample4.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	4	137	0	137	137
/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample5.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample5.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	5	26	0	26	26
/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_current_exact.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample6.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample6.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	6	25555	1	25556	16
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/minco_sample7_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample7.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample7.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	7	89	0	89	89
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/minco_sample9_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample9.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample9.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	9	102	0	102	102
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/minco_sample10_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample10.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample10.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	10	69	0	69	69
/tmp/minco_current_code_hmp_refresh_20260627/minco_sample11_current_exact.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample11.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample11.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	11	35185	0	35185	32
