panel	sample	comparison_status	offline_scores	added_rows	TP_delta_vs_offline	FP_delta_vs_offline	FN_delta_vs_offline	F1_delta_vs_offline	L1_delta_vs_offline_pp	Pearson_delta_vs_offline	F1_delta_vs_current	L1_delta_vs_current_pp	Pearson_delta_vs_current	offline_F1_delta_vs_current
hmp_airskin_gtdb_source_abundance	0	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	1	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	0	0	0	0	0.0	7.105427357601002e-15	0.0	0.0	7.105427357601002e-15	0.0	0.0
hmp_airskin_gtdb_source_abundance	3	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	0	0	0	0	1.1102230246251565e-16	1.7763568394002505e-15	-1.1102230246251565e-16	1.1102230246251565e-16	1.7763568394002505e-15	-1.1102230246251565e-16	0.0
hmp_airskin_gtdb_source_abundance	4	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	0	0	0	0	0.0	-1.0658141036401503e-14	-1.1102230246251565e-16	0.0	-1.0658141036401503e-14	-1.1102230246251565e-16	0.0
hmp_airskin_gtdb_source_abundance	5	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	0	0	0	0	0.0	-3.552713678800501e-15	-1.1102230246251565e-16	0.0	-3.552713678800501e-15	-1.1102230246251565e-16	0.0
hmp_airskin_gtdb_source_abundance	6	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	1	0	0	0	1.1102230246251565e-16	-7.105427357601002e-15	-1.1102230246251565e-16	0.032196969696969724	-7.105427357601002e-15	-1.1102230246251565e-16	0.03219696969696961
hmp_airskin_gtdb_source_abundance	7	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	0	0	0	0	0.0	3.552713678800501e-15	0.0	0.0	3.552713678800501e-15	0.0	0.0
hmp_airskin_gtdb_source_abundance	9	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	0	0	0	0	1.1102230246251565e-16	1.4210854715202004e-14	0.0	1.1102230246251565e-16	1.4210854715202004e-14	0.0	0.0
hmp_airskin_gtdb_source_abundance	10	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	0	0	0	0	-1.1102230246251565e-16	7.105427357601002e-15	0.0	-1.1102230246251565e-16	7.105427357601002e-15	0.0	0.0
hmp_airskin_gtdb_source_abundance	11	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	0	0	0	0	-1.1102230246251565e-16	0.0	1.1102230246251565e-16	-1.1102230246251565e-16	0.0	1.1102230246251565e-16	0.0
hmp_airskin_gtdb_source_abundance	13	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	0	0	0	0	0.0	0.0	-1.1102230246251565e-16	0.0	0.0	-1.1102230246251565e-16	0.0
hmp_airskin_gtdb_source_abundance	14	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	2	0	0	0	0.0	1.7763568394002505e-15	0.0	0.037931034482758585	1.7763568394002505e-15	0.0	0.037931034482758585
hmp_airskin_gtdb_source_abundance	15	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	2	0	0	0	0.0	-1.7763568394002505e-15	1.1102230246251565e-16	0.04528985507246375	-1.7763568394002505e-15	1.1102230246251565e-16	0.04528985507246375
hmp_airskin_gtdb_source_abundance	16	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	0	0	0	0	0.0	-8.881784197001252e-16	1.1102230246251565e-16	0.0	-8.881784197001252e-16	1.1102230246251565e-16	0.0
hmp_airskin_gtdb_source_abundance	17	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	0	0	0	0	0.0	-7.105427357601002e-15	1.1102230246251565e-16	0.0	-7.105427357601002e-15	1.1102230246251565e-16	0.0
hmp_airskin_gtdb_source_abundance	18	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	1	0	0	0	1.1102230246251565e-16	-3.552713678800501e-15	0.0	0.019566736547868557	-3.552713678800501e-15	0.0	0.019566736547868446
hmp_airskin_gtdb_source_abundance	19	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	4	0	0	0	0.0	0.0	0.0	0.010592342742174132	0.0	7.129710412168144e-06	0.010592342742174132
hmp_airskin_gtdb_source_abundance	20	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	0	0	0	0	0.0	3.552713678800501e-15	0.0	0.0	3.552713678800501e-15	0.0	0.0
hmp_airskin_gtdb_source_abundance	21	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	0	0	0	0	0.0	0.0	-1.1102230246251565e-16	0.0	0.0	-1.1102230246251565e-16	0.0
hmp_airskin_gtdb_source_abundance	22	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	0	0	0	0	0.0	3.552713678800501e-15	0.0	0.0	3.552713678800501e-15	0.0	0.0
hmp_airskin_gtdb_source_abundance	23	compared	/tmp/minco_cross_panel_candidate_rescue_scores.tsv	0	0	0	0	0.0	-3.552713678800501e-15	0.0	0.0	-3.552713678800501e-15	0.0	0.0
