dataset	sample	method	wall_time	seconds	peak_rss_gib	logs	source_caveat
HMP airskin	sample6	MinCO current strategy components	4:00	240.37	3.467	/tmp/cami2_hmp_unseen_transfer_20260626/logs/sample6_minco_unique.time.log+/tmp/cami2_hmp_unseen_transfer_20260626/logs/sample6_minco_split.time.log+/tmp/cami2_hmp_unseen_transfer_20260626/logs/sample6_minco_calibrated.time.log	MinCO GTDB r232 S1000; component logs equivalent to current wrapper strategy
HMP airskin	sample6	Sylph sketch+profile	1:27	86.54	18.552	/tmp/cami2_hmp_unseen_transfer_20260626/logs/sample6_sylph_sketch.time.log+/tmp/cami2_hmp_unseen_transfer_20260626/logs/sample6_sylph_profile.time.log	Sylph cached GTDB r226 c200 DB
HMP airskin	sample11	MinCO current strategy components	4:04	243.69	3.630	/tmp/cami2_hmp_unseen_transfer_20260626/logs/sample11_minco_unique.time.log+/tmp/cami2_hmp_unseen_transfer_20260626/logs/sample11_minco_split.time.log+/tmp/cami2_hmp_unseen_transfer_20260626/logs/sample11_minco_calibrated.time.log	MinCO GTDB r232 S1000; component logs equivalent to current wrapper strategy
HMP airskin	sample11	Sylph sketch+profile	1:31	90.71	18.569	/tmp/cami2_hmp_unseen_transfer_20260626/logs/sample11_sylph_sketch.time.log+/tmp/cami2_hmp_unseen_transfer_20260626/logs/sample11_sylph_profile.time.log	Sylph cached GTDB r226 c200 DB
CAMI2 toy mouse	sample5	MinCO sequential default wrapper before concurrent scheduling	6:33	392.85	3.720	/tmp/cami2_toymouse_current_default_20260626/logs/sample5_lowextra_raw.time.log	MinCO GTDB r232 S1000; pre-concurrent-scheduling default wrapper end-to-end
CAMI2 toy mouse	sample5	Sylph sketch+profile	1:41	100.87	18.813	/tmp/cami2_toymouse_samples5_7_20260625/run/sylph_sample5/sketch.time.log+/tmp/cami2_toymouse_samples5_7_20260625/run/sylph_sample5/profile.time.log	Sylph cached GTDB r226 c200 DB
CAMI2 toy mouse	sample6	MinCO sequential default wrapper before concurrent scheduling	6:33	393.09	3.742	/tmp/cami2_toymouse_current_default_20260626/logs/sample6_default.time.log	MinCO GTDB r232 S1000; pre-concurrent-scheduling default wrapper end-to-end
CAMI2 toy mouse	sample6	MinCO current concurrent default wrapper	4:10	249.65	3.742	/tmp/minco_parallel_default_bench_20260627/sample6_parallel.time.log	MinCO GTDB r232 S1000; initial unique/split passes concurrent at 8+8 threads; exact split still runs as third pass; raw intermediate tables match previous sequential MD5s
CAMI2 toy mouse	sample6	Sylph sketch+profile	1:51	110.98	18.814	/tmp/cami2_toymouse_samples5_7_20260625/run/sylph_sample6/sketch.time.log+/tmp/cami2_toymouse_samples5_7_20260625/run/sylph_sample6/profile.time.log	Sylph cached GTDB r226 c200 DB
CAMI2 toy mouse	sample7	MinCO sequential default wrapper before concurrent scheduling	6:27	387.24	3.646	/tmp/cami2_toymouse_current_default_20260626/logs/sample7_default.time.log	MinCO GTDB r232 S1000; pre-concurrent-scheduling default wrapper end-to-end
CAMI2 toy mouse	sample7	Sylph sketch+profile	2:02	121.56	18.572	/tmp/cami2_toymouse_samples5_7_20260625/run/sylph_sample7/sketch.time.log+/tmp/cami2_toymouse_samples5_7_20260625/run/sylph_sample7/profile.time.log	Sylph cached GTDB r226 c200 DB
CAMI3 toy human gut	sample2	MinCO default wrapper/autoexact	4:25	264.88	3.445	/tmp/cami3_toy_human_gut_20260626/logs/sample2_autoexact.time.log	MinCO GTDB r232 S1000; current default-equivalent autoexact wrapper
CAMI3 toy human gut	sample2	Sylph sketch+profile	1:41	100.95	18.324	/tmp/cami3_toy_human_gut_20260626/logs/sample2_sylph_sketch.time.log+/tmp/cami3_toy_human_gut_20260626/logs/sample2_sylph_profile.time.log	Sylph cached GTDB r226 c200 DB
CAMI3 toy human gut	sample3	MinCO default wrapper/autoexact	4:08	248.34	3.460	/tmp/cami3_toy_human_gut_20260626/logs/sample3_autoexact.time.log	MinCO GTDB r232 S1000; current default-equivalent autoexact wrapper
CAMI3 toy human gut	sample3	Sylph sketch+profile	1:35	95.08	18.325	/tmp/cami3_toy_human_gut_20260626/logs/sample3_sylph_sketch.time.log+/tmp/cami3_toy_human_gut_20260626/logs/sample3_sylph_profile.time.log	Sylph cached GTDB r226 c200 DB
CAMI3 toy human gut	sample4	MinCO default wrapper/autoexact	5:58	358.36	3.484	/tmp/cami3_toy_human_gut_20260626/logs/sample4_autoexact.time.log	MinCO GTDB r232 S1000; current default-equivalent autoexact wrapper
CAMI3 toy human gut	sample4	Sylph sketch+profile	2:09	129.07	18.422	/tmp/cami3_toy_human_gut_20260626/logs/sample4_sylph_sketch.time.log+/tmp/cami3_toy_human_gut_20260626/logs/sample4_sylph_profile.time.log	Sylph cached GTDB r226 c200 DB
CAMI3 toy human gut	sample5	MinCO default wrapper/autoexact	4:12	251.63	3.468	/tmp/cami3_toy_human_gut_20260626/logs/sample5_autoexact.time.log	MinCO GTDB r232 S1000; current default-equivalent autoexact wrapper
CAMI3 toy human gut	sample5	Sylph sketch+profile	2:05	124.97	18.422	/tmp/cami3_toy_human_gut_20260626/logs/sample5_sylph_sketch.time.log+/tmp/cami3_toy_human_gut_20260626/logs/sample5_sylph_profile.time.log	Sylph cached GTDB r226 c200 DB
