method	rule_type	feature1	op1	threshold1	feature2	op2	threshold2	sample_count	switched_samples	mean_sample_delta_L1_pp	max_sample_worse_L1_pp	improved_samples	worsened_samples	mean_panel_delta_L1_pp	max_panel_worse_L1_pp	improved_panels	worsened_panels
genus_raw_mean_breadth_a0.02	single	n_candidate_calls	>=	0.0				32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	single	candidate_call_frac	>=	0.0				32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	single	candidate_raw_frac	>=	0.0				32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	single	u_zip_median	<=	1.0				32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	single	probability_min	>=	0.0				32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	single	reported_ani_median	<=	1.0				32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	n_candidate_calls	>=	0.0	candidate_call_frac	>=	0.0	32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	n_candidate_calls	>=	0.0	candidate_raw_frac	>=	0.0	32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	n_candidate_calls	>=	0.0	u_zip_median	<=	1.0	32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	n_candidate_calls	>=	0.0	probability_min	>=	0.0	32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	n_candidate_calls	>=	0.0	reported_ani_median	<=	1.0	32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	candidate_call_frac	>=	0.0	candidate_raw_frac	>=	0.0	32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	candidate_call_frac	>=	0.0	u_zip_median	<=	1.0	32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	candidate_call_frac	>=	0.0	probability_min	>=	0.0	32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	candidate_call_frac	>=	0.0	reported_ani_median	<=	1.0	32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	candidate_raw_frac	>=	0.0	u_zip_median	<=	1.0	32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	candidate_raw_frac	>=	0.0	probability_min	>=	0.0	32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	candidate_raw_frac	>=	0.0	reported_ani_median	<=	1.0	32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	u_zip_median	<=	1.0	probability_min	>=	0.0	32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	u_zip_median	<=	1.0	reported_ani_median	<=	1.0	32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	probability_min	>=	0.0	reported_ani_median	<=	1.0	32	32	-0.3283750726177751	0.0657421792239674	30	2	-0.18748200078734353	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	single	max_species_per_genus	>=	5.0				32	31	-0.32374362403532253	0.0657421792239674	29	2	-0.18593818459319267	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	n_candidate_calls	>=	0.0	max_species_per_genus	>=	5.0	32	31	-0.32374362403532253	0.0657421792239674	29	2	-0.18593818459319267	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	candidate_call_frac	>=	0.0	max_species_per_genus	>=	5.0	32	31	-0.32374362403532253	0.0657421792239674	29	2	-0.18593818459319267	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	candidate_raw_frac	>=	0.0	max_species_per_genus	>=	5.0	32	31	-0.32374362403532253	0.0657421792239674	29	2	-0.18593818459319267	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	u_zip_median	<=	1.0	max_species_per_genus	>=	5.0	32	31	-0.32374362403532253	0.0657421792239674	29	2	-0.18593818459319267	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	probability_min	>=	0.0	max_species_per_genus	>=	5.0	32	31	-0.32374362403532253	0.0657421792239674	29	2	-0.18593818459319267	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	reported_ani_median	<=	1.0	max_species_per_genus	>=	5.0	32	31	-0.32374362403532253	0.0657421792239674	29	2	-0.18593818459319267	-0.0803806831552573	4	0
genus_raw_mean_breadth_a0.02	single	base_mass_multi_genus_frac	>=	0.37501510201405147				32	28	-0.3222578033264007	0.0657421792239674	27	1	-0.18606544163506217	-0.08322653737930351	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	n_candidate_calls	>=	0.0	base_mass_multi_genus_frac	>=	0.37501510201405147	32	28	-0.3222578033264007	0.0657421792239674	27	1	-0.18606544163506217	-0.08322653737930351	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	candidate_call_frac	>=	0.0	base_mass_multi_genus_frac	>=	0.37501510201405147	32	28	-0.3222578033264007	0.0657421792239674	27	1	-0.18606544163506217	-0.08322653737930351	4	0
genus_raw_mean_breadth_a0.02	two_feature_and	candidate_raw_frac	>=	0.0	base_mass_multi_genus_frac	>=	0.37501510201405147	32	28	-0.3222578033264007	0.0657421792239674	27	1	-0.18606544163506217	-0.08322653737930351	4	0
