method	sample_count	mean_sample_L1_delta_pp	max_sample_worse_L1_delta_pp	improved_samples	worsened_samples	panel_count	mean_panel_L1_delta_pp	max_panel_worse_L1_delta_pp	improved_panels	worsened_panels	mean_Pearson_delta
genus_raw_hit_breadth_a0.02	32	-0.31887482664708167	0.040714163355616506	31	1	4	-0.19354853940087913	-0.0789439035760869	4	0	0.00035602255880593306
genus_raw_hit_breadth_a0.01	32	-0.16154036932972285	0.020357081677801148	31	1	4	-0.10019895248260816	-0.04008660981934516	4	0	0.000181650545169193
genus_raw_hit_breadth_a0.005	32	-0.08147062694124824	0.010178540838850836	31	1	4	-0.051952038693097946	-0.02004330490968916	4	0	9.174176804629605e-05
genus_raw_mean_breadth_a0.02	32	-0.3283750726177751	0.06574217922396741	30	2	4	-0.18748200078734353	-0.0803806831552573	4	0	0.00033740541259624085
genus_raw_norm_depth_a0.02	32	-0.3187708810278815	0.06272801697265962	30	2	4	-0.18878913471825048	-0.07562868510851455	4	0	0.00033620652499751977
genus_raw_mean_breadth_a0.01	32	-0.16816487555934945	0.03287108961198015	30	2	4	-0.097578769696752	-0.04019034157764404	4	0	0.0001736146290995666
genus_raw_norm_depth_a0.01	32	-0.16196819448893204	0.03136400848633514	30	2	4	-0.09775403378889141	-0.03781434255424898	4	0	0.0001717313306193284
genus_raw_mean_breadth_a0.005	32	-0.08496135096420648	0.016435544805961655	30	2	4	-0.05068017718857207	-0.020095170788820838	4	0	8.804549210746429e-05
genus_raw_norm_depth_a0.005	32	-0.08177984594128174	0.015682004243178227	30	2	4	-0.05076169155441197	-0.018907171277123307	4	0	8.677931410821724e-05
genus_raw_hit_breadth_a0.1	32	-1.3925135582077308	0.4929587651093055	29	3	4	-0.8040897316893924	-0.34027641656991864	4	0	0.001501518374622611
genus_raw_hit_breadth_a0.05	32	-0.75985829024492	0.11253323818331573	29	3	4	-0.4453319764483886	-0.18362965328743522	4	0	0.0008365253363228145
genus_raw_realaf_a0.01	32	-0.04347225825408449	0.009412627779514793	29	3	4	-0.02947488465904659	-0.016314999516536588	4	0	6.22344772444848e-05
genus_raw_xny_a0.01	32	-0.04347225825408449	0.009412627779514793	29	3	4	-0.02947488465904659	-0.016314999516536588	4	0	6.22344772444848e-05
genus_raw_realaf_a0.005	32	-0.021864022783240317	0.004706313889757396	29	3	4	-0.014780073548258731	-0.008157499758261189	4	0	3.122588525565281e-05
genus_raw_xny_a0.005	32	-0.021864022783240317	0.004706313889757396	29	3	4	-0.014780073548258731	-0.008157499758261189	4	0	3.122588525565281e-05
genus_raw_hit_breadth_a0.25	32	-2.153334915215203	2.0030021274163055	28	4	4	-1.2726450014588704	-0.5168503614549257	4	0	0.002589196818270037
genus_raw_norm_depth_a0.1	32	-1.349656664097779	0.44016755823859555	28	4	4	-0.7716743048477605	-0.3452166810001553	4	0	0.0014032528384765736
genus_raw_mean_breadth_a0.05	32	-0.7675631856811639	0.1643554480599292	28	4	4	-0.4267324750457674	-0.18437150851605022	4	0	0.0007714628269534889
genus_raw_norm_depth_a0.05	32	-0.7511665824023936	0.15682004243167924	28	4	4	-0.43261224877608573	-0.18325872154394318	4	0	0.0007871460617880632
genus_raw_realaf_a0.1	32	-0.3824807466746547	0.16170515418505005	28	4	4	-0.2597826123510224	-0.1473736932199016	4	0	0.000583559845088899
