method	panel	sample_count	mean_L1_delta_pp	max_worse_L1_delta_pp	improved_samples	worsened_samples	mean_Pearson_delta
genus_max_hit_breadth_a0.005	cami2_toy_mouse_gut	3	-0.007811602194429372	-0.0017455967555219942	3	0	-4.158948181546644e-06
genus_max_hit_breadth_a0.005	cami3_toy_human_gut_gtdb_source_readmap	3	-0.010285042167900826	0.011253343414253436	1	2	1.793196069236706e-05
genus_max_hit_breadth_a0.005	hmp_airskin_gtdb_source_abundance	24	-0.021033375665877412	0.02942376011680281	17	7	3.7435399843938066e-05
genus_max_hit_breadth_a0.005	hmp_gastrooral_gtdb_source_abundance	2	0.018101371986752213	0.02989111094181851	0	2	-0.00012581451397158938
genus_max_hit_breadth_a0.01	cami2_toy_mouse_gut	3	-0.01557917351365834	-0.003491193511035995	3	0	-8.37274978500909e-06
genus_max_hit_breadth_a0.01	cami3_toy_human_gut_gtdb_source_readmap	3	-0.006349380374475781	0.022506686828521083	1	2	3.4971128234362325e-05
genus_max_hit_breadth_a0.01	hmp_airskin_gtdb_source_abundance	24	-0.041570929175834305	0.05884752023357365	17	7	7.427783504791267e-05
genus_max_hit_breadth_a0.01	hmp_gastrooral_gtdb_source_abundance	2	0.03620274397352663	0.059782221883693865	0	2	-0.00025216018863188916
genus_max_hit_breadth_a0.02	cami2_toy_mouse_gut	3	-0.03105992715526214	-0.006982387022072878	3	0	-1.6964772756774178e-05
genus_max_hit_breadth_a0.02	cami3_toy_human_gut_gtdb_source_readmap	3	0.002743986642964084	0.04501337365700664	1	2	6.637011601003569e-05
genus_max_hit_breadth_a0.02	hmp_airskin_gtdb_source_abundance	24	-0.079715977556486	0.11800807163506377	16	8	0.00014618575759957342
genus_max_hit_breadth_a0.02	hmp_gastrooral_gtdb_source_abundance	2	0.07240548794701152	0.11956444376730246	0	2	-0.0005064502170796237
genus_max_hit_breadth_a0.05	cami2_toy_mouse_gut	3	-0.06099600439844455	0.03005880709749409	2	1	-4.4053671760117354e-05
genus_max_hit_breadth_a0.05	cami3_toy_human_gut_gtdb_source_readmap	3	0.04189419008491294	0.11253343414249883	1	2	0.00013911670598543147
genus_max_hit_breadth_a0.05	hmp_airskin_gtdb_source_abundance	24	-0.17194905311298878	0.2975672373716449	15	9	0.00034773042606999854
genus_max_hit_breadth_a0.05	hmp_gastrooral_gtdb_source_abundance	2	0.18101371986754078	0.2989111094182846	0	2	-0.0012822032597329946
genus_max_hit_breadth_a0.1	cami2_toy_mouse_gut	3	-0.07210104616723712	0.10937906090706839	2	1	-9.356109502741312e-05
genus_max_hit_breadth_a0.1	cami3_toy_human_gut_gtdb_source_readmap	3	0.12112730013651903	0.22506686828500477	0	3	0.00018877904425592304
genus_max_hit_breadth_a0.1	hmp_airskin_gtdb_source_abundance	24	-0.2639250521043438	0.5968325135992956	13	11	0.000636635748882323
genus_max_hit_breadth_a0.1	hmp_gastrooral_gtdb_source_abundance	2	0.36202743973509044	0.5978222188365692	0	2	-0.0026186911414839975
genus_max_hit_breadth_a0.25	cami2_toy_mouse_gut	3	0.003779155195775985	0.36367862293234055	2	1	-0.00027445557747344623
genus_max_hit_breadth_a0.25	cami3_toy_human_gut_gtdb_source_readmap	3	0.39015864346759344	0.5626671707125155	0	3	-0.00019951318545130547
genus_max_hit_breadth_a0.25	hmp_airskin_gtdb_source_abundance	24	-0.13354801676026176	1.6560000363265885	10	14	0.0011566563387509637
