method	sample_count	mean_sample_L1_delta_pp	max_sample_worse_L1_delta_pp	improved_samples	worsened_samples	panel_count	mean_panel_L1_delta_pp	max_panel_worse_L1_delta_pp	improved_panels	worsened_panels	mean_Pearson_delta
base_genus_xny_a0.10	32	-0.3824807466746547	0.16170515418505005	28	4	4	-0.2597826123510224	-0.1473736932199016	4	0	0.000583559845088899
base_genus_xny_a0.05	32	-0.20551216582561221	0.06179472640785377	28	4	4	-0.14159694790470617	-0.08157499758274778	4	0	0.00030251501697995883
base_genus_xny_a0.02	32	-0.08502959583397993	0.018825255558990506	28	4	4	-0.05831146242670585	-0.03262999903309982	4	0	0.00012360092369217632
base_global_xny_a0.10	32	-0.7285983393697022	0.8259990627319382	27	5	4	-0.5543133696002075	0.20754499792517933	3	1	0.0007054612347277001
base_global_xny_a0.05	32	-0.3836408460298437	0.27436718049647624	27	5	4	-0.308378007065548	-0.005419613084663766	4	0	0.0003788153151471525
base_global_xny_a0.02	32	-0.16186997172625225	0.06319200412347037	27	5	4	-0.14037976643655792	-0.00902618283496981	4	0	0.00015795551250061268
base_global_probability_a0.02	32	-0.07958375418307165	0.08847924654659067	27	5	4	-0.05513261594449649	0.00878277794062221	3	1	8.403569750558074e-05
base_global_probability_a0.05	32	-0.1923564739407814	0.23039428519567906	26	6	4	-0.12924931797202627	0.03962885601771671	3	1	0.00020315725839346183
base_power_p1.05	32	-2.065448934766806	4.052155846648061	25	7	4	-0.9249941965587131	2.6523344063466685	3	1	0.0010251858974333061
base_power_p1.10	32	-1.3231672707949302	10.188473026110637	23	9	4	0.2654331065546327	7.196302656228066	3	1	0.0014563996404835418
base_uniform_a0.02	32	1.4963624923584595	2.537760987045825	2	30	4	1.2821215628274878	1.5945126417347435	0	4	-2.1744614552583058e-05
base_uniform_a0.05	32	4.086981123321323	6.4133714369107615	0	32	4	3.555552363418907	4.333032016530722	0	4	-6.478882988566678e-05
base_power_p0.95	32	4.488083312656627	8.08384757617828	0	32	4	3.882449912241446	5.2260927567497495	0	4	-0.0017412245348555136
base_power_p0.90	32	10.076923341126177	17.154291884041484	0	32	4	8.788339021548019	12.364223043496542	0	4	-0.004342706032585172
