method	panel	sample_count	mean_L1_delta_pp	max_worse_L1_delta_pp	improved_samples	worsened_samples	mean_Pearson_delta
base_genus_xny_a0.02	cami2_toy_mouse_gut	3	-0.04133951123061497	-0.010690206507761424	3	0	-7.863468692785128e-06
base_genus_xny_a0.02	cami3_toy_human_gut_gtdb_source_readmap	3	-0.061474457700252096	-0.013461361194245569	3	0	6.542650543802282e-05
base_genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	24	-0.09780188174285653	0.0028724491865546042	21	3	0.0001293761862763282
base_genus_xny_a0.02	hmp_gastrooral_gtdb_source_abundance	2	-0.03262999903309982	0.018825255558990506	1	1	0.0003387559886410263
base_genus_xny_a0.05	cami2_toy_mouse_gut	3	-0.09723442602192496	-0.01643409332558221	3	0	-2.1004954076679166e-05
base_genus_xny_a0.05	cami3_toy_human_gut_gtdb_source_readmap	3	-0.15144499043577753	-0.0336534029854505	3	0	0.00015455597874725058
base_genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	24	-0.2361333775783745	0.06179472640785377	21	3	0.000316740275355105
base_genus_xny_a0.05	hmp_gastrooral_gtdb_source_abundance	2	-0.08157499758274778	0.04706313889750113	1	1	0.0008390304304122242
base_genus_xny_a0.10	cami2_toy_mouse_gut	3	-0.1473736932199016	-0.015057669579785937	3	0	-4.647717129613316e-05
base_genus_xny_a0.10	cami3_toy_human_gut_gtdb_source_readmap	3	-0.2879916892293532	-0.06728995681814354	3	0	0.00027911986805525163
base_genus_xny_a0.10	hmp_airskin_gtdb_source_abundance	24	-0.4420798914696144	0.16170515418505005	21	3	0.0006113245858386981
base_genus_xny_a0.10	hmp_gastrooral_gtdb_source_abundance	2	-0.16168517548522043	0.09705591715558093	1	1	0.00165209844621933
base_global_probability_a0.02	cami2_toy_mouse_gut	3	-0.03334330037475978	0.0005274464754441155	2	1	1.3029078197520269e-05
base_global_probability_a0.02	cami3_toy_human_gut_gtdb_source_readmap	3	-0.10662203826843353	-0.023396434116918385	3	0	0.00041321643146112014
base_global_probability_a0.02	hmp_airskin_gtdb_source_abundance	24	-0.08934790307541489	0.08847924654659067	22	2	6.0867707738212116e-05
base_global_probability_a0.02	hmp_gastrooral_gtdb_source_abundance	2	0.00878277794062221	0.010510228590145942	0	2	-2.5209597257214167e-05
base_global_probability_a0.05	cami2_toy_mouse_gut	3	-0.07270024678605225	0.029866451491022517	2	1	3.17290362382335e-05
base_global_probability_a0.05	cami3_toy_human_gut_gtdb_source_readmap	3	-0.26655509567105656	-0.058491085292260436	3	0	0.001013905465980532
base_global_probability_a0.05	hmp_airskin_gtdb_source_abundance	24	-0.217370785448713	0.23039428519567906	21	3	0.00014617108836018078
base_global_probability_a0.05	hmp_gastrooral_gtdb_source_abundance	2	0.03962885601771671	0.05282859335697765	0	2	-7.198867935492848e-05
base_global_xny_a0.02	cami2_toy_mouse_gut	3	-0.0670818135910795	0.06319200412347037	2	1	-6.302603724517297e-05
base_global_xny_a0.02	cami3_toy_human_gut_gtdb_source_readmap	3	-0.31853925594702304	-0.05290674421446795	3	0	0.0008187525938401219
base_global_xny_a0.02	hmp_airskin_gtdb_source_abundance	24	-0.16687181337315937	0.057125344622086516	21	3	0.00012480082216816124
base_global_xny_a0.02	hmp_gastrooral_gtdb_source_abundance	2	-0.00902618283496981	0.00458402747236164	1	1	-0.00010391150090055534
base_global_xny_a0.05	cami2_toy_mouse_gut	3	-0.005419613084663766	0.27436718049647624	2	1	-0.00016209092626784383
base_global_xny_a0.05	cami3_toy_human_gut_gtdb_source_readmap	3	-0.7960728416492984	-0.13226021005439748	3	0	0.00197528345350347
base_global_xny_a0.05	hmp_airskin_gtdb_source_abundance	24	-0.40945411644075697	0.14281336155518254	21	3	0.00030070938454822743
base_global_xny_a0.05	hmp_gastrooral_gtdb_source_abundance	2	-0.02256545708747293	0.011460068680833047	1	1	-0.00026725636307772804
base_global_xny_a0.10	cami2_toy_mouse_gut	3	0.20754499792517933	0.8259990627319382	2	1	-0.00033898771888973833
base_global_xny_a0.10	cami3_toy_human_gut_gtdb_source_readmap	3	-1.5914111424899435	-0.26447252849861513	3	0	0.003721302519402355
base_global_xny_a0.10	hmp_airskin_gtdb_source_abundance	24	-0.7953078981120022	0.32439785160155665	21	3	0.0005644105842887206
base_global_xny_a0.10	hmp_gastrooral_gtdb_source_abundance	2	-0.03807943572406369	0.02292013736162346	1	1	-0.0005590194565903706
base_power_p0.90	cami2_toy_mouse_gut	3	12.364223043496542	17.154291884041484	0	3	0.00019152691413604206
base_power_p0.90	cami3_toy_human_gut_gtdb_source_readmap	3	6.751079227038095	8.654388473787684	0	3	-0.008973172063659737
base_power_p0.90	hmp_airskin_gtdb_source_abundance	24	10.592706021505403	15.36580699764961	0	24	-0.003956527431626024
base_power_p0.90	hmp_gastrooral_gtdb_source_abundance	2	5.445347794152037	7.682139346942142	0	2	-0.008832499617564937
base_power_p0.95	cami2_toy_mouse_gut	3	5.2260927567497495	8.08384757617828	0	3	0.0005882855854089838
base_power_p0.95	cami3_toy_human_gut_gtdb_source_readmap	3	3.086051817031027	4.267830469093056	0	3	-0.0037480246788171487
base_power_p0.95	hmp_airskin_gtdb_source_abundance	24	4.738496460604534	7.409004920439134	0	24	-0.0015940294465317806
base_power_p0.95	hmp_gastrooral_gtdb_source_abundance	2	2.4791586145804727	3.347830757898654	0	2	-0.003991630559194603
base_power_p1.05	cami2_toy_mouse_gut	3	2.6523344063466685	4.052155846648061	0	3	-0.0013532851141483393
base_power_p1.05	cami3_toy_human_gut_gtdb_source_readmap	3	-2.3738941794581954	0.5525706960979733	2	1	0.002462375649480745
base_power_p1.05	hmp_airskin_gtdb_source_abundance	24	-2.6805842075889346	3.7076409985898895	21	3	0.0009597824113499973
base_power_p1.05	hmp_gastrooral_gtdb_source_abundance	2	-1.2978328055343908	-0.9954543872773343	2	0	0.003221949619734321
base_power_p1.10	cami2_toy_mouse_gut	3	7.196302656228066	10.188473026110637	0	3	-0.0032968393996455347
base_power_p1.10	cami3_toy_human_gut_gtdb_source_readmap	3	-2.4812619711599715	1.4213916340682715	2	1	0.003818237066677573
base_power_p1.10	hmp_airskin_gtdb_source_abundance	24	-2.2354481001337696	10.155593722894062	20	4	0.0013975467786305391
base_power_p1.10	hmp_gastrooral_gtdb_source_abundance	2	-1.4178601587157944	0.2982227453926125	1	1	0.005749736403622141
base_uniform_a0.02	cami2_toy_mouse_gut	3	1.5868544366275759	2.1931646908631794	0	3	-2.1000415834748765e-05
base_uniform_a0.02	cami3_toy_human_gut_gtdb_source_readmap	3	0.9604946980588617	1.9234275974029558	1	2	0.00018721349593509018
base_uniform_a0.02	hmp_airskin_gtdb_source_abundance	24	1.5945126417347435	2.537760987045825	1	23	-4.8288120080379006e-05
base_uniform_a0.02	hmp_gastrooral_gtdb_source_abundance	2	0.98662447488877	1.4548081508547295	0	2	-1.7776012027292953e-05
base_uniform_a0.05	cami2_toy_mouse_gut	3	4.318838265986811	5.879258639984306	0	3	-6.223548174170516e-05
base_uniform_a0.05	cami3_toy_human_gut_gtdb_source_readmap	3	2.69343440926837	4.844845785349577	0	3	0.0004664671901714046
base_uniform_a0.05	hmp_airskin_gtdb_source_abundance	24	4.333032016530722	6.4133714369107615	0	24	-0.00013187521720617787
base_uniform_a0.05	hmp_gastrooral_gtdb_source_abundance	2	2.876904761889725	4.43733441782217	0	2	-6.0466234341083336e-05
