sample	genome	abundance	ncbi_id	novelty_category
0	spades_And7556_S8_L001	61.55965532555604	562	new_strain
0	SP53_S39	22.569059069454	1313	new_strain
0	spades_ESBL9861_S4_L001	20.98932364997825	562	new_strain
0	spades_ESBL9654_S5_L001	18.000965177355706	562	new_strain
0	spades_ESBL8075_S12_L001	16.853522225904015	573	new_strain
0	SP142_S23	15.063388862173927	1313	new_strain
0	spades_VRE3387_S5_L001	13.781004057648612	1352	new_strain
0	spades_And4892_S4_L001	13.497547597638226	543	new_genus
0	SP1_S85	12.505365111735237	1313	new_strain
0	SP188_S67	10.681701108615282	1313	new_strain
0	spades_ESBL9044_S9_L001	10.3277647343138	562	new_strain
0	spades_VRE3766_S8_L001	9.46169400222248	1352	new_strain
0	spades_ESBL5909_S5_L001	9.150868446681924	562	new_strain
0	SP18_S91	7.169518365157009	1313	new_strain
0	spades_AND8064_S11_L001	7.088291567544423	573	new_strain
0	spades_ESBL9656_S7_L001	6.324189641576119	543	new_genus
0	spades_ESBL6515_S2_L001	6.0396628382162785	573	new_strain
0	spades_MRSA8758_S5_L001	5.525140065521334	1280	new_strain
0	spades_MRSA7286_S4_L001	5.2605444084376565	1280	new_strain
0	SP39_S26	4.782302511630127	1313	new_strain
1	SP6_S88	42.335618138278456	1313	new_strain
1	MIKI-NS08	38.10139277339888	31957	new_order
1	spades_ESBL7388_S7_L001	35.476819078064125	543	new_genus
1	SP68_S51	35.12448817641054	257758	new_strain
1	spades_AND8302_S10_L001	29.052203126313593	573	new_strain
1	spades_ESBL7553_S11_L001	23.574388022657672	573	new_strain
1	SP130_S11	23.404154935815715	1313	new_strain
1	spades_ESBL6515_S2_L001	21.919088547609004	573	new_strain
1	SP50_S37	16.85109081736239	1313	new_strain
1	spades_ESBL8341_S10_L001	9.167114441334526	543	new_genus
1	spades_ESBL7531_S9_L001	8.272154326612378	562	new_strain
1	spades_ESBL8909_S7_L001	7.999663430381372	573	new_strain
1	MIKI-NS10	7.806178768547057	1598	new_strain
1	spades_And6400_S11_L001	7.403680410551001	562	new_strain
1	spades_ESBL7382_S4_L001	7.363259834005795	562	new_strain
1	spades_ESBL6364_S9_L001	6.934032068219447	562	new_strain
1	spades_ESBL8411_S7_L001	6.7241743949779815	562	new_strain
1	spades_ESBL9656_S7_L001	6.405479391891494	543	new_genus
1	MIKI-NS06	6.1712849552693685	508451	new_strain
1	SP18_S91	5.3024125649074625	1313	new_strain
2	spades_MRSA7295_S3_L001	141.7046058805958	1280	new_strain
2	SP55_S41	103.80136035185345	1313	new_strain
2	SP45_S32	29.54561813450252	1313	new_strain
2	spades_ESBL7532_S2_L001	27.04989528537538	562	new_strain
2	spades_ESBL5817_S7_L001	25.93172334464357	562	new_strain
2	SP156_S37	20.85918452727299	1313	new_strain
2	spades_And5141_S4_L001	15.898309714328517	562	new_strain
2	spades_ESBL6984_S1_L001	13.557570549840158	543	new_genus
2	spades_ESBL6270_S10_L001	12.477553483722717	543	new_genus
2	SP6_S88	11.752499374737079	1313	new_strain
2	SP32_S19	11.594241484890555	1313	new_strain
2	spades_AND9183_S11_L001	9.478744511681706	562	new_strain
2	spades_ESBL6364_S9_L001	7.0764376843468035	562	new_strain
2	SP74_S57	6.942027829307923	1313	new_strain
2	SP166_S47	6.402800017031268	1313	new_strain
2	SP58_S44	5.7933736746538695	1313	new_strain
2	spades_ESBL5734_S3_L001	5.4825054205562065	562	new_strain
2	SP2_S86	5.251209970987292	1313	new_strain
2	SP53_S39	4.1573886792242805	1313	new_strain
2	SP16_S12	3.925866596471623	1313	new_strain
